Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,2921.0556640625,292.05908203125,293.1497802734375
900,2418.208984375,291.7434997558594,293.14984130859375
1800,2447.445556640625,291.7245788574219,293.1494140625
2700,2383.173095703125,291.7080993652344,293.1499938964844
3600,2356.017578125,291.69146728515625,293.1499938964844
4500,2329.3857421875,291.6748046875,293.1499938964844
5400,2303.8603515625,291.6582336425781,293.1499938964844
6300,2278.62255859375,291.64166259765625,293.1499938964844
7200,2253.951171875,291.62518310546875,293.1499938964844
8100,2229.92724609375,291.6087951660156,293.1499938964844
9000,2206.4873046875,291.5923767089844,293.1499938964844
9900,2183.35302734375,291.5762023925781,293.1499938964844
10800,2160.41455078125,291.5602111816406,293.1499938964844
11700,2137.86376953125,291.5445251464844,293.1499938964844
12600,2116.25244140625,291.5289306640625,293.1499938964844
13500,2094.787353515625,291.513427734375,293.1499938964844
14400,2073.653564453125,291.4980773925781,293.1499938964844
15300,2052.93994140625,291.4827575683594,293.1499938964844
16200,2032.601806640625,291.46783447265625,293.1499938964844
17100,2012.5767822265625,291.4529724121094,293.1499938964844
18000,1993.030517578125,291.4380798339844,293.1499938964844
18900,1973.9420166015625,291.423095703125,293.1499938964844
19800,1955.6387939453125,291.4080505371094,293.1499938964844
20700,1937.473876953125,291.39306640625,293.1499938964844
21600,1919.5308837890625,291.3782958984375,293.1499938964844
22500,899.7586059570312,291.3992919921875,292.149658203125
23400,120.01946258544922,291.4307861328125,291.1500549316406
24300,0.0,291.4636535644531,290.7393493652344
25200,0.0,291.4978332519531,290.6686096191406
26100,0.0,291.4990234375,290.6371154785156
27000,0.0,291.48974609375,290.6190185546875
27900,0.0,291.4824523925781,290.6027526855469
28800,0.0,291.4775085449219,290.5890197753906
29700,0.0,291.4767761230469,290.5804443359375
30600,0.0,291.48773193359375,290.5865478515625
31500,0.0,291.5113525390625,290.6089172363281
32400,0.0,291.5376892089844,290.6364440917969
33300,0.0,291.53839111328125,290.63134765625
34200,0.0,291.541259765625,290.62823486328125
35100,0.0,291.5435485839844,290.6246643066406
36000,0.0,291.5451354980469,290.620361328125
36900,0.0,291.5475769042969,290.6169738769531
37800,0.0,291.5533752441406,290.61798095703125
38700,0.0,291.5604248046875,290.620849609375
39600,0.0,291.5675048828125,290.6239013671875
40500,0.0,291.5747985839844,290.6274719238281
41400,0.0,291.5813293457031,290.6301574707031
42300,0.0,291.58673095703125,290.6314697265625
43200,0.0,291.5906677246094,290.6310119628906
44100,0.0,291.5932312011719,290.6288146972656
45000,0.0,291.5937194824219,290.6239929199219
45900,0.0,291.59283447265625,290.617431640625
46800,0.0,291.5907897949219,290.6092529296875
47700,0.0,291.5872497558594,290.59918212890625
48600,0.0,291.5823059082031,290.5872802734375
49500,0.0,291.5762023925781,290.5738525390625
50400,0.0,291.569091796875,290.5591125488281
51300,0.0,291.560791015625,290.54266357421875
52200,0.0,291.5516662597656,290.525146484375
53100,0.0,291.539794921875,290.5041198730469
54000,0.0,291.5263366699219,290.4809875488281
54900,0.0,291.5117492675781,290.45623779296875
