Elapsed time [sec],Heating power [W],T dayzone [K],T nightzone [K]
0,8821,291.55,294.31
600,8860.66666666667,291.566666666667,294.296666666667
1200,8900.33333333333,291.583333333333,294.283333333333
1800,8940,291.6,294.27
2400,8979.66666666667,291.616666666667,294.256666666667
3000,9019.33333333334,291.633333333333,294.243333333333
3600,9059,291.65,294.23
4200,9098.66666666667,291.666666666667,294.216666666667
4800,9138.33333333334,291.683333333333,294.203333333333
5400,9178,291.7,294.19
6000,9217.66666666667,291.716666666667,294.176666666667
6600,9257.33333333333,291.733333333333,294.163333333333
7200,9297,291.75,294.15
7800,9360,291.761666666667,294.146666666667
8400,9423,291.773333333333,294.143333333333
9000,9486,291.785,294.14
9600,9549,291.796666666667,294.136666666667
10200,9612,291.808333333333,294.133333333333
10800,9675,291.82,294.13
11400,9643.5,291.821666666667,294.123333333333
12000,9612,291.823333333333,294.116666666667
12600,9580.5,291.825,294.11
13200,9549,291.826666666667,294.103333333333
13800,9517.5,291.828333333333,294.096666666667
14400,9486,291.83,294.09
15000,9466,291.831666666667,294.085
15600,9446,291.833333333333,294.08
16200,9426,291.835,294.075
16800,9406,291.836666666667,294.07
17400,9386,291.838333333333,294.065
18000,9366,291.84,294.06
18600,9403.83333333333,291.845,294.06
19200,9441.66666666667,291.85,294.06
19800,9479.5,291.855,294.06
20400,9517.33333333333,291.86,294.06
21000,9555.16666666667,291.865,294.06
21600,9593,291.87,294.06
22200,9521.33333333333,291.865,294.055
22800,9449.66666666667,291.86,294.05
23400,9378,291.855,294.045
24000,9306.33333333333,291.85,294.04
24600,9234.66666666667,291.845,294.035
25200,9163,291.84,294.03
25800,7635.83333333333,291.476666666667,293.46
26400,6108.66666666667,291.113333333333,292.89
27000,4581.5,290.75,292.32
27600,3054.33333333333,290.386666666667,291.75
28200,1527.16666666667,290.023333333333,291.18
28800,0,289.66,290.61
29400,0,289.591666666667,290.44
30000,0,289.523333333333,290.27
30600,0,289.455,290.1
31200,0,289.386666666667,289.93
31800,0,289.318333333333,289.76
32400,0,289.25,289.59
33000,143.666666666667,289.248333333333,289.51
33600,287.333333333333,289.246666666667,289.43
34200,431,289.245,289.35
34800,574.666666666667,289.243333333333,289.27
35400,718.333333333333,289.241666666667,289.19
36000,862,289.24,289.11
36600,1083.33333333333,289.255,289.136666666667
37200,1304.66666666667,289.27,289.163333333333
37800,1526,289.285,289.19
38400,1747.33333333333,289.3,289.216666666667
39000,1968.66666666667,289.315,289.243333333333
39600,2190,289.33,289.27
40200,2300.16666666667,289.34,289.283333333333
40800,2410.33333333333,289.35,289.296666666667
41400,2520.5,289.36,289.31
42000,2630.66666666667,289.37,289.323333333333
42600,2740.83333333333,289.38,289.336666666667
43200,2851,289.39,289.35
43800,2876.83333333333,289.393333333333,289.355
44400,2902.66666666667,289.396666666667,289.36
45000,2928.5,289.4,289.365
45600,2954.33333333333,289.403333333333,289.37
46200,2980.16666666667,289.406666666667,289.375
46800,3006,289.41,289.38
47400,3078,289.418333333333,289.386666666667
48000,3150,289.426666666667,289.393333333333
48600,3222,289.435,289.4
49200,3294,289.443333333333,289.406666666667
49800,3366,289.451666666667,289.413333333333
50400,3438,289.46,289.42
51000,3419.16666666667,289.46,289.42
51600,3400.33333333333,289.46,289.42
52200,3381.5,289.46,289.42
52800,3362.66666666667,289.46,289.42
53400,3343.83333333333,289.46,289.42
54000,3325,289.46,289.42
54600,3465.66666666667,289.47,289.43
55200,3606.33333333333,289.48,289.44
55800,3747,289.49,289.45
56400,3887.66666666667,289.5,289.46
57000,4028.33333333333,289.51,289.47
57600,4169,289.52,289.48
58200,4242.33333333333,289.525,289.485
58800,4315.66666666667,289.53,289.49
59400,4389,289.535,289.495
60000,4462.33333333333,289.54,289.5
60600,4535.66666666667,289.545,289.505
61200,4609,289.55,289.51
61800,6175.66666666667,290.101666666667,289.971666666667
62400,7742.33333333333,290.653333333333,290.433333333333
63000,9309,291.205,290.895
63600,10875.6666666667,291.756666666667,291.356666666667
64200,12442.3333333333,292.308333333333,291.818333333333
64800,14009,292.86,292.28
65400,13751.1666666667,292.956666666667,292.236666666667
66000,13493.3333333333,293.053333333333,292.193333333333
66600,13235.5,293.15,292.15
67200,12977.6666666667,293.246666666667,292.106666666667
67800,12719.8333333333,293.343333333333,292.063333333333
68400,12462,293.44,292.02
69000,12373.3333333333,293.508333333333,292.005
69600,12284.6666666667,293.576666666667,291.99
70200,12196,293.645,291.975
70800,12107.3333333333,293.713333333333,291.96
71400,12018.6666666667,293.781666666667,291.945
72000,11930,293.85,291.93
72600,11792.3333333333,293.876666666667,291.918333333333
73200,11654.6666666667,293.903333333333,291.906666666667
73800,11517,293.93,291.895
74400,11379.3333333333,293.956666666667,291.883333333333
75000,11241.6666666667,293.983333333333,291.871666666667
75600,11104,294.01,291.86
76200,11078.1666666667,294.056666666667,291.855
76800,11052.3333333333,294.103333333333,291.85
77400,11026.5,294.15,291.845
78000,11000.6666666667,294.196666666667,291.84
78600,10974.8333333333,294.243333333333,291.835
79200,10949,294.29,291.83
79800,10930.1666666667,294.335,291.826666666667
80400,10911.3333333333,294.38,291.823333333333
81000,10892.5,294.425,291.82
81600,10873.6666666667,294.47,291.816666666667
82200,10854.8333333333,294.515,291.813333333333
82800,10836,294.56,291.81
83400,10545.8333333333,293.978333333333,292.228333333333
84000,10255.6666666667,293.396666666667,292.646666666667
84600,9965.5,292.815,293.065
85200,9675.33333333333,292.233333333333,293.483333333333
85800,9385.16666666667,291.651666666667,293.901666666667
86400,9095,291.07,294.32
87000,9144.33333333333,291.171666666667,294.308333333333
87600,9193.66666666667,291.273333333333,294.296666666667
88200,9243,291.375,294.285
88800,9292.33333333333,291.476666666667,294.273333333333
89400,9341.66666666667,291.578333333333,294.261666666667
90000,9391,291.68,294.25
90600,9316,291.688333333333,294.228333333333
91200,9241,291.696666666667,294.206666666667
91800,9166,291.705,294.185
92400,9091,291.713333333333,294.163333333333
93000,9016,291.721666666667,294.141666666667
93600,8941,291.73,294.12
94200,8904.16666666666,291.733333333333,294.11
94800,8867.33333333333,291.736666666667,294.1
95400,8830.5,291.74,294.09
96000,8793.66666666667,291.743333333333,294.08
96600,8756.83333333333,291.746666666667,294.07
97200,8720,291.75,294.06
97800,8695.66666666667,291.753333333333,294.053333333333
98400,8671.33333333333,291.756666666667,294.046666666667
99000,8647,291.76,294.04
99600,8622.66666666667,291.763333333333,294.033333333333
100200,8598.33333333333,291.766666666667,294.026666666667
100800,8574,291.77,294.02
101400,8503.66666666667,291.766666666667,294.01
102000,8433.33333333333,291.763333333333,294
102600,8363,291.76,293.99
103200,8292.66666666667,291.756666666667,293.98
103800,8222.33333333334,291.753333333333,293.97
104400,8152,291.75,293.96
105000,8087.16666666667,291.748333333333,293.953333333333
105600,8022.33333333333,291.746666666667,293.946666666667
106200,7957.5,291.745,293.94
106800,7892.66666666667,291.743333333333,293.933333333333
107400,7827.83333333333,291.741666666667,293.926666666667
108000,7763,291.74,293.92
108600,7692.33333333333,291.735,293.913333333333
109200,7621.66666666667,291.73,293.906666666667
109800,7551,291.725,293.9
110400,7480.33333333333,291.72,293.893333333333
111000,7409.66666666667,291.715,293.886666666667
111600,7339,291.71,293.88
112200,6115.83333333333,291.421666666667,293.405
112800,4892.66666666667,291.133333333333,292.93
113400,3669.5,290.845,292.455
114000,2446.33333333333,290.556666666667,291.98
114600,1223.16666666667,290.268333333333,291.505
115200,0,289.98,291.03
115800,0,289.926666666667,290.89
116400,0,289.873333333333,290.75
117000,0,289.82,290.61
117600,0,289.766666666667,290.47
118200,0,289.713333333333,290.33
118800,0,289.66,290.19
119400,0,289.636666666667,290.106666666667
120000,0,289.613333333333,290.023333333333
120600,0,289.59,289.94
121200,0,289.566666666667,289.856666666667
121800,0,289.543333333333,289.773333333333
122400,0,289.52,289.69
123000,0,289.541666666667,289.678333333333
123600,0,289.563333333333,289.666666666667
124200,0,289.585,289.655
124800,0,289.606666666667,289.643333333333
125400,0,289.628333333333,289.631666666667
126000,0,289.65,289.62
126600,0,289.683333333333,289.64
127200,0,289.716666666667,289.66
127800,0,289.75,289.68
128400,0,289.783333333333,289.7
129000,0,289.816666666667,289.72
129600,0,289.85,289.74
130200,0,289.845,289.735
