Elapsed time [sec],Heating power [W],T dayzone [K],T nightzone [K]
0,7483,291.15,293.15
600,7602.5,291.15,293.15
1200,7722,291.15,293.15
1800,7841.5,291.15,293.15
2400,7961,291.15,293.15
3000,8080.5,291.15,293.15
3600,8200,291.15,293.15
4200,8319.5,291.15,293.15
4800,8439,291.15,293.15
5400,8558.5,291.15,293.15
6000,8678,291.15,293.15
6600,8797.5,291.15,293.15
7200,8917,291.15,293.15
7800,8997.33333333333,291.15,293.15
8400,9077.66666666667,291.15,293.15
9000,9158,291.15,293.15
9600,9238.33333333333,291.15,293.15
10200,9318.66666666667,291.15,293.15
10800,9399,291.15,293.15
11400,9435.16666666667,291.15,293.15
12000,9471.33333333333,291.15,293.15
12600,9507.5,291.15,293.15
13200,9543.66666666667,291.15,293.15
13800,9579.83333333333,291.15,293.15
14400,9616,291.15,293.15
15000,9622.16666666667,291.15,293.15
15600,9628.33333333333,291.15,293.15
16200,9634.5,291.15,293.15
16800,9640.66666666667,291.15,293.15
17400,9646.83333333333,291.15,293.15
18000,9653,291.15,293.15
18600,9664.5,291.15,293.15
19200,9676,291.15,293.15
19800,9687.5,291.15,293.15
20400,9699,291.15,293.15
21000,9710.5,291.15,293.15
21600,9722,291.15,293.15
22200,9671.66666666667,291.15,293.15
22800,9621.33333333333,291.15,293.15
23400,9571,291.15,293.15
24000,9520.66666666667,291.15,293.15
24600,9470.33333333333,291.15,293.15
25200,9420,291.15,293.15
25800,8221.5,290.85,292.491666666667
26400,7023,290.55,291.833333333333
27000,5824.5,290.25,291.175
27600,4626,289.95,290.516666666667
28200,3427.5,289.65,289.858333333333
28800,2229,289.35,289.2
29400,2500.66666666667,289.35,289.275
30000,2772.33333333333,289.35,289.35
30600,3044,289.35,289.425
31200,3315.66666666667,289.35,289.5
31800,3587.33333333333,289.35,289.575
32400,3859,289.35,289.65
33000,3915.83333333333,289.35,289.65
33600,3972.66666666667,289.35,289.65
34200,4029.5,289.35,289.65
34800,4086.33333333333,289.35,289.65
35400,4143.16666666667,289.35,289.65
36000,4200,289.35,289.65
36600,4211.83333333333,289.35,289.65
37200,4223.66666666667,289.35,289.65
37800,4235.5,289.35,289.65
38400,4247.33333333333,289.35,289.65
39000,4259.16666666667,289.35,289.65
39600,4271,289.35,289.65
40200,4257,289.35,289.65
40800,4243,289.35,289.65
41400,4229,289.35,289.65
42000,4215,289.35,289.65
42600,4201,289.35,289.65
43200,4187,289.35,289.65
43800,4176.83333333333,289.35,289.65
44400,4166.66666666667,289.35,289.65
45000,4156.5,289.35,289.65
45600,4146.33333333333,289.35,289.65
46200,4136.16666666667,289.35,289.65
46800,4126,289.35,289.65
47400,4130,289.35,289.65
48000,4134,289.35,289.65
48600,4138,289.35,289.65
49200,4142,289.35,289.65
49800,4146,289.35,289.65
50400,4150,289.35,289.65
51000,4150.16666666667,289.35,289.65
51600,4150.33333333333,289.35,289.65
52200,4150.5,289.35,289.65
52800,4150.66666666667,289.35,289.65
53400,4150.83333333333,289.35,289.65
54000,4151,289.35,289.65
54600,4212.16666666667,289.35,289.65
55200,4273.33333333333,289.35,289.65
55800,4334.5,289.35,289.65
56400,4395.66666666667,289.35,289.65
57000,4456.83333333333,289.35,289.65
57600,4518,289.35,289.65
58200,4583,289.35,289.65
58800,4648,289.35,289.65
59400,4713,289.35,289.65
60000,4778,289.35,289.65
60600,4843,289.35,289.65
61200,4908,289.35,289.65
61800,6149.83333333333,290.133333333333,289.9
62400,7391.66666666667,290.916666666667,290.15
63000,8633.5,291.7,290.4
63600,9875.33333333333,292.483333333333,290.65
64200,11117.1666666667,293.266666666667,290.9
64800,12359,294.05,291.15
65400,12243.1666666667,294.066666666667,291.15
66000,12127.3333333333,294.083333333333,291.15
66600,12011.5,294.1,291.15
67200,11895.6666666667,294.116666666667,291.15
67800,11779.8333333333,294.133333333333,291.15
68400,11664,294.15,291.15
69000,11587.8333333333,294.15,291.15
69600,11511.6666666667,294.15,291.15
70200,11435.5,294.15,291.15
70800,11359.3333333333,294.15,291.15
71400,11283.1666666667,294.15,291.15
72000,11207,294.15,291.15
72600,11140.1666666667,294.15,291.15
73200,11073.3333333333,294.15,291.15
73800,11006.5,294.15,291.15
74400,10939.6666666667,294.15,291.15
75000,10872.8333333333,294.15,291.15
75600,10806,294.15,291.15
76200,10749,294.15,291.15
76800,10692,294.15,291.15
77400,10635,294.15,291.15
78000,10578,294.15,291.15
78600,10521,294.15,291.15
79200,10464,294.15,291.15
79800,10407,294.15,291.15
80400,10350,294.15,291.15
81000,10293,294.15,291.15
81600,10236,294.15,291.15
82200,10179,294.15,291.15
82800,10122,294.15,291.15
83400,9973.5,293.65,291.483333333333
84000,9825,293.15,291.816666666667
84600,9676.5,292.65,292.15
85200,9528,292.15,292.483333333333
85800,9379.5,291.65,292.816666666667
86400,9231,291.15,293.15
87000,9205,291.15,293.15
87600,9179,291.15,293.15
88200,9153,291.15,293.15
88800,9127,291.15,293.15
89400,9101,291.15,293.15
90000,9075,291.15,293.15
90600,9048.33333333333,291.15,293.15
91200,9021.66666666667,291.15,293.15
91800,8995,291.15,293.15
92400,8968.33333333333,291.15,293.15
93000,8941.66666666667,291.15,293.15
93600,8915,291.15,293.15
94200,8904.16666666667,291.15,293.15
94800,8893.33333333333,291.15,293.15
95400,8882.5,291.15,293.15
96000,8871.66666666667,291.15,293.15
96600,8860.83333333333,291.15,293.15
97200,8850,291.15,293.15
97800,8819.66666666667,291.15,293.15
98400,8789.33333333333,291.15,293.15
99000,8759,291.15,293.15
99600,8728.66666666667,291.15,293.15
100200,8698.33333333333,291.15,293.15
100800,8668,291.15,293.15
101400,8617.33333333333,291.15,293.15
102000,8566.66666666667,291.15,293.15
102600,8516,291.15,293.15
103200,8465.33333333333,291.15,293.15
103800,8414.66666666667,291.15,293.15
104400,8364,291.15,293.15
105000,8318,291.15,293.15
105600,8272,291.15,293.15
106200,8226,291.15,293.15
106800,8180,291.15,293.15
107400,8134,291.15,293.15
108000,8088,291.15,293.15
108600,8046.5,291.15,293.15
109200,8005,291.15,293.15
109800,7963.5,291.15,293.15
110400,7922,291.15,293.15
111000,7880.5,291.15,293.15
111600,7839,291.15,293.15
112200,6673.5,290.825,292.546666666667
112800,5508,290.5,291.943333333333
113400,4342.5,290.175,291.34
114000,3177,289.85,290.736666666667
114600,2011.5,289.525,290.133333333333
115200,846,289.2,289.53
115800,1060.83333333333,289.225,289.55
116400,1275.66666666667,289.25,289.57
117000,1490.5,289.275,289.59
117600,1705.33333333333,289.3,289.61
118200,1920.16666666667,289.325,289.63
118800,2135,289.35,289.65
119400,2155.33333333333,289.35,289.65
120000,2175.66666666667,289.35,289.65
120600,2196,289.35,289.65
121200,2216.33333333333,289.35,289.65
121800,2236.66666666667,289.35,289.65
122400,2257,289.35,289.65
123000,2143.83333333333,289.35,289.65
123600,2030.66666666667,289.35,289.65
124200,1917.5,289.35,289.65
124800,1804.33333333333,289.35,289.65
125400,1691.16666666667,289.35,289.65
126000,1578,289.35,289.65
126600,1466,289.35,289.65
127200,1354,289.35,289.65
127800,1242,289.35,289.65
128400,1130,289.35,289.65
129000,1018,289.35,289.65
129600,906,289.35,289.65
130200,898.5,289.35,289.65
130800,891,289.35,289.65
131400,883.5,289.35,289.65
132000,876,289.35,289.65
132600,868.5,289.35,289.65
133200,861,289.35,289.65
133800,897.333333333333,289.35,289.65
134400,933.666666666667,289.35,289.65
135000,970,289.35,289.65
135600,1006.33333333333,289.35,289.65
136200,1042.66666666667,289.35,289.65
136800,1079,289.35,289.65
137400,1145.66666666667,289.35,289.65
138000,1212.33333333333,289.35,289.65
138600,1279,289.35,289.65
139200,1345.66666666667,289.35,289.65
139800,1412.33333333333,289.35,289.65
140400,1479,289.35,289.65
141000,1521.16666666667,289.35,289.65
141600,1563.33333333333,289.35,289.65
142200,1605.5,289.35,289.65
142800,1647.66666666667,289.35,289.65
143400,1689.83333333333,289.35,289.65
144000,1732,289.35,289.65
144600,1782.16666666667,289.35,289.65
145200,1832.33333333333,289.35,289.65
145800,1882.5,289.35,289.65
146400,1932.66666666667,289.35,289.65
147000,1982.83333333333,289.35,289.65
147600,2033,289.35,289.65
148200,3315.83333333333,290.15,289.9
148800,4598.66666666667,290.95,290.15
149400,5881.5,291.75,290.4
150000,7164.33333333333,292.55,290.65
150600,8447.16666666667,293.35,290.9
151200,9730,294.15,291.15
151800,9571.83333333333,294.15,291.15
152400,9413.66666666667,294.15,291.15
153000,9255.5,294.15,291.15
153600,9097.33333333333,294.15,291.15
154200,8939.16666666667,294.15,291.15
154800,8781,294.15,291.15
155400,8698.5,294.15,291.15
156000,8616,294.15,291.15
