Datetime,Qheat_injection_W,Qheat_losses_W,Critical_temp_K,Critical_press_drop_Pa
0.00,107472,3827.13,323.15,-99536.5
900.00,89702.6,3770.64,323.15,-66324.6
1800.00,87600.1,3748.2,323.15,-61760.6
2700.00,86409.7,3739.68,323.15,-59432.3
3600.00,85525.8,3736.69,323.15,-57998.5
4500.00,85012.6,3735.31,323.15,-57214.1
5400.00,84691.7,3734.56,321.939,-56736.7
6300.00,84539.1,3734.14,321.935,-56506.9
7200.00,84474.3,3733.92,321.934,-56406.3
8100.00,84499.7,3733.83,321.933,-56433.4
9000.00,84577.9,3733.84,321.934,-56536.9
9900.00,84669.8,3733.9,321.935,-56662
10800.00,84725.4,3733.98,321.936,-56740.5
11700.00,84717.8,3734.04,321.937,-56733.7
12600.00,84682.6,3734,321.936,-56684.9
13500.00,84619.8,3733.96,321.935,-56599.4
14400.00,84545.4,3733.91,321.934,-56498.5
15300.00,84471.7,3733.84,321.933,-56396.9
16200.00,84399.7,3733.76,321.932,-56296.8
17100.00,84316.2,3733.67,321.931,-56181.7
18000.00,84213.7,3733.55,321.93,-56039.6
18900.00,84075.9,3733.39,321.927,-55848.5
19800.00,83906.5,3733.22,321.925,-55616.2
20700.00,83708.3,3733.05,321.923,-55346.1
21600.00,83502.6,3732.84,321.92,-55065.3
22500.00,83303.5,3732.62,321.917,-54792.9
23400.00,83108.5,3732.38,321.914,-54525.8
24300.00,82905.2,3732.13,321.911,-54248
25200.00,41557.7,3713.88,321.696,-13640.4
26100.00,945.003,3594.79,320.706,-62.9451
27000.00,965.445,3441.73,319.559,-62.9451
27900.00,985.429,3307.33,318.448,-62.9451
28800.00,1005.3,3188.64,317.373,-62.9451
29700.00,1025.89,3083.56,316.332,-62.9451
30600.00,1048.2,2990.2,315.326,-62.9451
31500.00,1072.69,2906.97,314.351,-62.9451
32400.00,1098.94,2832.48,313.408,-62.9451
33300.00,1126.04,2765.52,312.496,-62.9451
34200.00,1152.95,2705.06,311.613,-62.9451
35100.00,1178.71,2650.24,310.758,-62.9451
36000.00,1202.51,2600.34,309.931,-62.9451
36900.00,1223.8,2554.72,309.131,-62.9451
37800.00,1242.34,2512.84,308.356,-62.9451
38700.00,1258.13,2474.17,307.606,-62.9451
39600.00,1271.4,2438.26,306.88,-62.9451
40500.00,1282.51,2404.72,306.177,-62.9451
41400.00,1291.84,2373.21,305.496,-62.9451
42300.00,1299.77,2343.48,304.836,-62.9451
43200.00,1306.6,2315.32,304.197,-62.9451
44100.00,1312.62,2288.56,303.578,-62.9451
45000.00,1318.02,2263.06,302.977,-62.9451
45900.00,1322.98,2238.72,302.395,-62.9451
46800.00,1327.62,2215.46,301.83,-62.9451
47700.00,1332.05,2193.2,301.282,-62.9451
48600.00,1336.34,2171.9,300.75,-62.9451
49500.00,1340.53,2151.49,300.234,-62.9451
50400.00,1344.66,2131.95,299.734,-62.9451
51300.00,1348.76,2113.22,299.248,-62.9451
52200.00,1352.85,2095.28,298.776,-62.9451
53100.00,1356.92,2078.1,298.319,-62.9451
54000.00,1360.98,2061.65,297.875,-62.9451
54900.00,1365.03,2045.9,297.445,-62.9451
55800.00,1369.04,2030.82,297.029,-62.9451
56700.00,1373.01,2016.39,296.625,-62.9451
57600.00,1376.93,2002.59,296.235,-62.9451
58500.00,1380.79,1989.37,295.857,-62.9451
59400.00,1384.57,1976.72,295.491,-62.9451
60300.00,1388.26,1964.62,295.139,-62.9451
61200.00,194502,3156.04,302.093,-206298
62100.00,187261,3676.45,322.564,-248500
63000.00,173042,3784.76,322.565,-247447
63900.00,172552,3788.31,322.565,-247722
64800.00,172777,3788.45,322.565,-248424
65700.00,173003,3788.53,322.566,-249099
66600.00,173319,3788.64,322.567,-250034
67500.00,173667,3788.76,322.569,-251074
68400.00,174035,3788.88,322.57,-252172
69300.00,174435,3788.83,322.569,-253323
70200.00,166407,3787.42,322.552,-230240
71100.00,162709,3785.61,322.534,-219703
72000.00,156686,3783.47,322.511,-203293
72900.00,151432,3781.32,322.488,-189472
73800.00,146640,3779.23,322.466,-177291
74700.00,142325,3777.23,322.444,-166674
75600.00,138340,3775.31,322.423,-157169
76500.00,134726,3773.48,322.403,-148794
77400.00,131364,3771.72,322.383,-141217
78300.00,128283,3770.03,322.364,-134451
79200.00,144146,3772.54,322.403,-170007
80100.00,162379,3781.53,322.517,-217622
81000.00,104705,3773.68,322.383,-90156.9
81900.00,98405.5,3757.29,322.144,-78402.1
82800.00,93498,3748.61,322.086,-70131.5
83700.00,89782.1,3743.39,322.032,-64321.4
84600.00,86722.6,3739.57,321.988,-59797.4
85500.00,84287.6,3736.39,321.95,-56325.4
86400.00,82220.5,3733.61,321.917,-53463.4
87300.00,80513.9,3731.12,321.887,-51153.4
88200.00,79025,3728.92,321.861,-49182.3
89100.00,77734.3,3726.94,321.837,-47505.8
90000.00,76550.5,3725.14,321.816,-45997.6
90900.00,75472.6,3723.47,321.795,-44646.6
91800.00,74467.3,3721.91,321.776,-43407
92700.00,73525.8,3720.4,321.757,-42262.1
93600.00,72595.9,3719.36,321.746,-41162.6
94500.00,74510.3,3719.55,321.752,-43347.5
95400.00,74934.7,3720.02,321.762,-43852.5
96300.00,75157.3,3720.59,321.772,-44133.1
97200.00,75369.5,3721.1,321.779,-44403.1
98100.00,75626.3,3721.57,321.784,-44725.4
99000.00,75920.8,3722.01,321.789,-45092
99900.00,76230.6,3722.45,321.794,-45477.6
100800.00,76522.6,3722.88,321.799,-45843.6
101700.00,76814.7,3723.32,321.805,-46211.7
102600.00,77147.3,3723.8,321.811,-46631.8
103500.00,77521.4,3724.29,321.817,-47104
104400.00,77884.1,3724.75,321.823,-47564.4
105300.00,78221.9,3725.21,321.828,-47996.4
106200.00,78545,3725.66,321.834,-48412.6
107100.00,78857.5,3726.12,321.84,-48817.6
108000.00,79171.3,3726.57,321.845,-49226.1
108900.00,79470.6,3727.01,321.851,-49617.5
109800.00,79731.1,3727.41,321.856,-49960.9
110700.00,79960.3,3727.77,321.86,-50264.8
111600.00,40317.3,3709.59,321.646,-12801.1
112500.00,946.635,3589.14,320.654,-62.9451
113400.00,967.051,3436.19,319.509,-62.9451
114300.00,987.005,3302.18,318.4,-62.9451
115200.00,1006.84,3183.84,317.327,-62.9451
116100.00,1027.41,3079.04,316.288,-62.9451
117000.00,1049.73,2985.93,315.283,-62.9451
117900.00,1074.18,2902.96,314.311,-62.9451
118800.00,1100.4,2828.71,313.369,-62.9451
119700.00,1127.5,2761.95,312.459,-62.9451
120600.00,1154.38,2701.66,311.577,-62.9451
121500.00,1180.07,2646.99,310.724,-62.9451
122400.00,1203.79,2597.24,309.899,-62.9451
123300.00,1225.02,2551.76,309.1,-62.9451
124200.00,1243.51,2510,308.326,-62.9451
125100.00,1259.26,2471.45,307.577,-62.9451
126000.00,1272.49,2435.64,306.853,-62.9451
126900.00,1283.54,2402.19,306.151,-62.9451
127800.00,1292.81,2370.76,305.471,-62.9451
128700.00,1300.7,2341.11,304.812,-62.9451
129600.00,1307.52,2313.02,304.174,-62.9451
130500.00,1313.53,2286.32,303.556,-62.9451
131400.00,1318.93,2260.89,302.956,-62.9451
132300.00,1323.86,2236.62,302.375,-62.9451
133200.00,1328.47,2213.42,301.811,-62.9451
134100.00,1332.85,2191.23,301.264,-62.9451
135000.00,1337.1,2169.98,300.733,-62.9451
135900.00,1341.28,2149.63,300.218,-62.9451
136800.00,1345.39,2130.13,299.718,-62.9451
137700.00,1349.48,2111.45,299.233,-62.9451
138600.00,1353.54,2093.56,298.762,-62.9451
139500.00,1357.59,2076.42,298.305,-62.9451
140400.00,1361.64,2060.01,297.862,-62.9451
141300.00,1365.67,2044.3,297.433,-62.9451
142200.00,1369.67,2029.26,297.017,-62.9451
143100.00,1373.64,2014.86,296.614,-62.9451
144000.00,1377.55,2001.09,296.224,-62.9451
144900.00,1381.4,1987.91,295.846,-62.9451
145800.00,1385.17,1975.3,295.481,-62.9451
146700.00,1388.84,1963.23,295.129,-62.9451
147600.00,194630,3154.72,302.089,-206298
148500.00,232459,3751.24,322.716,-419305
149400.00,203393,3798.37,322.658,-347937
150300.00,201601,3797.96,322.652,-341788
151200.00,200445,3797.58,322.649,-337723
152100.00,199743,3797.33,322.647,-335268
153000.00,199272,3797.15,322.646,-333618
153900.00,198989,3797.05,322.645,-332634
154800.00,198813,3796.97,322.644,-332014
155700.00,198713,3796.91,322.644,-331657
156600.00,198640,3796.85,322.643,-331392
157500.00,194912,3796.17,322.636,-318845
158400.00,186984,3794.12,322.616,-292808
159300.00,181357,3792.21,322.598,-274878
160200.00,176291,3790.5,322.582,-259254
161100.00,171797,3788.87,322.566,-245770
162000.00,167668,3787.36,322.552,-233722
162900.00,163929,3785.93,322.538,-223078
163800.00,160453,3784.56,322.524,-213408
164700.00,157256,3783.29,322.511,-204718
165600.00,158185,3782.98,322.509,-207049
166500.00,162107,3783.92,322.522,-217622
167400.00,137237,3779.84,322.466,-155497
168300.00,123786,3771.13,322.353,-125465
169200.00,117602,3765.43,322.299,-112567
170100.00,112867,3761.71,322.262,-103297
171000.00,108816,3758.72,322.226,-95743.3
171900.00,105422,3756.01,322.195,-89637.5
172800.00,102479,3753.6,322.166,-84513.7
173700.00,100009,3751.37,322.14,-80325.3
174600.00,97772.9,3749.55,322.119,-76644.6
175500.00,97700,3748.34,322.106,-76434.3
176400.00,98821.6,3748.43,322.111,-78185.1
177300.00,98567.5,3748.35,322.112,-77775.2
178200.00,98352.8,3748.21,322.11,-77427.3
179100.00,98162.9,3748.06,322.108,-77118.5
180000.00,97958.9,3747.87,322.106,-76785.4
180900.00,97728.9,3747.68,322.103,-76412.4
181800.00,97489.4,3747.49,322.101,-76025.6
182700.00,97222.3,3747.25,322.098,-75593.8
183600.00,96926.1,3747,322.095,-75117.9
184500.00,96644.3,3746.76,322.092,-74665.9
185400.00,96412.2,3746.57,322.09,-74294.9
186300.00,96236.8,3746.38,322.087,-74012.3
187200.00,96085.3,3746.2,322.085,-73766.8
188100.00,95885.5,3745.99,322.083,-73446.8
189000.00,95642.5,3745.77,322.08,-73061.1
189900.00,95384.6,3745.56,322.077,-72653.9
190800.00,95157.8,3745.43,322.076,-72301
191700.00,95034.5,3745.34,322.075,-72107.8
192600.00,94990.7,3745.25,322.074,-72035
193500.00,94988.2,3745.16,322.073,-72024.7
194400.00,94965.6,3745.07,322.072,-71984
195300.00,94881,3744.98,322.071,-71849.7
196200.00,94760.9,3744.87,322.069,-71661.4
197100.00,94612.7,3744.75,322.068,-71430.2
198000.00,47479,3726.96,321.848,-17947.7
198900.00,939.683,3608.63,320.852,-62.9451
199800.00,960.294,3454.67,319.699,-62.9451
200700.00,980.46,3319.32,318.582,-62.9451
201600.00,1000.51,3199.81,317.501,-62.9451
202500.00,1021.26,3094.03,316.455,-62.9451
203400.00,1043.68,3000.05,315.443,-62.9451
204300.00,1068.28,2916.27,314.464,-62.9451
205200.00,1094.74,2841.28,313.516,-62.9451
206100.00,1122.06,2773.85,312.599,-62.9451
