DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K
0,70000,293.15,293.15,293.15
600,18611.736,294.1453,293.02878,294.1453
1200,18882.541,294.14523,292.91733,294.14523
1800,18990.473,294.1452,292.81674,294.1452
2400,19047.98,294.1452,292.7268,294.1452
3000,19092.016,294.14517,292.64688,294.14517
3600,19138.777,294.14517,292.57608,294.14517
4200,19191.47,294.14517,292.51346,294.14517
4800,19248.172,294.14514,292.4581,294.14514
5400,19306.871,294.14514,292.40924,294.14514
6000,19368.715,294.1451,292.36615,294.1451
6600,19437.045,294.1451,292.32767,294.1451
7200,19511.354,294.14508,292.29327,294.14508
7800,19591.143,294.14505,292.2626,294.14505
8400,19675.904,294.14505,292.2352,294.14505
9000,19765.14,294.14502,292.21057,294.14502
9600,19858.348,294.145,292.18835,294.145
10200,19954.22,294.14496,292.1681,294.14496
10800,20029.152,294.14496,292.15005,294.14496
11400,20102.104,294.14493,292.1332,294.14493
12000,20173.281,294.1449,292.11752,294.1449
12600,20242.885,294.1449,292.10287,294.1449
13200,20311.12,294.14487,292.0892,294.14487
13800,20378.19,294.14487,292.07642,294.14487
14400,20444.297,294.14484,292.06445,294.14484
15000,20509.646,294.14484,292.0532,294.14484
15600,20574.443,294.1448,292.04254,294.1448
16200,20638.889,294.1448,292.03247,294.1448
16800,20703.188,294.14478,292.02283,294.14478
17400,20767.543,294.14478,292.0136,294.14478
18000,20832.16,294.14474,292.00467,294.14474
18600,20897.242,294.1447,291.9959,294.1447
19200,20962.99,294.1447,291.9873,294.1447
19800,21029.613,294.14468,291.97876,294.14468
20400,21081.447,294.14468,291.97018,294.14468
21000,21134.764,294.14468,291.96182,294.14468
21600,21190.102,294.14465,291.95367,294.14465
22200,21247.164,294.14465,291.9457,294.14465
22800,21305.658,294.14462,291.93793,294.14462
23400,21365.29,294.14462,291.93036,294.14462
24000,21425.762,294.1446,291.92294,294.1446
24600,21486.78,294.1446,291.91574,294.1446
25200,21548.049,294.14456,291.9087,294.14456
25800,18179.074,294.14542,291.9019,294.14542
26400,16538.242,294.1458,291.89505,294.14584
27000,16172.882,294.14594,291.8882,294.1459
27600,16630.307,294.1458,291.88144,294.1458
28200,17457.826,294.1456,291.8748,294.1456
28800,18202.738,294.14542,291.8683,294.14542
29400,18412.344,294.14536,291.862,294.14536
30000,17633.94,294.14554,291.85596,294.14557
30600,17463.348,294.14557,291.8503,294.1456
31200,17265.887,294.1456,291.84534,294.1457
31800,17022.682,294.14563,291.841,294.14578
32400,16773.611,294.14566,291.83722,294.14587
33000,16579.352,294.1457,291.83395,294.14594
33600,16401.766,294.14572,291.83112,294.146
34200,16237.604,294.14578,291.82867,294.14603
34800,16086.064,294.1458,291.8266,294.14606
35400,15953.536,294.14584,291.82483,294.1461
36000,15824.351,294.1459,291.82336,294.14612
36600,15695.497,294.14594,291.82214,294.14615
37200,15564.957,294.14597,291.8212,294.14618
37800,15430.712,294.146,291.8205,294.1462
38400,15290.743,294.14606,291.82,294.14624
39000,15149.411,294.1461,291.81967,294.14627
39600,15007.111,294.14612,291.81964,294.1463
40200,14866.116,294.14615,291.81985,294.14633
40800,14728.828,294.1462,291.82028,294.14636
41400,14597.653,294.14624,291.8209,294.1464
42000,14474.995,294.14627,291.82166,294.14642
42600,14363.259,294.1463,291.82254,294.14645
43200,14264.848,294.14633,291.82352,294.14648
43800,14182.167,294.14636,291.82455,294.14648
44400,14117.621,294.14636,291.8256,294.1465
45000,14077.405,294.1464,291.82663,294.1465
45600,14066.34,294.1464,291.8275,294.1465
46200,14066.318,294.1464,291.82803,294.1465
46800,14077.078,294.1464,291.82825,294.1465
47400,14098.356,294.1464,291.8281,294.14648
48000,14129.891,294.1464,291.82767,294.14648
48600,14171.417,294.1464,291.8269,294.14648
49200,14222.674,294.14636,291.82584,294.14645
49800,14283.397,294.14636,291.8245,294.14642
50400,14353.325,294.14633,291.82288,294.14642
51000,14432.193,294.14633,291.82095,294.1464
51600,14515.628,294.1463,291.81897,294.14636
52200,14619.36,294.14627,291.81674,294.14633
52800,14748.883,294.14624,291.81406,294.1463
53400,14898.007,294.1462,291.81088,294.14627
54000,15060.545,294.14618,291.80725,294.14624
54600,15230.308,294.14612,291.8032,294.14618
55200,15401.107,294.1461,291.7987,294.14615
55800,15566.755,294.14606,291.7938,294.1461
56400,15721.062,294.146,291.78848,294.14606
57000,15857.841,294.14597,291.78278,294.14603
57600,15970.903,294.14594,291.7767,294.146
58200,16075.715,294.1459,291.77026,294.14597
58800,16188.782,294.1459,291.76355,294.14594
59400,16305.53,294.14587,291.75656,294.1459
60000,16424.348,294.14584,291.74936,294.14587
60600,16543.621,294.1458,291.7419,294.14584
61200,16661.74,294.14578,291.73422,294.1458
61800,16777.094,294.14575,291.72635,294.14578
62400,16888.07,294.14572,291.7183,294.14575
63000,16993.055,294.1457,291.71005,294.14575
63600,17090.44,294.14566,291.70166,294.14572
64200,17178.61,294.14563,291.6931,294.1457
64800,17265.371,294.14563,291.68445,294.14566
65400,20122.053,294.1449,291.67566,294.14496
66000,21940.48,294.14444,291.66675,294.1445
66600,22910.568,294.1442,291.6577,294.14426
67200,23222.225,294.14413,291.64862,294.14417
67800,23065.354,294.14417,291.63943,294.1442
68400,22629.855,294.14426,291.6302,294.14432
69000,22105.623,294.1444,291.62082,294.14444
69600,21682.547,294.1445,291.61142,294.14456
70200,21550.512,294.14453,291.60193,294.1446
70800,21899.398,294.14444,291.59238,294.1445
71400,22626.307,294.14426,291.58276,294.14432
72000,22763.291,294.14423,291.5731,294.1443
72600,22881.021,294.1442,291.5634,294.14426
73200,22984.865,294.1442,291.5536,294.14423
73800,23080.188,294.14417,291.54376,294.1442
74400,23172.357,294.14413,291.5339,294.14417
75000,23257.387,294.1441,291.52396,294.14417
75600,23345.281,294.1441,291.51398,294.14413
76200,23436.271,294.14407,291.50397,294.1441
76800,23529.256,294.14404,291.49393,294.14407
77400,23623.135,294.144,291.48383,294.14407
78000,23716.75,294.144,291.4737,294.14404
78600,23811.186,294.14398,291.46353,294.144
79200,23907.18,294.14395,291.45337,294.14398
79800,24004.914,294.14392,291.44318,294.14395
80400,24104.57,294.1439,291.43298,294.14395
81000,24206.334,294.1439,291.42273,294.14392
81600,24310.387,294.14386,291.41248,294.1439
82200,24416.91,294.14383,291.40216,294.14386
