Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,14163.576,263.67944,294.10486
600,13677.711,263.78232,294.10843
1200,13618.779,263.86792,294.10886
1800,13591.702,263.93097,294.10907
2400,13562.757,263.98093,294.10928
3000,13541.728,264.02573,294.10944
3600,13528.781,264.06943,294.10953
4200,13517.874,264.1147,294.10962
4800,13501.113,264.16895,294.10974
5400,13483.164,264.23135,294.10986
6000,13468.692,264.30093,294.10995
6600,13460.906,264.37946,294.11002
7200,13453.851,264.46524,294.11008
7800,13433.784,264.56134,294.11023
8400,13426.275,264.66302,294.1103
9000,13424.422,264.7708,294.1103
9600,13421.326,264.88535,294.11032
10200,13410.849,265.00458,294.11038
10800,13396.62,265.13037,294.1105
11400,13400.917,265.25797,294.11047
12000,13394.734,265.3899,294.1105
12600,13383.9795,265.52475,294.1106
13200,13374.559,265.66125,294.11066
13800,13373.503,265.80026,294.11066
14400,13380.445,265.9383,294.11063
15000,13364.98,266.0796,294.11072
15600,13358.217,266.2223,294.11078
16200,13356.868,266.36627,294.11078
16800,13357.651,266.51147,294.11078
17400,13353.638,266.65613,294.1108
18000,13337.721,266.80365,294.11093
18600,13338.992,266.95114,294.11093
19200,13337.96,267.09708,294.11093
19800,13333.914,267.2421,294.11096
20400,13326.14,267.3869,294.11102
21000,13317.385,267.53223,294.11108
21600,13316.575,267.67642,294.11108
22200,13317.208,267.8185,294.11108
22800,13311.194,267.96255,294.1111
23400,13303.095,268.10733,294.11118
24000,13297.471,268.25168,294.11124
24600,13297.264,268.39615,294.11124
25200,13298.078,268.53934,294.11124
25800,13282.092,268.6845,294.11133
26400,13276.062,268.82745,294.1114
27000,13274.741,268.9691,294.1114
27600,13272.887,269.11032,294.11142
28200,13264.565,269.2497,294.11148
28800,13251.051,269.39035,294.11157
29400,13272.983,269.52533,294.11142
30000,13275.685,269.6612,294.1114
30600,13262.059,269.79877,294.11148
31200,13235.01,269.939,294.1117
31800,13195.296,270.08673,294.11197
32400,13148.304,270.23834,294.11234
33000,13008.999,270.40582,294.11334
33600,12928.068,270.585,294.11395
34200,12905.457,270.75073,294.1141
34800,12897.364,270.90454,294.11417
35400,12896.057,271.0493,294.11417
36000,12897.111,271.1872,294.11417
36600,12956.703,271.31238,294.11374
37200,12579.865,271.42676,294.06888
37800,12930.608,271.54935,293.97107
38400,11508.408,271.68265,293.74344
39000,12047.792,271.82455,293.62042
39600,12058.963,271.9652,293.62033
40200,12057.488,272.10468,293.62033
40800,12045.033,272.2441,293.62042
41400,12024.367,272.3855,293.62057
42000,12014.659,272.52554,293.62067
42600,12008.59,272.6637,293.6207
43200,12002.109,272.79965,293.62076
43800,11984.212,272.93573,293.62088
44400,11974.773,273.07205,293.62094
45000,11974.296,273.2057,293.62097
45600,11982.983,273.3358,293.62088
46200,11981.818,273.46347,293.6209
46800,11965.576,273.59436,293.62103
47400,11987.595,273.72177,293.62085
48000,12003.857,273.84457,293.62073
48600,12014.581,273.96487,293.62067
49200,12017.534,274.08643,293.62064
49800,12024.167,274.2076,293.6206
50400,12039.414,274.32715,293.62048
51000,12205.664,274.38126,293.61926
51600,12089.442,274.52487,293.62012
52200,11828.462,274.71866,293.62204
52800,11560.4375,274.92322,293.624
53400,11435.053,275.1026,293.6249
54000,11489.069,275.28775,293.6245
54600,11926.408,275.3566,293.6213
55200,12116.883,275.42926,293.6199
55800,12150.979,275.50116,293.61966
56400,12119.184,275.56772,293.6199
57000,12100.095,275.6666,293.62003
57600,12137.222,275.78122,293.61975
58200,12072.374,275.91904,293.62024
58800,12156.603,276.00613,293.61963
59400,12244.098,276.08636,293.619
60000,12189.05,276.20374,293.6194
60600,11759.275,276.369,293.62253
61200,10932.855,276.67328,293.6286
61800,11492.573,276.89206,293.6245
62400,11834.54,276.96262,293.62198
63000,11950.423,277.01962,293.62112
63600,11964.217,277.09576,293.62103
64200,12013.52,277.1816,293.62067
64800,12101.915,277.26318,293.62003
65400,12168.699,277.3415,293.61954
66000,12207.272,277.42184,293.61923
66600,12214.924,277.51236,293.6192
67200,12209.631,277.61197,293.61923
67800,12219.951,277.71518,293.61914
68400,12243.843,277.8163,293.619
69000,12263.813,277.915,293.61884
69600,12268.381,278.0175,293.6188
70200,12267.698,278.1216,293.6188
70800,12271.848,278.22626,293.61877
71400,12659.855,278.33167,293.66354
72000,12881.456,278.43817,293.75714
72600,13666.805,278.5473,293.98947
73200,13087.609,278.65845,294.11276
73800,13059.438,278.766,294.11298
74400,13030.297,278.87222,294.1132
75000,13001.749,278.97937,294.1134
75600,12976.071,279.08707,294.1136
76200,12969.983,279.19223,294.11365
76800,12953.731,279.2965,294.11377
77400,13624.478,279.40085,294.10883
78000,11940.643,279.5061,294.12122
78600,12522.61,279.60745,294.0693
79200,12339.044,279.70193,293.9754
79800,11512.407,279.799,293.7434
80400,12062.988,279.90244,293.6203
81000,12100.886,280.0047,293.62003
81600,12140.596,280.10275,293.61972
82200,12157.515,280.19705,293.6196
82800,12146.733,280.297,293.6197
83400,12174.498,280.39462,293.61948
84000,12193.769,280.48877,293.61935
84600,12197.603,280.58273,293.61932
85200,12189.336,280.6804,293.6194
85800,12187.857,280.7796,293.6194
86400,12196.568,280.87778,293.61932
87000,13814.783,280.97348,293.60742
87600,13790.592,281.06805,293.77426
88200,14268.672,281.16385,294.1041
88800,13058.33,281.25885,294.11298
89400,13038.641,281.35196,294.11313
90000,13028.296,281.44382,294.11322
90600,13010.513,281.53656,294.11334
91200,13003.746,281.62943,294.11337
91800,13005.215,281.7205,294.11337
92400,13003.051,281.8104,294.1134
93000,12993.946,281.90082,294.11346
93600,12980.426,281.99332,294.11356
94200,12985.768,282.08307,294.11353
94800,12979.746,282.17407,294.11356
95400,12968.677,282.2652,294.11365
96000,12958.877,282.3552,294.1137
96600,12958.118,282.44498,294.1137
97200,12964.522,282.53198,294.11368
97800,12947.736,282.6212,294.1138
98400,12942.137,282.70914,294.11383
99000,12942.657,282.7966,294.11383
99600,12944.234,282.88425,294.11383
100200,12939.278,282.97092,294.11386
100800,12922.602,283.0595,294.11398
101400,12925.903,283.1468,294.11395
102000,12925.046,283.23312,294.11395
102600,12920.884,283.31866,294.11398
103200,12914.27,283.40366,294.11404
103800,12908.687,283.4889,294.11407
104400,12908.916,283.57312,294.11407
105000,12909.305,283.65558,294.11407
105600,12904.114,283.73938,294.1141
106200,12897.065,283.82367,294.11417
106800,12891.876,283.90744,294.1142
107400,12891.198,283.99097,294.11423
108000,12892.697,284.07327,294.1142
108600,12878.582,284.1577,294.11432
109200,12874.008,284.24005,294.11435
109800,12873.863,284.32135,294.11435
110400,12873.037,284.40265,294.11435
111000,12865.153,284.48306,294.1144
111600,12851.26,284.56473,294.1145
112200,12858.595,284.64386,294.11444
112800,12856.473,284.72403,294.11447
113400,12849.416,284.80444,294.11453
114000,12841.944,284.8843,294.11456
114600,12840.882,284.96457,294.1146
115200,12846.497,285.04327,294.11453
115800,12855.809,285.1191,294.11447
116400,12858.354,285.19455,294.11447
117000,12854.7705,285.27036,294.11447
117600,12845.699,285.3472,294.11456
118200,12824.547,285.4269,294.11472
118800,12794.432,285.51093,294.11493
119400,12780.245,285.59268,294.11502
120000,12731.852,285.68387,294.1154
120600,12664.265,285.78107,294.11588
121200,12592.495,285.8807,294.11642
121800,12542.115,285.98376,294.1168
122400,12535.898,286.08044,294.11682
123000,12510.842,286.1709,294.117
123600,11865.465,286.2595,294.07413
124200,12039.573,286.34818,293.97763
124800,11045.799,286.43512,293.74683
125400,11649.419,286.51953,293.62335
126000,11634.953,286.60242,293.62344
126600,11635.201,286.68533,293.62344
127200,11637.733,286.7685,293.62344
127800,11645.384,286.84924,293.62338
128400,11653.789,286.9277,293.62332
129000,11652.66,287.0063,293.62332
129600,11646.554,287.08533,293.62335
130200,11650.774,287.16428,293.62332
130800,11661.37,287.23956,293.62326
131400,11664.416,287.31485,293.62323
132000,11644.016,287.39282,293.62338
132600,11644.891,287.47256,293.62338
133200,11666.447,287.54678,293.62323
133800,11767.206,287.60648,293.62247
134400,11819.89,287.65457,293.6221
135000,11828.892,287.70975,293.62204
135600,11837.125,287.77106,293.62198
136200,11854.092,287.83267,293.62183
136800,11870.668,287.89542,293.6217
137400,11871.304,287.96097,293.6217
138000,11888.939,288.0242,293.62158
138600,11907.19,288.0881,293.62146
139200,11912.468,288.1532,293.6214
139800,11914.97,288.22012,293.6214
140400,11923.943,288.28723,293.62134
141000,11961.898,288.34683,293.62106
141600,11948.746,288.41516,293.62115
142200,11923.8545,288.4855,293.62134
142800,11917.036,288.55832,293.62137
143400,11930.396,288.62817,293.62128
144000,11944.578,288.69568,293.6212
144600,11936.686,288.76395,293.62125
145200,11940.642,288.83215,293.62122
145800,11954.392,288.89926,293.6211
146400,11985.36,288.96082,293.62088
147000,11981,289.02567,293.6209
147600,11965.358,289.09198,293.62103
148200,11962.479,289.1594,293.62103
148800,11616.288,289.26297,293.6236
149400,11064.808,289.48245,293.62766
150000,11603.742,289.61462,293.6237
150600,11974.99,289.5866,293.62094
151200,11989.4795,289.588,293.62085
151800,12019.602,289.61383,293.62064
152400,12031.046,289.65256,293.62054
153000,12027.8,289.70227,293.62057
153600,12034.832,289.75647,293.6205
154200,12040.945,289.81363,293.62045
154800,12044.399,289.87195,293.62045
155400,12038.964,289.93268,293.62048
156000,12039.88,289.99496,293.62048
156600,11441.632,290.0553,293.62488
157200,12998.567,290.1175,293.61343
157800,11776.82,290.18066,293.67
158400,12646.92,290.24435,293.75888
159000,13432.899,290.30652,293.99118
159600,12109.823,290.36792,294.11996
160200,12793.84,290.4321,294.11493
160800,12769.923,290.49677,294.1151
161400,12754.985,290.5599,294.1152
162000,12753.892,290.61884,294.11523
162600,12729.885,290.67877,294.1154
163200,12719.056,290.7394,294.11548
163800,13196.847,290.79807,294.11197
164400,11413.436,290.8531,294.1251
165000,12318.468,290.9069,294.0708
165600,12112.493,290.9611,293.97708
166200,11342.179,291.0137,293.74466
166800,11952.052,291.06424,293.62112
167400,11962.882,291.11697,293.62103
168000,11949.216,291.17563,293.62115
168600,11939.541,291.23926,293.62122
169200,11937.838,291.30362,293.62122
