Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,0,293.15,293.15
600,26.617027,293.08875,293.1498
1200,26.88942,293.03677,293.1498
1800,27.270079,292.99417,293.1498
2400,27.783903,292.95978,293.1498
3000,28.469427,292.93216,293.14978
3600,29.360008,292.9099,293.14978
4200,30.406727,292.892,293.14978
4800,31.487612,292.87708,293.14978
5400,32.597244,292.86475,293.14975
6000,33.730343,292.85452,293.14975
6600,34.870518,292.84564,293.14975
7200,36.028244,292.8379,293.14975
7800,37.25217,292.831,293.14972
8400,38.584244,292.82465,293.14972
9000,39.952946,292.81876,293.14972
9600,41.28949,292.81326,293.1497
10200,42.52967,292.808,293.1497
10800,43.59096,292.80298,293.1497
11400,44.515915,292.79822,293.14966
12000,45.454536,292.7936,293.14966
12600,46.414005,292.78912,293.14966
13200,47.40209,292.78476,293.14966
13800,48.435608,292.78046,293.14966
14400,49.511547,292.77618,293.14963
15000,50.631916,292.77197,293.14963
15600,51.788425,292.76773,293.14963
16200,52.98439,292.76352,293.1496
16800,54.223103,292.75928,293.1496
17400,55.50212,292.75504,293.1496
18000,56.832108,292.75076,293.1496
18600,58.242825,292.7465,293.14957
19200,59.748512,292.74216,293.14957
19800,61.306633,292.73776,293.14954
20400,62.875214,292.73337,293.14954
21000,64.415726,292.7289,293.14954
21600,65.87642,292.72446,293.1495
22200,67.22261,292.72,293.1495
22800,68.46186,292.71564,293.1495
23400,69.63066,292.7113,293.14948
24000,70.76461,292.70703,293.14948
24600,71.89698,292.70282,293.14948
25200,73.07089,292.69867,293.14948
25800,0,292.76852,293.06586
26400,0,292.8238,292.9962
27000,0,292.8669,292.9387
27600,0,292.9004,292.89175
28200,0,292.92856,292.855
28800,0,292.95224,292.82587
29400,0,292.97256,292.80316
30000,0,292.99152,292.7859
30600,0,293.01028,292.7741
31200,0,293.03018,292.76785
31800,0,293.05295,292.76697
32400,0,293.07758,292.77017
33000,0,293.10208,292.77545
33600,0,293.12518,292.78128
34200,0,293.14642,292.78687
34800,0,293.16565,292.792
35400,0,293.18265,292.79626
36000,0,293.1975,292.7996
36600,0,293.21066,292.80228
37200,0,293.22244,292.80466
37800,0,293.23315,292.80698
38400,0,293.24316,292.80936
39000,0,293.2526,292.81186
39600,0,293.2616,292.81448
40200,0,293.2702,292.81717
40800,0,293.27856,292.8199
41400,0,293.28665,292.82257
42000,0,293.29434,292.82513
42600,0,293.30164,292.8275
43200,0,293.3085,292.8296
43800,0,293.3148,292.8313
44400,0,293.32047,292.83252
45000,0,293.32538,292.83313
45600,0,293.32947,292.83313
46200,0,293.33273,292.83246
46800,0,293.3351,292.83115
47400,0,293.3367,292.82925
48000,0,293.3375,292.82678
48600,0,293.33752,292.82364
49200,0,293.3367,292.8198
49800,0,293.3351,292.8152
