,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,3162.02,292.77386,293.15155
600,1898.0562,292.68277,293.14963
1200,1699.2063,292.60263,293.14996
1800,1636.1567,292.5319,293.15
2400,1602.7323,292.4692,293.15
3000,1577.3994,292.41345,293.15
3600,1555.5901,292.36362,293.15
4200,1537.1741,292.31876,293.14996
4800,1520.3531,292.27823,293.14996
5400,1504.8373,292.24142,293.14996
6000,1490.4814,292.20786,293.14996
6600,1477.1697,292.1771,293.14996
7200,1464.7279,292.1487,293.14996
7800,1453.0693,292.12244,293.14996
8400,1442.0632,292.09796,293.14996
9000,1431.6866,292.07504,293.14996
9600,1421.855,292.0535,293.14996
10200,1412.5164,292.03317,293.14996
10800,1403.6215,292.01385,293.14996
11400,1394.0509,291.99564,293.14996
12000,1385.0024,291.97827,293.14996
12600,1376.505,291.96167,293.14996
13200,1368.3555,291.9457,293.14996
13800,1360.5106,291.93036,293.14996
14400,1352.9557,291.91553,293.14996
15000,1345.5892,291.90118,293.14996
15600,1338.4839,291.88724,293.14996
16200,1331.6394,291.8737,293.14996
16800,1324.969,291.86044,293.14996
17400,1318.5308,291.84753,293.14996
18000,1312.2953,291.83487,293.14996
18600,1306.321,291.82245,293.14996
19200,1300.4917,291.81024,293.14996
19800,1294.7982,291.79822,293.14996
20400,1289.297,291.7864,293.14996
21000,1283.9027,291.77475,293.14996
21600,1278.7114,291.76324,293.14996
22200,1272.4762,291.75208,293.15
22800,1266.5742,291.74112,293.15
23400,1260.9915,291.73032,293.15
24000,1255.5391,291.7197,293.15
24600,1250.2174,291.70923,293.15
25200,1244.9825,291.6989,293.15
25800,1239.7913,291.68872,293.15
26400,1234.7449,291.6787,293.15
27000,1229.7328,291.6688,293.15
27600,1224.8553,291.659,293.15
28200,1220.0701,291.64932,293.15
28800,0.0,291.6921,292.94736
29400,0.0,291.71686,292.80762
30000,0.0,291.73895,292.6859
30600,0.0,291.75937,292.57867
31200,0.0,291.77838,292.48413
31800,0.0,291.79623,292.40082
32400,0.0,291.81314,292.32742
33000,0.0,291.8323,292.26614
33600,0.0,291.85196,292.21405
34200,0.0,291.87204,292.17017
34800,0.0,291.89258,292.13373
35400,0.0,291.9136,292.10403
36000,0.0,291.93512,292.08047
36600,0.0,291.95615,292.0614
37200,0.0,291.97736,292.047
37800,0.0,291.9988,292.0369
38400,0.0,292.02054,292.0307
39000,0.0,292.04263,292.0281
39600,0.0,292.0651,292.02884
40200,0.0,292.08563,292.03018
40800,0.0,292.10577,292.0334
41400,0.0,292.12567,292.0384
42000,0.0,292.14542,292.045
42600,0.0,292.1651,292.0532
43200,0.0,292.18475,292.0628
43800,0.0,292.19913,292.06818
44400,0.0,292.21173,292.07266
45000,0.0,292.22287,292.07642
45600,0.0,292.23276,292.07953
46200,0.0,292.24155,292.08203
46800,0.0,292.24942,292.084
47400,0.0,292.2526,292.08145
48000,0.0,292.25366,292.07684
48600,0.0,292.253,292.07047
49200,0.0,292.2507,292.0624
49800,0.0,292.24698,292.0528
50400,0.0,292.242,292.04178
51000,0.0,292.2335,292.02692
51600,0.0,292.22305,292.00983
52200,0.0,292.21094,291.9907
52800,0.0,292.19733,291.96967
53400,0.0,292.18228,291.9469
54000,0.0,292.16595,291.92242
54600,0.0,292.14758,291.89557
55200,0.0,292.1278,291.86688
55800,0.0,292.10675,291.8365
56400,0.0,292.08444,291.8045
57000,0.0,292.061,291.77103
57600,0.0,292.0365,291.73608
58200,0.0,292.0182,291.70743
58800,0.0,292.00146,291.6804
59400,0.0,291.98596,291.65472
60000,0.0,291.97147,291.63028
60600,0.0,291.95786,291.60693
61200,0.0,291.94498,291.58453
61800,0.0,291.93304,291.56332
62400,0.0,291.92172,291.54303
63000,0.0,291.91095,291.5235
