,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,1188.999267578125,293.1496887207031,287.4155578613281
600,0.0,292.993896484375,287.4312438964844
1200,2055.807373046875,293.145751953125,287.4458923339844
1800,1302.772216796875,293.1452331542969,287.4591064453125
2400,1168.072021484375,293.1416931152344,287.4720458984375
3000,1147.74560546875,293.14080810546875,287.48486328125
3600,1143.3505859375,293.14080810546875,287.49652099609375
4200,1145.122314453125,293.1412353515625,287.5064392089844
4800,1137.326416015625,293.1412353515625,287.5154113769531
5400,1131.1610107421875,293.1412353515625,287.5235290527344
6000,1174.734375,293.1458740234375,287.5291748046875
6600,1162.3668212890625,293.1471862792969,287.5333557128906
7200,1147.686279296875,293.1471862792969,287.53717041015625
7800,1133.24267578125,293.146728515625,287.5412292480469
8400,1129.61279296875,293.146728515625,287.5449523925781
9000,1124.721923828125,293.146728515625,287.54833984375
9600,1127.5150146484375,293.1471862792969,287.5509338378906
10200,1120.9278564453123,293.1471862792969,287.55328369140625
10800,1116.1177978515623,293.1471862792969,287.55548095703125
11400,1102.9864501953123,293.1467590332031,287.5581359863281
12000,1107.2630615234377,293.147216796875,287.5601501464844
12600,1100.7188720703123,293.147216796875,287.5620422363281
13200,1095.8048095703123,293.147216796875,287.5638732910156
13800,1096.435546875,293.1468505859375,287.5645446777344
14400,1095.5084228515623,293.1468505859375,287.56524658203125
15000,1089.98193359375,293.146728515625,287.5660705566406
15600,1072.73046875,293.14569091796875,287.5675964355469
16200,1073.51416015625,293.14569091796875,287.569091796875
16800,1024.702392578125,293.1424560546875,287.57318115234375
17400,993.0361328125,293.1395568847656,287.57958984375
18000,1003.75439453125,293.1395568847656,287.5855407714844
18600,0.0,293.0116271972656,287.592041015625
19200,0.0,292.9181823730469,287.59747314453125
19800,0.0,292.83740234375,287.6024475097656
20400,0.0,292.7668151855469,287.6070556640625
21000,0.0,292.7059326171875,287.61236572265625
21600,0.0,292.65240478515625,287.6173095703125
22200,0.0,292.60418701171875,287.6210021972656
22800,0.0,292.5611267089844,287.6241760253906
23400,0.0,292.5228271484375,287.62725830078125
24000,2458.18017578125,292.80401611328125,287.6292419433594
24600,2458.18017578125,292.9989929199219,287.6265563964844
25200,2304.575439453125,293.14727783203125,287.6241760253906
25800,1269.0765380859375,293.14691162109375,287.6227722167969
26400,1050.202880859375,293.1419677734375,287.625732421875
27000,1041.1324462890623,293.14202880859375,287.6286926269531
27600,0.0,293.0097961425781,287.6322937011719
28200,0.0,292.91534423828125,287.63702392578125
28800,0.0,292.8339538574219,287.6415100097656
29400,0.0,292.76678466796875,287.649658203125
30000,0.0,292.70867919921875,287.6579284667969
30600,0.0,292.6593017578125,287.66729736328125
31200,0.0,292.6185302734375,287.6788024902344
