Time [s],T office north [K],T office south [K],T corridor [K],heating power office north [W],heating power office south [W],heating power corridor [W],cooling power office north [W],cooling power office south [W],cooling power corridor [W]
0,293.15,293.15,293.15,0,0,0,0,0,0
600,293.11887,293.11887,293.1064,0,0,0,0,0,0
1200,293.0814,293.0814,293.0666,0,0,0,0,0,0
1800,293.03842,293.03842,293.03055,0,0,0,0,0,0
2400,292.9918,292.9918,292.9983,0,0,0,0,0,0
3000,292.94366,292.94366,292.96988,0,0,0,0,0,0
3600,292.89615,292.89615,292.9448,0,0,0,0,0,0
4200,292.84988,292.84988,292.92184,0,0,0,0,0,0
4800,292.8053,292.8053,292.90073,0,0,0,0,0,0
5400,292.76224,292.76224,292.88098,0,0,0,0,0,0
6000,292.7211,292.7211,292.86255,0,0,0,0,0,0
6600,292.6816,292.6816,292.8452,0,0,0,0,0,0
7200,292.6443,292.6443,292.82898,0,0,0,0,0,0
7800,292.60892,292.60892,292.81384,0,0,0,0,0,0
8400,292.57538,292.57538,292.79947,0,0,0,0,0,0
9000,292.5437,292.5437,292.78577,0,0,0,0,0,0
9600,292.51373,292.51373,292.77277,0,0,0,0,0,0
10200,292.48523,292.48523,292.76013,0,0,0,0,0,0
10800,292.45834,292.45834,292.74802,0,0,0,0,0,0
11400,292.43274,292.43274,292.73624,0,0,0,0,0,0
12000,292.4084,292.4084,292.72476,0,0,0,0,0,0
12600,292.38513,292.38513,292.71347,0,0,0,0,0,0
13200,292.36276,292.36276,292.70233,0,0,0,0,0,0
13800,292.34116,292.34116,292.69125,0,0,0,0,0,0
14400,292.32022,292.32022,292.68015,0,0,0,0,0,0
15000,292.2998,292.2998,292.66898,0,0,0,0,0,0
15600,292.28,292.28,292.65787,0,0,0,0,0,0
16200,292.2606,292.2606,292.64664,0,0,0,0,0,0
16800,292.24146,292.24146,292.63528,0,0,0,0,0,0
17400,292.22253,292.22253,292.62372,0,0,0,0,0,0
18000,292.2038,292.2038,292.61197,0,0,0,0,0,0
18600,292.1853,292.1853,292.5999,0,0,0,0,0,0
19200,292.1668,292.1668,292.58755,0,0,0,0,0,0
19800,292.14832,292.14832,292.57483,0,0,0,0,0,0
20400,292.12985,292.12985,292.56177,0,0,0,0,0,0
21000,292.11145,292.11145,292.54837,0,0,0,0,0,0
21600,292.09302,292.09302,292.53458,0,0,0,0,0,0
22200,292.07452,292.07452,292.5204,0,0,0,0,0,0
22800,292.05597,292.05597,292.50592,0,0,0,0,0,0
23400,292.0374,292.0374,292.49124,0,0,0,0,0,0
24000,292.01877,292.01877,292.4763,0,0,0,0,0,0
24600,292,292,292.4611,0,0,0,0,0,0
25200,291.9812,291.9812,292.44568,0,0,0,0,0,0
25800,291.81323,291.81323,292.55255,0,0,0,0,0,0
26400,291.68988,291.68988,292.6462,0,0,0,0,0,0
27000,291.59824,291.59824,292.72684,0,0,0,0,0,0
27600,291.6541,291.6541,292.79617,8567.851,8567.854,0,0,0,0
28200,292.11905,292.11905,292.8568,18783.238,18783.24,0,0,0,0
28800,292.76175,292.76175,292.91058,23272.541,23272.541,0,0,0,0
29400,293.34167,293.34174,292.9593,22290.51,22290.29,0,0,0,0
30000,293.68344,293.68433,293.00345,17790.324,17784.406,0,0,0,0
30600,293.75845,293.76193,293.04294,12244.266,12212.868,0,0,0,0
31200,293.63214,293.64087,293.0781,7600.716,7500.8555,0,0,0,0
31800,293.40887,293.426,293.10928,4900.9116,4663.9614,0,0,0,0
32400,293.18518,293.21313,293.13687,4279.8374,3804.1365,0,0,0,0
33000,293.02698,293.05594,293.16125,5213.847,4469.2007,0,0,0,0
33600,292.96176,292.98306,293.18277,6883.5737,5930.9414,0,0,0,0
34200,292.9839,292.9934,293.20175,8467.845,7410.798,0,0,0,0
34800,293.05975,293.05865,293.2185,9418.752,8357.675,0,0,0,0
35400,293.14935,293.1401,293.23334,9555.22,8566.664,0,0,0,0
36000,293.2207,293.20706,293.24646,9002.343,8132.3037,0,0,0,0
36600,293.25586,293.24274,293.25815,8072.044,7324.6104,0,0,0,0
37200,293.25388,293.24405,293.2686,7109.6377,6456.8877,0,0,0,0
37800,293.22623,293.22098,293.27792,6369.613,5771.2505,0,0,0,0
38400,293.1888,293.18875,293.28635,5963.9165,5374.006,0,0,0,0
39000,293.15704,293.1605,293.29404,5862.355,5244.431,0,0,0,0
39600,293.13986,293.14377,293.30103,5940.5313,5285.433,0,0,0,0
40200,293.13806,293.14032,293.3075,6055.454,5376.6772,0,0,0,0
40800,293.14728,293.14713,293.3135,6099.1543,5418.3223,0,0,0,0
41400,293.16116,293.1588,293.31915,6020.2944,5357.7686,0,0,0,0
42000,293.1736,293.17,293.32446,5823.395,5192.2583,0,0,0,0
42600,293.18088,293.17706,293.32956,5551.644,4955.188,0,0,0,0
43200,293.18204,293.1787,293.33444,5260.845,4695.32,0,0,0,0
43800,293.1781,293.17548,293.33914,5000.328,4459.1855,0,0,0,0
44400,293.1711,293.169,293.34366,4799.5615,4277.4297,0,0,0,0
45000,293.1634,293.16147,293.34796,4667.5835,4162.5376,0,0,0,0
45600,293.15677,293.15466,293.35202,4598.1934,4111.328,0,0,0,0
46200,293.15228,293.14984,293.35583,4573.4014,4107.797,0,0,0,0
46800,293.15018,293.14734,293.35938,4571.444,4130.6597,0,0,0,0
47400,293.14984,293.14673,293.36267,4574.4463,4161.2837,0,0,0,0
48000,293.15033,293.14706,293.36575,4572.9536,4189.1,0,0,0,0
48600,293.1507,293.14737,293.36862,4566.624,4212.863,0,0,0,0
49200,293.1504,293.14716,293.37128,4561.578,4237.276,0,0,0,0
49800,293.14932,293.14655,293.37375,4565.486,4267.1494,0,0,0,0
50400,293.14767,293.14566,293.376,4583.731,4305.036,0,0,0,0
51000,293.14594,293.14462,293.37808,4617.899,4352.1104,0,0,0,0
51600,293.1445,293.14365,293.38,4665.725,4408.056,0,0,0,0
52200,293.1435,293.14285,293.38177,4723.2393,4471.392,0,0,0,0
52800,293.1426,293.142,293.38336,4788.535,4542.072,0,0,0,0
53400,293.1412,293.14056,293.38477,4864.8643,4624.223,0,0,0,0
54000,293.1389,293.13815,293.38586,4960.3003,4726.2026,0,0,0,0
54600,293.13577,293.13495,293.38663,5083.001,4856.149,0,0,0,0
55200,293.13287,293.13205,293.38702,5233.2734,5013.8643,0,0,0,0
55800,293.1314,293.13065,293.38715,5400.249,5187.906,0,0,0,0
56400,293.13187,293.1312,293.38693,5566.258,5360.2046,0,0,0,0
57000,293.13388,293.13327,293.38644,5715.586,5514.999,0,0,0,0
57600,293.1365,293.136,293.3857,5840.7007,5644.9365,0,0,0,0
58200,293.13895,293.13846,293.38467,5942.874,5751.496,0,0,0,0
58800,293.14063,293.14017,293.38342,6028.7993,5841.51,0,0,0,0
59400,293.14145,293.14102,293.3819,6106.438,5923.029,0,0,0,0
60000,293.1415,293.1411,293.38016,6182.5664,6002.9033,0,0,0,0
60600,293.14114,293.14075,293.37817,6261.6377,6085.625,0,0,0,0
61200,293.14063,293.14023,293.37598,6345.3657,6172.9014,0,0,0,0
61800,293.14023,293.13983,293.37357,6433.0073,6263.966,0,0,0,0
62400,293.14008,293.1397,293.37094,6522.361,6356.611,0,0,0,0
63000,293.1402,293.13983,293.3681,6611.027,6448.456,0,0,0,0
63600,293.14047,293.14014,293.36505,6697.125,6537.645,0,0,0,0
64200,293.1408,293.14047,293.36182,6779.7456,6623.281,0,0,0,0
64800,293.1411,293.14078,293.3584,6859.587,6706.0776,0,0,0,0
65400,293.04605,293.05118,293.23273,0,0,0,0,0,0
66000,292.95544,292.96506,293.11874,0,0,0,0,0,0
66600,292.8732,292.88654,293.01517,0,0,0,0,0,0
67200,292.7984,292.81482,292.92032,0,0,0,0,0,0
67800,292.73145,292.75027,292.8351,0,0,0,0,0,0
68400,292.67075,292.69147,292.75897,0,0,0,0,0,0
69000,292.61417,292.63647,292.68936,0,0,0,0,0,0
69600,292.56122,292.58484,292.62558,0,0,0,0,0,0
70200,292.51053,292.5353,292.56567,0,0,0,0,0,0
70800,292.46225,292.48804,292.50986,0,0,0,0,0,0
71400,292.41638,292.44296,292.4582,0,0,0,0,0,0
72000,292.3729,292.40012,292.4106,0,0,0,0,0,0
72600,292.3309,292.3587,292.36578,0,0,0,0,0,0
73200,292.2904,292.31866,292.32352,0,0,0,0,0,0
73800,292.2515,292.28015,292.28412,0,0,0,0,0,0
74400,292.2142,292.2431,292.24753,0,0,0,0,0,0
75000,292.17786,292.207,292.2126,0,0,0,0,0,0
75600,292.1425,292.17178,292.17932,0,0,0,0,0,0
76200,292.1083,292.13773,292.14813,0,0,0,0,0,0
76800,292.0752,292.1046,292.11874,0,0,0,0,0,0
77400,292.0422,292.0717,292.08957,0,0,0,0,0,0
