Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,7581.530951,293.15,293.15
600,7375.421657,293.15,293.15
1200,7173.789794,293.15,293.15
1800,6989.944987,293.15,293.15
2400,6768.607409,293.15,293.15
3000,6552.243023,293.15,293.15
3600,6415.461989,293.15,293.15
4200,6334.382632,293.15,293.15
4800,6274.576793,293.15,293.15
5400,6229.121479,293.15,293.15
6000,6196.014774,293.15,293.15
6600,6174.724817,293.15,293.15
7200,6171.102303,293.15,293.15
7800,6163.55184,293.15,293.15
8400,6161.55732,293.15,293.15
9000,6161.693879,293.15,293.15
9600,6122.268439,293.15,293.15
10200,6090.837891,293.15,293.15
10800,6021.798382,293.15,293.15
11400,6010.548183,293.15,293.15
12000,6019.055901,293.15,293.15
12600,6195.338482,293.15,293.15
13200,6159.718074,293.15,293.15
13800,6130.732179,293.15,293.15
14400,6067.109659,293.15,293.15
15000,6003.071337,293.15,293.15
15600,5951.685621,293.15,293.15
16200,5879.865887,293.15,293.15
16800,5875.59205,293.15,293.15
17400,5871.20674,293.15,293.15
18000,5826.119451,293.15,293.15
18600,5816.918752,293.15,293.15
19200,5811.570285,293.15,293.15
19800,5802.644519,293.15,293.15
20400,5772.287654,293.15,293.15
21000,5751.654212,293.15,293.15
21600,5751.636256,293.15,293.15
22200,5743.78534,293.15,293.15
22800,5736.616027,293.15,293.15
23400,5693.190323,293.15,293.15
24000,5690.762712,293.15,293.15
24600,5695.226221,293.15,293.15
25200,5746.961998,293.15,293.15
25800,5768.03665,293.15,293.15
26400,5785.744801,293.15,293.15
27000,5793.26614,293.15,293.15
27600,5751.730451,293.15,293.15
28200,5722.191404,293.15,293.15
28800,5723.073677,293.15,293.15
29400,5730.753557,293.15,293.15
30000,5736.024932,293.15,293.15
30600,5710.698003,293.15,293.15
31200,5684.454919,293.15,293.15
31800,5665.343649,293.15,293.15
32400,5646.863929,293.15,293.15
33000,5604.063971,293.15,293.15
33600,5566.978429,293.15,293.15
34200,5514.102271,293.15,293.15
34800,5490.786961,293.15,293.15
35400,5465.612885,293.15,293.15
36000,5366.864803,293.15,293.15
36600,5312.522241,293.15,293.15
37200,5268.875831,293.15,293.15
37800,5217.187675,293.15,293.15
38400,5149.982033,293.15,293.15
39000,5096.177319,293.15,293.15
39600,5038.296374,293.15,293.15
40200,4937.31769,293.15,293.15
40800,4854.065056,293.15,293.15
41400,4736.426235,293.15,293.15
42000,4650.070713,293.15,293.15
42600,4578.712978,293.15,293.15
43200,4453.071297,293.15,293.15
43800,4384.709034,293.15,293.15
44400,4342.491271,293.15,293.15
45000,4419.387366,293.15,293.15
45600,4412.70206,293.15,293.15
46200,4413.498706,293.15,293.15
46800,4449.030518,293.15,293.15
47400,4411.413105,293.15,293.15
48000,4383.316195,293.15,293.15
48600,4361.895399,293.15,293.15
49200,4327.610455,293.15,293.15
49800,4305.513811,293.15,293.15
50400,4325.224354,293.15,293.15
51000,1859.572862,292.8022163,292.8126415
51600,0,292.3375409,292.3506314
52200,0,292.0177244,292.020282
52800,0,291.7936941,291.7786957
53400,0,291.6365588,291.6021541
54000,0,291.5186682,291.4622275
54600,0,291.429794,291.3513705
55200,0,291.3630469,291.2646359
55800,0,291.3022887,291.18333
56400,0,291.2527916,291.1143321
57000,0,291.2134103,291.0576418
57600,0,291.1776399,291.0037567
58200,0,291.1471022,290.9561095
58800,0,291.1221369,290.9161522
59400,0,291.0976541,290.8765205
60000,0,291.0715853,290.8362509
60600,0,291.0473547,290.7995303
61200,0,291.019965,290.7593737
61800,0,290.9884067,290.7157073
62400,0,290.9578875,290.6743073
63000,0,290.9231791,290.6282464
63600,0,290.9006426,290.5951287
64200,0,290.8862523,290.5717777
64800,0,290.8769364,290.5544291
65400,0,290.8703551,290.5407143
66000,1155.000924,290.986535,290.6587003
66600,16500.0132,293.021237,292.8655119
67200,7085.525241,293.15,293.15
67800,5952.40072,293.15,293.15
68400,5881.812158,293.15,293.15
69000,2518.273183,292.7079665,292.6923199
69600,0,292.1186889,292.0681612
70200,0,291.7186657,291.6333644
70800,9405.007524,292.6933506,292.6715178
71400,8464.857991,293.15,293.15
72000,5800.607514,293.15,293.15
72600,5782.622849,293.15,293.15
73200,5776.50931,293.15,293.15
73800,5709.651729,293.15,293.15
74400,5665.752634,293.15,293.15
75000,5635.5382,293.15,293.15
75600,5595.239547,293.15,293.15
76200,5591.205613,293.15,293.15
76800,5589.611671,293.15,293.15
77400,5549.03394,293.15,293.15
78000,5576.432492,293.15,293.15
78600,5603.632348,293.15,293.15
79200,5642.061742,293.15,293.15
79800,5613.953762,293.15,293.15
80400,5587.952345,293.15,293.15
81000,5481.472695,293.15,293.15
81600,5448.60715,293.15,293.15
82200,5418.788089,293.15,293.15
82800,5310.31217,293.15,293.15
83400,5312.868523,293.15,293.15
84000,5317.699517,293.15,293.15
84600,5316.425024,293.15,293.15
85200,5337.220738,293.15,293.15
85800,5356.917644,293.15,293.15
86400,5379.234516,293.15,293.15
87000,5462.953262,293.15,293.15
87600,5526.323354,293.15,293.15
88200,5500.352878,293.15,293.15
88800,5516.361117,293.15,293.15
89400,5531.136171,293.15,293.15
90000,5531.205971,293.15,293.15
90600,5518.240782,293.15,293.15
91200,5513.839761,293.15,293.15
91800,5542.478759,293.15,293.15
92400,5542.047928,293.15,293.15
93000,5543.552238,293.15,293.15
93600,5528.189794,293.15,293.15
94200,5548.070604,293.15,293.15
94800,5563.624956,293.15,293.15
95400,5540.79738,293.15,293.15
96000,5529.16835,293.15,293.15
96600,5520.583284,293.15,293.15
97200,5490.06964,293.15,293.15
97800,5462.051704,293.15,293.15
98400,5440.505862,293.15,293.15
99000,5415.72437,293.15,293.15
