Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,0,293.14999389648438,293.14999389648438
600,247.20565795898438,293.148193359375,293.0772705078125
1200,239.09779357910156,293.14825439453125,293.01834106445313
1800,231.591064453125,293.14828491210938,292.97329711914063
2400,234.84175109863281,293.14828491210938,292.93756103515625
3000,237.5552978515625,293.14825439453125,292.90829467773438
3600,238.80186462402344,293.14825439453125,292.88485717773438
4200,240.40203857421875,293.14822387695313,292.86767578125
4800,247.45645141601563,293.148193359375,292.84988403320313
5400,257.04376220703125,293.14810180664063,292.83258056640625
6000,266.242431640625,293.14804077148438,292.8167724609375
6600,272.13067626953125,293.14801025390625,292.80352783203125
7200,273.29660034179688,293.14797973632813,292.79293823242188
7800,261.54971313476563,293.1480712890625,292.7843017578125
8400,254.09652709960938,293.14813232421875,292.780029296875
9000,252.74784851074219,293.14813232421875,292.77691650390625
9600,249.86244201660156,293.14816284179688,292.77459716796875
10200,251.1796875,293.14816284179688,292.7723388671875
10800,256.46713256835938,293.14810180664063,292.7691650390625
11400,274.68954467773438,293.14797973632813,292.76168823242188
12000,284.39105224609375,293.14791870117188,292.75311279296875
12600,288.54055786132813,293.14788818359375,292.74380493164063
13200,290.1070556640625,293.14785766601563,292.73422241210938
13800,287.01821899414063,293.14788818359375,292.72683715820313
14400,268.80532836914063,293.14801025390625,292.7236328125
15000,232.95512390136719,293.14828491210938,292.73150634765625
15600,225.34275817871094,293.14834594726563,292.73611450195313
16200,231.59115600585938,293.14828491210938,292.73980712890625
16800,237.32252502441406,293.14825439453125,292.74484252929688
17400,231.55442810058594,293.14828491210938,292.74542236328125
18000,221.82611083984375,293.14837646484375,292.74703979492188
18600,238.84931945800781,293.14825439453125,292.74636840820313
19200,243.272216796875,293.14822387695313,292.74221801757813
19800,236.8170166015625,293.14825439453125,292.73989868164063
20400,237.6168212890625,293.14825439453125,292.738037109375
21000,243.36105346679688,293.14822387695313,292.7352294921875
21600,252.68058776855469,293.14813232421875,292.73004150390625
22200,243.28598022460938,293.14822387695313,292.72683715820313
22800,245.76376342773438,293.148193359375,292.72274780273438
23400,257.06195068359375,293.14810180664063,292.71731567382813
24000,274.12847900390625,293.14797973632813,292.71005249023438
24600,293.02102661132813,293.14785766601563,292.69805908203125
25200,309.2921142578125,293.14773559570313,292.68338012695313
25800,321.06344604492188,293.14764404296875,292.66607666015625
26400,314.06967163085938,293.147705078125,292.65530395507813
27000,296.81719970703125,293.1478271484375,292.64926147460938
27600,277.81256103515625,293.14794921875,292.646240234375
28200,265.85745239257813,293.14804077148438,292.64898681640625
28800,261.72824096679688,293.1480712890625,292.65234375
29400,257.40118408203125,293.14810180664063,292.65496826171875
30000,249.21035766601563,293.14816284179688,292.65847778320313
30600,237.91525268554688,293.14825439453125,292.66317749023438
31200,224.275390625,293.14834594726563,292.66934204101563
31800,207.44853210449219,293.14846801757813,292.67800903320313
32400,192.9998779296875,293.14859008789063,292.68850708007813
33000,175.7891845703125,293.14871215820313,292.70101928710938
33600,168.90577697753906,293.14877319335938,292.71435546875
34200,172.10252380371094,293.14874267578125,292.72427368164063
34800,178.18962097167969,293.148681640625,292.73046875
35400,190.02906799316406,293.14859008789063,292.73272705078125
36000,206.69073486328125,293.14846801757813,292.72970581054688
36600,222.2088623046875,293.14837646484375,292.72256469726563
37200,227.15098571777344,293.1483154296875,292.71334838867188
37800,220.02738952636719,293.14837646484375,292.70657348632813
38400,208.80963134765625,293.14846801757813,292.70462036132813
39000,206.17800903320313,293.14849853515625,292.70428466796875
39600,215.65043640136719,293.14840698242188,292.70223999023438
40200,204.34819030761719,293.14849853515625,292.70108032226563
40800,196.90086364746094,293.1485595703125,292.70278930664063
41400,191.79299926757813,293.14859008789063,292.70489501953125
42000,0,293.09213256835938,292.70584106445313
42600,0,293.04220581054688,292.705322265625
43200,0,293.00265502929688,292.70684814453125
43800,0,292.97073364257813,292.70855712890625
44400,0,292.94442749023438,292.70941162109375
45000,0,292.92755126953125,292.71426391601563
45600,0,292.91726684570313,292.72116088867188
46200,0,292.9100341796875,292.72750854492188
46800,0,292.90142822265625,292.72967529296875
47400,0,292.89096069335938,292.72781372070313
48000,0,292.87921142578125,292.72308349609375
48600,0,292.86740112304688,292.717041015625
49200,0,292.85543823242188,292.70980834960938
49800,0,292.84442138671875,292.70269775390625
50400,0,292.837890625,292.69937133789063
51000,0,292.83285522460938,292.697021484375
51600,0,292.83523559570313,292.70150756835938
52200,0,292.84124755859375,292.70904541015625
52800,0,292.84701538085938,292.71597290039063
53400,0,292.85302734375,292.72271728515625
54000,0,292.85794067382813,292.72796630859375
54600,0,292.85165405273438,292.72195434570313
55200,0,292.84295654296875,292.713623046875
55800,0,292.83151245117188,292.70272827148438
56400,0,292.81695556640625,292.6888427734375
57000,0,292.8055419921875,292.67825317382813
57600,0,292.79232788085938,292.666015625
58200,0,292.78253173828125,292.65716552734375
58800,0,292.76812744140625,292.64382934570313
59400,0,292.75079345703125,292.62759399414063
60000,0,292.73211669921875,292.610107421875
60600,0,292.7083740234375,292.58761596679688
61200,0,292.68807983398438,292.56866455078125
61800,0,292.67111206054688,292.55291748046875
62400,0,292.65774536132813,292.54067993164063
63000,0,292.64804077148438,292.53201293945313
63600,0,292.64215087890625,292.52706909179688
64200,0,292.64141845703125,292.52716064453125
64800,0,292.64102172851563,292.52749633789063
65400,0,292.63894653320313,292.52609252929688
66000,0,292.635986328125,292.52377319335938
66600,0,292.6331787109375,292.52154541015625
67200,0,292.62939453125,292.51837158203125
67800,387.00106811523438,293.14715576171875,292.5130615234375
68400,399.32611083984375,293.14706420898438,292.5042724609375
69000,400.489013671875,293.14706420898438,292.49432373046875
69600,0,293.08889770507813,292.48489379882813
70200,0,292.98806762695313,292.47393798828125
70800,0,292.89956665039063,292.46112060546875
71400,0,292.82156372070313,292.44711303710938
72000,0,292.75811767578125,292.4361572265625
72600,0,292.70816040039063,292.42874145507813
73200,0,292.670166015625,292.42483520507813
73800,0,292.64263916015625,292.4241943359375
74400,0,292.62435913085938,292.42669677734375
75000,0,292.60995483398438,292.42843627929688
75600,0,292.59814453125,292.42898559570313
76200,0,292.58465576171875,292.42510986328125
76800,0,292.57614135742188,292.42413330078125
77400,0,292.56845092773438,292.42233276367188
78000,0,292.5595703125,292.41806030273438
78600,460.952392578125,293.1466064453125,292.41146850585938
79200,454.83395385742188,293.14666748046875,292.40557861328125
79800,445.6480712890625,293.146728515625,292.40133666992188
80400,448.17501831054688,293.14669799804688,292.39779663085938
81000,457.66018676757813,293.14663696289063,292.39108276367188
81600,457.46591186523438,293.14663696289063,292.3846435546875
82200,460.5797119140625,293.1466064453125,292.37823486328125
82800,472.89080810546875,293.14651489257813,292.37005615234375
83400,503.584228515625,293.14630126953125,292.35488891601563
84000,523.85015869140625,293.14614868164063,292.33880615234375
84600,536.16119384765625,293.14605712890625,292.3221435546875
85200,542.9898681640625,293.14599609375,292.30514526367188
85800,546.808837890625,293.14596557617188,292.2880859375
86400,550.43988037109375,293.14596557617188,292.27401733398438
87000,550.46746826171875,293.14596557617188,292.26248168945313
87600,0,293.06365966796875,292.25247192382813
88200,0,292.930908203125,292.24185180664063
88800,0,292.81988525390625,292.23171997070313
89400,574.72747802734375,293.14578247070313,292.22280883789063
90000,577.1607666015625,293.145751953125,292.2139892578125
90600,584.357666015625,293.14569091796875,292.20455932617188
91200,582.87493896484375,293.14572143554688,292.19500732421875
91800,574.74530029296875,293.14578247070313,292.189208984375
92400,582.9620361328125,293.14572143554688,292.18222045898438
93000,595.24102783203125,293.1456298828125,292.17364501953125
93600,603.0230712890625,293.14556884765625,292.16317749023438
94200,600.88031005859375,293.14556884765625,292.15487670898438
94800,602.98114013671875,293.14556884765625,292.14581298828125
95400,607.5469970703125,293.14553833007813,292.13653564453125
96000,612.7991943359375,293.1455078125,292.12759399414063
96600,616.9591064453125,293.14547729492188,292.1195068359375
97200,619.79010009765625,293.14544677734375,292.11074829101563
97800,618.04217529296875,293.14544677734375,292.103759765625
98400,620.5572509765625,293.14544677734375,292.09576416015625
99000,624.83343505859375,293.14541625976563,292.08755493164063
99600,628.3690185546875,293.1453857421875,292.079833984375
100200,628.66204833984375,293.1453857421875,292.07333374023438
100800,619.09783935546875,293.14544677734375,292.06729125976563
101400,639.43194580078125,293.14529418945313,292.05816650390625
102000,631.74798583984375,293.14535522460938,292.05252075195313
102600,614.02490234375,293.14547729492188,292.0482177734375
103200,601.37432861328125,293.14556884765625,292.04925537109375
103800,599.29583740234375,293.14559936523438,292.04922485351563
104400,598.19970703125,293.14559936523438,292.04962158203125
105000,589.00799560546875,293.14566040039063,292.04977416992188
105600,0,293.0596923828125,292.05068969726563
106200,0,292.92178344726563,292.04916381835938
106800,0,292.80825805664063,292.04592895507813
107400,0,292.71267700195313,292.04229736328125
108000,0,292.63494873046875,292.03897094726563
108600,0,292.57138061523438,292.03445434570313
109200,0,292.51922607421875,292.02947998046875
109800,0,292.47705078125,292.0244140625
110400,0,292.44064331054688,292.01708984375
111000,0,292.40679931640625,292.00588989257813
111600,4006.976318359375,293.12054443359375,291.99362182617188
112200,702.20947265625,293.14483642578125,291.98013305664063
112800,702.0511474609375,293.14483642578125,291.96588134765625
113400,693.1639404296875,293.1448974609375,291.95452880859375
114000,683.2462158203125,293.14498901367188,291.94662475585938
114600,0,293.049560546875,291.94183349609375
115200,0,292.8963623046875,291.94076538085938
115800,0,292.77755737304688,291.94204711914063
116400,0,292.67977905273438,291.944091796875
117000,0,292.5989990234375,291.94390869140625
117600,0,292.53509521484375,291.94400024414063
118200,0,292.4874267578125,291.94686889648438
118800,0,292.45526123046875,291.95425415039063
119400,0,292.42898559570313,291.95852661132813
120000,0,292.40945434570313,291.963134765625
120600,0,292.39431762695313,291.96673583984375
121200,0,292.38125610351563,291.96795654296875
121800,0,292.37063598632813,291.968505859375
122400,0,292.359375,291.966064453125
123000,0,292.35086059570313,291.96450805664063
123600,0,292.33999633789063,291.9593505859375
124200,0,292.32821655273438,291.95223999023438
124800,0,292.31698608398438,291.94473266601563
125400,0,292.30459594726563,291.93551635742188
126000,8024.4599609375,292.87820434570313,291.92767333984375
126600,709.30572509765625,293.144775390625,291.92086791992188
127200,701.91058349609375,293.14483642578125,291.91412353515625
127800,695.75543212890625,293.1448974609375,291.90792846679688
128400,686.64312744140625,293.14495849609375,291.90353393554688
129000,687.16656494140625,293.14495849609375,291.89837646484375
129600,690.40887451171875,293.14492797851563,291.89321899414063
130200,685.9696044921875,293.14495849609375,291.88784790039063
130800,684.58184814453125,293.14495849609375,291.88308715820313
131400,686.468017578125,293.14495849609375,291.878173828125
132000,692.36688232421875,293.1448974609375,291.8720703125
132600,696.5701904296875,293.14486694335938,291.8648681640625
133200,698.10565185546875,293.14486694335938,291.85748291015625
133800,694.330078125,293.1448974609375,291.85177612304688
134400,698.42205810546875,293.14486694335938,291.84500122070313
135000,704.7449951171875,293.14480590820313,291.8380126953125
135600,710.28704833984375,293.144775390625,291.82974243164063
136200,707.7666015625,293.14480590820313,291.82275390625
136800,703.2752685546875,293.14483642578125,291.81661987304688
137400,701.77374267578125,293.14483642578125,291.81256103515625
138000,713.72821044921875,293.14474487304688,291.80535888671875
138600,724.883056640625,293.14468383789063,291.79669189453125
139200,725.9736328125,293.1446533203125,291.78741455078125
139800,723.3955078125,293.14468383789063,291.77969360351563
140400,719.84857177734375,293.14471435546875,291.77352905273438
141000,719.567626953125,293.14471435546875,291.768310546875
141600,664.59698486328125,293.14511108398438,291.76806640625
142200,558.45733642578125,293.14590454101563,291.79501342773438
142800,567.3870849609375,293.14581298828125,291.82333374023438
143400,0,293.06658935546875,291.84033203125
144000,0,292.9320068359375,291.8492431640625
144600,0,292.82571411132813,291.85214233398438
145200,0,292.73703002929688,291.85040283203125
145800,0,292.65805053710938,291.84454345703125
146400,0,292.593505859375,291.840576171875
147000,0,292.5391845703125,291.8355712890625
147600,0,292.49154663085938,291.82742309570313
148200,0,292.4530029296875,291.82037353515625
148800,0,292.42156982421875,291.81448364257813
149400,0,292.3973388671875,291.81060791015625
150000,0,292.3795166015625,291.808837890625
150600,0,292.36825561523438,291.8104248046875
151200,0,292.36273193359375,291.81509399414063
151800,0,292.35208129882813,291.81256103515625
152400,0,292.32855224609375,291.79583740234375
153000,0,292.2896728515625,291.76300048828125
153600,0,292.2476806640625,291.72637939453125
154200,905.9267578125,293.14334106445313,291.6944580078125
154800,911.924560546875,293.14328002929688,291.66409301757813
155400,909.7723388671875,293.143310546875,291.63656616210938
156000,0,293.01336669921875,291.61312866210938
156600,0,292.80996704101563,291.59368896484375
157200,0,292.65313720703125,291.57858276367188
157800,0,292.52462768554688,291.56686401367188
158400,0,292.41717529296875,291.5546875
159000,0,292.32965087890625,291.54275512695313
159600,0,292.2611083984375,291.53329467773438
160200,0,292.21102905273438,291.52877807617188
160800,0,292.17608642578125,291.52877807617188
161400,0,292.15081787109375,291.53042602539063
162000,0,292.1318359375,291.53207397460938
162600,0,292.116943359375,291.53302001953125
163200,0,292.1051025390625,291.53341674804688
163800,0,292.09097290039063,291.52880859375
164400,0,292.07794189453125,291.52334594726563
165000,976.071533203125,293.142822265625,291.51919555664063
165600,958.2821044921875,293.1429443359375,291.51446533203125
166200,956.11981201171875,293.14297485351563,291.5078125
166800,951.243408203125,293.14300537109375,291.4991455078125
167400,939.67742919921875,293.14309692382813,291.49267578125
168000,941.6683349609375,293.14306640625,291.48599243164063
168600,948.2822265625,293.14303588867188,291.4775390625
169200,957.81903076171875,293.1429443359375,291.4666748046875
169800,964.78253173828125,293.14291381835938,291.45513916015625
170400,976.49591064453125,293.142822265625,291.44049072265625
171000,987.57647705078125,293.14273071289063,291.42486572265625
171600,992.64178466796875,293.1427001953125,291.4102783203125
172200,988.560546875,293.14273071289063,291.39715576171875
172800,986.580322265625,293.14273071289063,291.38619995117188
173400,989.97308349609375,293.14273071289063,291.3758544921875
174000,0,293.0047607421875,291.36553955078125
174600,0,292.7835693359375,291.35601806640625
175200,0,292.61761474609375,291.350341796875
175800,982.85211181640625,293.14276123046875,291.34951782226563
176400,975.02197265625,293.142822265625,291.34774780273438
177000,969.56365966796875,293.14288330078125,291.3447265625
177600,962.763671875,293.14291381835938,291.34109497070313
178200,952.23138427734375,293.14300537109375,291.33905029296875
178800,957.7333984375,293.1429443359375,291.33584594726563
179400,973.7188720703125,293.14285278320313,291.32778930664063
180000,993.07305908203125,293.1427001953125,291.3160400390625
180600,974.6204833984375,293.142822265625,291.30706787109375
181200,964.2158203125,293.14291381835938,291.29977416992188
181800,959.28631591796875,293.1429443359375,291.2940673828125
182400,957.25909423828125,293.14297485351563,291.28985595703125
183000,955.561279296875,293.14297485351563,291.2869873046875
183600,944.57684326171875,293.14306640625,291.28338623046875
184200,962.27587890625,293.14291381835938,291.27609252929688
184800,973.27508544921875,293.14285278320313,291.26754760742188
185400,979.6334228515625,293.14279174804688,291.2578125
186000,983.40985107421875,293.14276123046875,291.2469482421875
186600,986.6632080078125,293.14273071289063,291.23504638671875
187200,997.30780029296875,293.14266967773438,291.22357177734375
187800,978.785888671875,293.14279174804688,291.21707153320313
188400,968.41839599609375,293.14288330078125,291.2110595703125
189000,963.03863525390625,293.14291381835938,291.20599365234375
189600,959.47991943359375,293.1429443359375,291.20245361328125
190200,954.575439453125,293.14297485351563,291.20098876953125
190800,943.13482666015625,293.14306640625,291.19949340820313
191400,944.734375,293.14306640625,291.19757080078125
192000,0,293.01190185546875,291.19424438476563
192600,0,292.8018798828125,291.19107055664063
193200,0,292.6444091796875,291.18972778320313
193800,0,292.51708984375,291.18939208984375
194400,0,292.413330078125,291.18865966796875
195000,0,292.3284912109375,291.1861572265625
195600,0,292.26116943359375,291.18426513671875
196200,0,292.20669555664063,291.18081665039063
196800,0,292.160400390625,291.1737060546875
197400,0,292.11859130859375,291.16238403320313
198000,4425.7197265625,293.11746215820313,291.14599609375
198600,1063.657470703125,293.14218139648438,291.13021850585938
199200,1048.910888671875,293.14227294921875,291.11846923828125
199800,1041.366455078125,293.142333984375,291.10781860351563
200400,1027.2637939453125,293.1424560546875,291.0994873046875
201000,0,292.99594116210938,291.09478759765625
201600,0,292.77694702148438,291.09384155273438
202200,0,292.61407470703125,291.09408569335938
202800,0,292.48312377929688,291.09405517578125
203400,0,292.37728881835938,291.09536743164063
204000,0,292.29937744140625,291.10269165039063
204600,0,292.24301147460938,291.11331176757813
205200,0,292.2008056640625,291.12313842773438
205800,0,292.17068481445313,291.13320922851563
206400,0,292.15036010742188,291.14434814453125
207000,0,292.135498046875,291.15377807617188
207600,0,292.11944580078125,291.1568603515625
208200,0,292.10818481445313,291.160888671875
208800,0,292.09622192382813,291.16110229492188
209400,0,292.0823974609375,291.15716552734375
210000,0,292.06805419921875,291.15103149414063
210600,0,292.05288696289063,291.1427001953125
211200,0,292.04022216796875,291.13583374023438
211800,0,292.02847290039063,291.12908935546875
212400,8024.4599609375,292.79177856445313,291.12216186523438
213000,714.654296875,293.14474487304688,291.16412353515625
213600,444.68307495117188,293.146728515625,291.28118896484375
214200,406.19818115234375,293.14700317382813,291.40426635742188
214800,794.88348388671875,293.1441650390625,291.4378662109375
215400,1020.82177734375,293.14248657226563,291.379638671875
216000,999.22064208984375,293.14263916015625,291.29913330078125
216600,987.65753173828125,293.14273071289063,291.24810791015625
217200,977.611572265625,293.142822265625,291.20962524414063
217800,969.849609375,293.14288330078125,291.18115234375
218400,965.831787109375,293.14288330078125,291.15957641601563
219000,958.507568359375,293.1429443359375,291.14346313476563
