,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,1437.94189453125,294.64990234375,287.6653747558594
600,1428.2786865234375,294.64813232421875,287.6704406738281
1200,1415.991943359375,294.6471252441406,287.6760559082031
1800,1414.3616943359375,294.6471252441406,287.6811218261719
2400,1418.6597900390625,294.64776611328125,287.6849365234375
3000,1399.0665283203125,294.6466979980469,287.6885986328125
3600,1397.7919921875,294.6466979980469,287.69195556640625
4200,1354.6778564453125,294.6441345214844,287.69720458984375
4800,1334.9215087890625,294.64215087890625,287.70330810546875
5400,1340.19775390625,294.64215087890625,287.70880126953125
6000,1327.9852294921875,294.641357421875,287.7140197753906
6600,1315.179931640625,294.6402587890625,287.71917724609375
7200,1316.4547119140625,294.6402587890625,287.72381591796875
7800,1295.6756591796875,294.6392517089844,287.7291564941406
8400,1301.752197265625,294.6396179199219,287.73358154296875
9000,1296.4462890625,294.6396179199219,287.7375183105469
9600,1300.2998046875,294.6401062011719,287.74053955078125
10200,1275.608154296875,294.63897705078125,287.7445373535156
10800,1276.0230712890625,294.63897705078125,287.7481994628906
11400,1280.5880126953125,294.6395263671875,287.75103759765625
12000,1277.6534423828125,294.6397705078125,287.75341796875
12600,1272.258544921875,294.6397705078125,287.75567626953125
13200,1272.40673828125,294.6400146484375,287.7574768066406
13800,1402.87548828125,294.64996337890625,287.75164794921875
14400,1353.0325927734375,294.64996337890625,287.7462158203125
15000,1277.060546875,294.6448669433594,287.7449035644531
15600,1234.168701171875,294.64056396484375,287.74761962890625
16200,1252.1910400390625,294.64056396484375,287.750244140625
16800,1242.1868896484375,294.63995361328125,287.7532043457031
17400,1225.0390625,294.638916015625,287.7571105957031
18000,1226.188232421875,294.638916015625,287.7607116699219
18600,1221.7784423828125,294.6388244628906,287.7641296386719
19200,1229.8707275390625,294.63946533203125,287.76654052734375
19800,1224.2979736328125,294.63946533203125,287.7687683105469
20400,1222.81591796875,294.6395568847656,287.7707214355469
21000,1206.898193359375,294.6388244628906,287.7734375
21600,1207.016845703125,294.6388244628906,287.7759704589844
22200,1199.1024169921875,294.6385803222656,287.7788391113281
22800,1224.179443359375,294.6402282714844,287.7796630859375
23400,1214.227783203125,294.6402282714844,287.780517578125
24000,1193.2562255859375,294.63922119140625,287.7826232910156
24600,1187.72802734375,294.63885498046875,287.78515625
25200,1186.504638671875,294.63885498046875,287.7876281738281
25800,1185.3189697265625,294.6389465332031,287.7898864746094
26400,1188.0164794921875,294.6393127441406,287.7916564941406
27000,1183.4071044921875,294.6393127441406,287.79339599609375
27600,1176.57470703125,294.63909912109375,287.7953796386719
28200,1165.6219482421875,294.6385803222656,287.7979431152344
28800,1164.9632568359375,294.6385803222656,287.80047607421875
29400,1158.344970703125,294.6401672363281,287.80517578125
30000,1152.2386474609375,294.64202880859375,287.8105163574219
30600,1123.4267578125,294.64202880859375,287.8172607421875
31200,1087.0858154296877,294.640869140625,287.8262939453125
31800,1060.5267333984377,294.6395568847656,287.8368835449219
32400,1049.648193359375,294.6395568847656,287.84844970703125
33000,1010.965576171875,294.6394348144531,287.8636779785156
33600,974.1503295898438,294.6389465332031,287.8811950683594
34200,947.8580322265624,294.6389465332031,287.9002685546875
34800,927.5087890625,294.6396179199219,287.9203796386719
35400,928.2054443359376,294.6416931152344,287.9397888183594
36000,890.5996704101562,294.6416931152344,287.9606018066406
36600,884.7800903320312,294.6431884765625,287.9811706542969
37200,900.3421020507812,294.6470642089844,288.00042724609375
37800,855.2864379882812,294.6470642089844,288.0208740234375
38400,833.4996948242188,294.6474304199219,288.0420227050781
39000,807.6668090820312,294.6475524902344,288.06414794921875
39600,781.2706298828125,294.6475524902344,288.0872802734375
40200,766.2274780273438,294.6473388671875,288.10968017578125
40800,745.3998413085938,294.6470642089844,288.1325988769531
41400,728.3895874023438,294.6470642089844,288.1556701660156
42000,695.5573120117188,294.64520263671875,288.178955078125
42600,637.626220703125,294.6412353515625,288.20489501953125
43200,639.7900390625,294.6412353515625,288.2308349609375
43800,637.5372924804688,294.64080810546875,288.25439453125
44400,0.0,294.5677490234375,288.2854309082031
45000,0.0,294.51617431640625,288.31427001953125
45600,0.0,294.4716796875,288.3409118652344
46200,0.0,294.4331970214844,288.36602783203125
46800,0.0,294.3993225097656,288.3892517089844
47400,0.0,294.36614990234375,288.4073791503906
48000,0.0,294.3343811035156,288.42193603515625
48600,0.0,294.3046569824219,288.4341125488281
49200,0.0,294.2769470214844,288.4444580078125
49800,0.0,294.25177001953125,288.45391845703125
50400,0.0,294.2276916503906,288.4615478515625
51000,0.0,294.2018737792969,288.4646911621094
51600,0.0,294.17364501953125,288.4630432128906
52200,0.0,294.14581298828125,288.45953369140625
52800,0.0,294.1186828613281,288.45477294921875
53400,0.0,294.0915222167969,288.44818115234375
54000,0.0,294.06451416015625,288.440185546875
54600,0.0,294.0382385253906,288.43145751953125
55200,0.0,294.00518798828125,288.41461181640625
55800,0.0,293.9722900390625,288.3966979980469
56400,0.0,293.936279296875,288.37445068359375
57000,0.0,293.89971923828125,288.35052490234375
57600,0.0,293.86376953125,288.3262023925781
58200,0.0,293.8336181640625,288.3070068359375
58800,0.0,293.8043518066406,288.2881164550781
59400,0.0,293.777099609375,288.270751953125
60000,0.0,293.75189208984375,288.255126953125
60600,0.0,293.72705078125,288.2395324707031
61200,0.0,293.7036437988281,288.2251892089844
61800,0.0,293.68194580078125,288.2124328613281
62400,0.0,293.7420654296875,288.2818298339844
63000,0.0,293.79632568359375,288.3467712402344
63600,0.0,293.8052062988281,288.36749267578125
64200,0.0,293.7662353515625,288.3407287597656
64800,0.0,293.72882080078125,288.3151550292969
65400,0.0,293.7037353515625,288.3014221191406
66000,0.0,293.77593994140625,288.38525390625
66600,0.0,293.84161376953125,288.46392822265625
67200,0.0,293.7955627441406,288.43170166015625
67800,0.0,293.7501220703125,288.3995666503906
68400,0.0,293.7091064453125,288.3710632324219
69000,0.0,293.67279052734375,288.34649658203125
69600,0.0,293.63970947265625,288.324462890625
70200,0.0,293.60943603515625,288.30462646484375
70800,2628.522216796875,293.9185485839844,288.285400390625
71400,2628.522216796875,294.13995361328125,288.2690734863281
72000,2628.522216796875,294.33062744140625,288.2541809082031
72600,2628.522216796875,294.4966125488281,288.24053955078125
73200,0.0,294.3026123046875,288.2271728515625
73800,0.0,294.18206787109375,288.21514892578125
74400,0.0,294.0771789550781,288.20233154296875
75000,0.0,293.99176025390625,288.1966247558594
75600,0.0,293.9173278808594,288.19158935546875
76200,2628.522216796875,294.19879150390625,288.1955261230469
76800,2628.522216796875,294.4053955078125,288.2084045410156
77400,2628.522216796875,294.58428955078125,288.2201232910156
78000,1753.879638671875,294.63433837890625,288.2366943359375
78600,1292.7410888671875,294.6351013183594,288.2510986328125
79200,1211.552001953125,294.6352233886719,288.263916015625
79800,1223.3870849609375,294.6379699707031,288.2737731933594
80400,1244.20263671875,294.64215087890625,288.28106689453125
81000,1212.82666015625,294.64215087890625,288.28759765625
81600,1148.9039306640625,294.6376953125,288.2959899902344
82200,1136.3294677734375,294.6351013183594,288.3045349121094
82800,1145.9249267578125,294.6351013183594,288.31231689453125
83400,1158.344970703125,294.635986328125,288.31817626953125
84000,1128.9993896484375,294.63470458984375,288.3248291015625
84600,1129.17724609375,294.63470458984375,288.33087158203125
85200,1129.689697265625,294.63494873046875,288.3359680175781
85800,1219.644287109375,294.6430358886719,288.3363037109375
86400,1175.619384765625,294.6430358886719,288.3364562988281
87000,1244.9217529296875,294.647216796875,288.33062744140625
87600,1283.4039306640625,294.6470947265625,288.31744384765625
88200,1290.0140380859375,294.6470947265625,288.30523681640625
88800,1312.42333984375,294.6468505859375,288.2908020019531
89400,1346.4149169921875,294.64398193359375,288.2707214355469
90000,1370.8770751953125,294.64398193359375,288.252197265625
90600,1304.73876953125,294.63916015625,288.2391662597656
91200,1324.191162109375,294.6390075683594,288.2272033691406
91800,1325.2581787109375,294.6390075683594,288.2161560058594
92400,1337.6484375,294.6398620605469,288.20489501953125
93000,1319.38916015625,294.63909912109375,288.1952819824219
93600,1319.7447509765625,294.6391296386719,288.186279296875
94200,1304.9534912109375,294.6385192871094,288.1788635253906
94800,1309.9185791015625,294.638916015625,288.17156982421875
95400,1305.3685302734375,294.6388854980469,288.16473388671875
96000,1317.225341796875,294.6398010253906,288.1573181152344
96600,1289.18408203125,294.6385192871094,288.1518249511719
97200,1291.0811767578125,294.6385192871094,288.14666748046875
97800,1293.54150390625,294.6387939453125,288.1414794921875
98400,1304.427490234375,294.6396484375,288.1355285644531
99000,1298.4842529296875,294.6396484375,288.1298828125
99600,1283.285400390625,294.6388854980469,288.1253967285156
100200,1286.6942138671875,294.6390686035156,288.1209411621094
100800,1284.337646484375,294.6390686035156,288.1166687011719
101400,1280.7882080078125,294.6388854980469,288.112548828125
102000,1291.1405029296875,294.6395263671875,288.1077880859375
102600,1287.6427001953125,294.6395263671875,288.10308837890625
103200,1269.531494140625,294.63848876953125,288.0997009277344
103800,1277.208740234375,294.6387634277344,288.09600830078125
104400,1275.8748779296875,294.6387634277344,288.0923156738281
105000,1296.3277587890625,294.64019775390625,288.08734130859375
105600,1271.376953125,294.6391906738281,288.083740234375
106200,1272.9107666015625,294.6391906738281,288.080322265625
106800,1265.2335205078125,294.6388244628906,288.07745361328125
107400,1266.908203125,294.638916015625,288.07452392578125
108000,1265.0556640625,294.638916015625,288.0716552734375
108600,1279.580078125,294.6398010253906,288.067626953125
109200,1258.4306640625,294.6387939453125,288.0648498535156
109800,1261.40966796875,294.6387939453125,288.06207275390625
110400,1261.1429443359375,294.6387939453125,288.05926513671875
111000,1274.9263916015625,294.6396484375,288.0554504394531
111600,1270.9097900390625,294.6396484375,288.0516662597656
112200,1256.541259765625,294.638916015625,288.0489807128906
112800,1260.7723388671875,294.6390686035156,288.046142578125
113400,1259.4017333984375,294.6390686035156,288.0433349609375
114000,1255.748046875,294.638916015625,288.040771484375
114600,1281.151123046875,294.6407165527344,288.03668212890625
115200,1272.258544921875,294.6407165527344,288.03271484375
115800,1271.0657958984375,294.64288330078125,288.0310974121094
116400,1206.6246337890625,294.646484375,288.03936767578125
117000,1159.071044921875,294.646484375,288.04827880859375
117600,1119.744873046875,294.6480407714844,288.061767578125
118200,1024.387451171875,294.64324951171875,288.07904052734375
118800,1030.70703125,294.6432800292969,288.0959167480469
119400,968.340576171875,294.6405029296875,288.11639404296875
120000,1095.1781005859377,294.6436462402344,288.12274169921875
120600,1078.67626953125,294.6436462402344,288.13031005859375
121200,1134.6314697265625,294.6463623046875,288.1324768066406
121800,1118.224609375,294.64727783203125,288.1362609863281
122400,1091.91748046875,294.64727783203125,288.1421203613281
123000,1070.7828369140623,294.64697265625,288.1493835449219
123600,1072.3834228515623,294.6481018066406,288.1567077636719
124200,1049.3516845703123,294.6481018066406,288.1654052734375
124800,1013.1886596679688,294.6470947265625,288.176513671875
125400,1001.0595092773438,294.6472473144531,288.1884765625
126000,982.0795288085938,294.6472473144531,288.2013854980469
126600,989.4102783203124,294.6473693847656,288.2117919921875
127200,990.6701049804688,294.6477355957031,288.2214050292969
127800,983.072509765625,294.6477355957031,288.2308044433594
128400,959.6554565429688,294.646728515625,288.2411804199219
129000,957.4323120117188,294.646728515625,288.25128173828125
129600,951.6817626953124,294.646728515625,288.2611389160156
130200,993.6194458007812,294.6483459472656,288.2660827636719
130800,0.0,294.5220031738281,288.2714538574219
131400,0.0,294.42938232421875,288.2758483886719
132000,0.0,294.3486328125,288.2794189453125
132600,0.0,294.2781982421875,288.28314208984375
133200,0.0,294.215576171875,288.2860107421875
133800,0.0,294.159912109375,288.28826904296875
134400,0.0,294.12200927734375,288.3018798828125
135000,0.0,294.0875244140625,288.3135986328125
135600,0.0,294.0609436035156,288.3286437988281
136200,0.0,294.0462341308594,288.351806640625
136800,0.0,294.03173828125,288.37200927734375
137400,0.0,294.01580810546875,288.3879699707031
138000,0.0,293.9880676269531,288.3896484375
138600,0.0,293.9606628417969,288.3893127441406
139200,0.0,293.92596435546875,288.3794860839844
139800,0.0,293.8924560546875,288.3688049316406
140400,0.0,293.86041259765625,288.3577575683594
141000,0.0,293.82989501953125,288.3465270996094
141600,0.0,293.8004455566406,288.3349304199219
