Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,7545.6,291.605,292.98
600,6470.8,291.659,293.072
1200,5999.2,291.659,293.098
1800,5831.7,291.654,293.114
2400,5674.3,291.648,293.129
3000,5557.8,291.643,293.145
3600,5519.1,291.636,293.154
4200,5480.4,291.629,293.164
4800,5445.3,291.622,293.173
5400,5420.8,291.616,293.18
6000,5396.4,291.61,293.188
6600,5374.2,291.604,293.195
7200,5361.9,291.599,293.2
7800,5349.7,291.595,293.205
8400,5337.4,291.59,293.21
9000,5325.2,291.586,293.215
9600,5312.9,291.581,293.22
10200,5300.9,291.577,293.225
10800,5294.6,291.574,293.228
11400,5288.3,291.571,293.231
12000,5282.1,291.568,293.234
12600,5275.8,291.565,293.237
13200,5269.5,291.562,293.24
13800,5263.3,291.559,293.243
14400,5257,291.557,293.246
15000,5250.7,291.554,293.249
15600,5244.4,291.551,293.252
16200,5237.5,291.549,293.254
16800,5230.7,291.548,293.257
17400,5223.8,291.546,293.259
18000,5216.9,291.545,293.261
18600,5210.1,291.543,293.263
19200,5203.2,291.541,293.266
19800,5196.3,291.54,293.268
20400,5189.4,291.538,293.27
21000,5182.6,291.537,293.272
21600,5176.5,291.536,293.274
22200,5170.4,291.535,293.276
22800,5164.3,291.534,293.277
23400,5158.2,291.533,293.279
24000,5152.1,291.532,293.281
24600,5146,291.531,293.282
25200,4328.2,291.55,293.328
25800,0.0,290.544,291.591
26400,0.0,290.256,291.063
27000,0.0,290.13,290.8
27600,14.957,290.055,290.611
28200,47.731,290.031,290.476
28800,71.69,290.016,290.364
29400,92.689,290.004,290.258
30000,112.82,289.992,290.158
30600,141.06,289.981,290.068
31200,206.73,289.971,290.015
31800,271.9,289.963,289.985
32400,334.56,289.956,289.961
33000,383.63,289.951,289.944
33600,425.46,289.947,289.93
34200,467.3,289.943,289.917
34800,509.14,289.94,289.904
35400,535.23,289.938,289.896
36000,549.99,289.938,289.891
36600,564.75,289.937,289.887
37200,579.51,289.937,289.882
37800,594.27,289.937,289.878
38400,609.04,289.937,289.873
39000,623.8,289.936,289.869
39600,638.56,289.936,289.864
40200,647.19,289.937,289.862
40800,648.02,289.938,289.861
41400,648.84,289.939,289.86
42000,649.66,289.94,289.859
42600,650.48,289.941,289.859
43200,651.31,289.942,289.858
43800,652.13,289.943,289.857
44400,652.95,289.944,289.857
45000,653.77,289.945,289.856
45600,658.28,289.945,289.854
46200,667.49,289.944,289.852
46800,676.71,289.943,289.85
47400,685.92,289.941,289.847
48000,695.13,289.94,289.845
48600,704.34,289.939,289.843
49200,713.55,289.937,289.841
49800,722.76,289.936,289.838
50400,731.98,289.935,289.836
51000,748.48,289.932,289.832
51600,774.28,289.928,289.827
52200,800.07,289.924,289.822
52800,825.87,289.92,289.817
53400,851.67,289.916,289.812
54000,877.47,289.912,289.807
54600,903.27,289.908,289.801
55200,929.06,289.904,289.796
55800,954.86,289.9,289.791
56400,983.69,289.896,289.786
57000,1016.4,289.891,289.78
57600,1049.1,289.886,289.775
58200,1081.8,289.882,289.769
58800,1114.5,289.877,289.763
59400,1147.1,289.873,289.758
60000,1179.8,289.868,289.752
60600,1212.5,289.864,289.747
61200,1222.6,289.858,289.74
61800,12319,292.643,291.325
62400,11024,293.555,291.386
63000,10015,293.762,291.363
63600,9403.7,293.789,291.367
64200,9071,293.804,291.376
64800,8861.7,293.826,291.383
65400,8652.4,293.848,291.391
66000,8500.3,293.867,291.396
66600,8360.2,293.884,291.401
67200,8220.1,293.902,291.406
67800,8080.1,293.92,291.411
68400,7940,293.938,291.416
69000,7842.3,293.95,291.419
69600,7750.7,293.962,291.421
70200,7659.2,293.973,291.424
70800,7567.6,293.985,291.427
71400,7476.1,293.996,291.43
72000,7384.5,294.008,291.433
72600,7323,294.016,291.434
73200,7268.7,294.023,291.436
73800,7214.4,294.03,291.437
74400,7160.1,294.037,291.439
75000,7105.8,294.044,291.44
75600,7051.5,294.051,291.441
76200,6997.2,294.058,291.443
76800,6942.9,294.065,291.444
77400,6900.1,294.071,291.445
78000,6869.4,294.075,291.445
78600,6838.6,294.079,291.446
79200,6807.9,294.084,291.446
79800,6777.2,294.088,291.447
80400,6746.4,294.092,291.447
81000,6715.7,294.096,291.448
81600,6685,294.101,291.448
82200,6654.2,294.105,291.449
82800,5916,294.198,291.392
83400,6538.3,292.162,292.965
84000,5460.9,291.668,293.106
84600,5528,291.723,293.089
85200,5460.8,291.725,293.104
85800,5395.6,291.72,293.119
86400,5336.6,291.709,293.134
87000,5289.8,291.696,293.147
87600,5256,291.686,293.158
88200,5233.4,291.676,293.167
88800,5211.5,291.667,293.176
89400,5185,291.657,293.186
90000,5180.4,291.649,293.191
90600,5175.8,291.642,293.197
91200,5171.1,291.634,293.203
91800,5173.9,291.627,293.207
92400,5176.8,291.62,293.211
93000,5179.7,291.614,293.215
93600,5185.8,291.608,293.218
94200,5193.4,291.603,293.22
94800,5200.9,291.598,293.223
95400,5208.5,291.593,293.225
96000,5216,291.588,293.228
96600,5223.6,291.583,293.23
97200,5230.8,291.578,293.233
97800,5235.3,291.575,293.234
98400,5239.7,291.572,293.236
99000,5244.1,291.568,293.238
99600,5248.6,291.565,293.24
100200,5253,291.562,293.241
100800,5257.4,291.559,293.243
101400,5261.9,291.556,293.245
102000,5266.3,291.553,293.246
102600,5271.1,291.55,293.248
103200,5280.3,291.547,293.249
103800,5289.6,291.544,293.249
104400,5298.8,291.542,293.25
105000,5308,291.539,293.251
105600,5317.2,291.537,293.251
106200,5326.4,291.534,293.252
106800,5335.7,291.531,293.252
107400,5344.9,291.529,293.253
108000,5353.8,291.526,293.254
108600,5359.1,291.524,293.254
109200,5364.4,291.523,293.255
109800,5369.7,291.521,293.256
110400,5375,291.519,293.256
111000,5380.3,291.517,293.257
111600,4464.6,291.538,293.306
112200,1.25E-16,290.47,291.482
112800,9.75E-06,290.165,290.926
113400,18.366,290.021,290.616
114000,77.391,289.987,290.428
114600,121.18,289.974,290.272
115200,156.56,289.962,290.126
115800,217.34,289.951,290.021
116400,316.16,289.939,289.968
117000,410.63,289.928,289.939
117600,497.69,289.918,289.914
118200,567.77,289.911,289.897
118800,637.84,289.903,289.879
119400,707.92,289.895,289.862
120000,771.56,289.889,289.846
120600,811.45,289.885,289.838
121200,851.33,289.882,289.829
121800,891.22,289.879,289.821
122400,931.11,289.875,289.812
123000,970.99,289.872,289.804
123600,1010.9,289.868,289.795
124200,1050.8,289.865,289.787
124800,1089.8,289.862,289.779
125400,1115.7,289.859,289.774
126000,1141.5,289.857,289.769
126600,1167.4,289.855,289.764
127200,1193.2,289.853,289.759
127800,1219.1,289.85,289.755
128400,1244.9,289.848,289.75
129000,1270.8,289.846,289.745
129600,1296.6,289.844,289.74
130200,1322.8,289.841,289.736
130800,1351.1,289.838,289.731
131400,1379.3,289.835,289.727
132000,1407.6,289.832,289.722
132600,1435.8,289.829,289.718
133200,1464.1,289.825,289.714
133800,1492.3,289.822,289.709
134400,1520.6,289.819,289.705
135000,1548.9,289.816,289.7
135600,1577.9,289.813,289.696
136200,1612.3,289.809,289.691
136800,1646.6,289.805,289.686
137400,1681,289.801,289.681
138000,1715.3,289.797,289.677
138600,1749.7,289.794,289.672
139200,1784,289.79,289.667
139800,1818.4,289.786,289.662
140400,1852.7,289.782,289.657
141000,1888,289.778,289.652
141600,1929.7,289.774,289.647
142200,1971.3,289.769,289.642
142800,2013,289.765,289.636
143400,2054.7,289.761,289.631
144000,2096.3,289.756,289.626
144600,2138,289.752,289.62
145200,2179.6,289.748,289.615
145800,2221.3,289.743,289.61
146400,2262.5,289.739,289.604
147000,2300.6,289.735,289.6
147600,2341,289.73,289.594
148200,13402,292.239,291.137
148800,12093,293.095,291.245
149400,11797,293.452,291.227
150000,11288,293.591,291.232
150600,10887,293.632,291.242
151200,10589,293.665,291.25
151800,10368,293.692,291.258
152400,10147,293.719,291.266
153000,10001,293.739,291.271
153600,9861.1,293.758,291.275
154200,9720.7,293.778,291.28
154800,9580.4,293.797,291.285
155400,9440.2,293.816,291.289
156000,9345.9,293.829,291.292
156600,9251.5,293.842,291.295
157200,9157.1,293.854,291.298
157800,9062.8,293.867,291.301
158400,8968.4,293.88,291.304
159000,8874,293.893,291.306
159600,8812.9,293.901,291.308
160200,8753.2,293.909,291.31
160800,8693.5,293.917,291.311
161400,8633.8,293.925,291.313
162000,8574.1,293.932,291.315
162600,8514.4,293.94,291.316
163200,8454.8,293.948,291.318
163800,8395.1,293.956,291.319
164400,8358.1,293.961,291.32
165000,8328,293.966,291.32
165600,8297.9,293.97,291.321
166200,8267.8,293.974,291.321
166800,8237.7,293.979,291.321
167400,8207.6,293.983,291.322
168000,8177.5,293.987,291.322
168600,8147.5,293.992,291.322
169200,8057.1,294.022,291.306
169800,7526.3,291.847,292.768
170400,7084.1,291.575,292.958
171000,6943.5,291.625,292.952
171600,6864.4,291.619,292.966
172200,6790.5,291.611,292.981
172800,6739.9,291.597,292.996
173400,6687.7,291.586,293.013
174000,6631.9,291.578,293.028
174600,6580.3,291.57,293.041
175200,6530.8,291.563,293.054
175800,6469.1,291.557,293.068
176400,6441.4,291.55,293.076
177000,6413.8,291.544,293.085
177600,6390.3,291.538,293.093
178200,6373,291.532,293.099
178800,6355.7,291.526,293.106
179400,6342.8,291.521,293.111
180000,6333.3,291.517,293.116
180600,6323.7,291.513,293.121
181200,6314.2,291.509,293.125
181800,6304.6,291.505,293.13
182400,6295,291.5,293.135
183000,6291.8,291.497,293.138
183600,6289.1,291.494,293.14
184200,6286.5,291.491,293.143
184800,6283.9,291.488,293.146
185400,6281.3,291.485,293.149
186000,6278.7,291.482,293.151
186600,6276,291.479,293.154
187200,6273.4,291.477,293.157
187800,6270.8,291.474,293.16
188400,6264.7,291.472,293.162
189000,6258.3,291.47,293.164
189600,6251.9,291.469,293.166
190200,6245.5,291.467,293.169
190800,6239.1,291.466,293.171
191400,6232.7,291.464,293.173
192000,6226.3,291.462,293.176
192600,6219.8,291.461,293.178
193200,6213.4,291.459,293.18
193800,6210,291.458,293.182
194400,6206.9,291.457,293.183
195000,6203.7,291.456,293.185
195600,6200.6,291.455,293.186
196200,6197.5,291.453,293.187
196800,6194.4,291.452,293.189
197400,6191.2,291.451,293.19
198000,5548.2,291.468,293.231
198600,9.74E-17,290.283,291.277
199200,48.216,289.923,290.632
199800,208.74,289.897,290.348
200400,266.16,289.896,290.164
201000,326.39,289.892,290
201600,476.52,289.882,289.941
202200,598.86,289.872,289.91
202800,711.56,289.861,289.883
203400,803.59,289.853,289.862
204000,895.61,289.845,289.84
204600,987.64,289.837,289.819
205200,1053.9,289.832,289.805
205800,1106.5,289.829,289.795
206400,1159.2,289.825,289.785
207000,1211.9,289.822,289.774
207600,1264.6,289.818,289.764
208200,1317.3,289.815,289.754
208800,1370,289.811,289.743
209400,1395.8,289.81,289.739
210000,1418.6,289.809,289.734
210600,1441.5,289.808,289.73
211200,1464.3,289.806,289.726
211800,1487.1,289.805,289.722
212400,1509.9,289.804,289.718
213000,1532.8,289.803,289.714
213600,1555.6,289.802,289.709
214200,1576.4,289.801,289.706
214800,1596.8,289.799,289.703
215400,1617.2,289.797,289.699
216000,1637.6,289.795,289.696
216600,1658,289.794,289.693
217200,1678.3,289.792,289.689
217800,1698.7,289.79,289.686
218400,1719.1,289.789,289.683
219000,1739.5,289.787,289.68
219600,1761,289.785,289.677
220200,1782.8,289.783,289.673
220800,1804.5,289.78,289.67
221400,1826.3,289.778,289.667
222000,1848,289.776,289.664
222600,1869.8,289.774,289.661
223200,1891.5,289.772,289.658
223800,1913.3,289.769,289.655
224400,1935,289.767,289.652
225000,1965.6,289.764,289.648
225600,1998.1,289.761,289.644
226200,2030.6,289.757,289.64
226800,2063.1,289.754,289.635
227400,2095.6,289.75,289.631
228000,2128,289.747,289.627
228600,2160.5,289.744,289.623
229200,2193,289.74,289.619
229800,2225.5,289.737,289.614
230400,2263.2,289.733,289.61
231000,2302.1,289.729,289.605
231600,2340.9,289.725,289.6
232200,2379.8,289.721,289.596
232800,2418.7,289.717,289.591
233400,2457.5,289.713,289.586
234000,2478.9,289.704,289.579
234600,13527,292.177,291.13
235200,12200,293,291.233
235800,11900,293.353,291.216
236400,11558,293.529,291.221
237000,11125,293.593,291.231
237600,10815,293.634,291.241
238200,10548,293.666,291.25
238800,10344,293.692,291.257
239400,10177,293.715,291.263
240000,10011,293.739,291.269
240600,9844.4,293.762,291.275
241200,9698.1,293.782,291.28
241800,9586.1,293.797,291.284
242400,9474.1,293.812,291.287
243000,9362.1,293.827,291.291
243600,9250.1,293.842,291.295
244200,9138.1,293.857,291.298
244800,9057.4,293.868,291.301
245400,8986.5,293.878,291.303
246000,8915.6,293.887,291.305
246600,8844.7,293.896,291.307
247200,8773.8,293.906,291.309
247800,8702.9,293.915,291.311
248400,8631.9,293.925,291.313
249000,8568.3,293.933,291.315
249600,8524.6,293.939,291.316
250200,8480.9,293.945,291.317
250800,8437.2,293.951,291.318
251400,8393.5,293.957,291.319
252000,8349.8,293.962,291.32
252600,8306.1,293.968,291.321
253200,8262.4,293.974,291.322
253800,8218.7,293.98,291.323
254400,8175.4,293.986,291.325
255000,8133.2,293.991,291.326
255600,8047.2,294.015,291.315
256200,7487.8,291.773,292.854
256800,7007.1,291.565,292.969
257400,6901.3,291.621,292.958
258000,6808.7,291.625,292.969
258600,6756.4,291.612,292.985
259200,6704,291.599,293.001
259800,6656.8,291.586,293.017
260400,6612.5,291.577,293.031
261000,6571.5,291.568,293.043
261600,6537.7,291.56,293.054
262200,6491.9,291.552,293.067
262800,6476.3,291.545,293.074
263400,6460.7,291.537,293.082
264000,6453.7,291.53,293.088
264600,6449.4,291.523,293.094
265200,6447.9,291.516,293.099
265800,6452.3,291.51,293.103
266400,6456.7,291.505,293.107
267000,6461,291.499,293.11
267600,6465.4,291.493,293.114
268200,6470.9,291.488,293.117
268800,6477.6,291.484,293.119
269400,6484.3,291.481,293.121
270000,6491.1,291.477,293.124
270600,6497.8,291.473,293.126
271200,6504.5,291.469,293.128
271800,6511.2,291.465,293.13
272400,6517.9,291.462,293.132
273000,6524.7,291.458,293.134
273600,6531,291.454,293.136
274200,6536.9,291.452,293.137
274800,6542.7,291.449,293.139
275400,6548.6,291.447,293.14
276000,6554.4,291.444,293.141
276600,6560.3,291.441,293.143
277200,6566.2,291.439,293.144
277800,6572,291.436,293.145
278400,6577.9,291.434,293.146
279000,6583.3,291.431,293.148
279600,6588.1,291.43,293.148
280200,6593,291.428,293.149
280800,6597.8,291.426,293.15
281400,6602.7,291.424,293.151
282000,6607.5,291.423,293.152
282600,6612.4,291.421,293.152
283200,6617.3,291.419,293.153
283800,6622.1,291.417,293.154
284400,6165,291.43,293.185
285000,0.0,290.188,291.174
285600,179.57,289.838,290.475
286200,361.01,289.853,290.167
286800,438.97,289.856,289.958
287400,643.39,289.844,289.903
288000,790.1,289.832,289.876
288600,915.52,289.821,289.85
289200,1035.5,289.811,289.824
289800,1147.3,289.802,289.8
290400,1229.9,289.797,289.785
291000,1312.5,289.791,289.769
291600,1395.2,289.785,289.754
292200,1477.8,289.78,289.738
292800,1556.9,289.774,289.724
293400,1587.1,289.773,289.718
294000,1617.2,289.773,289.713
294600,1647.4,289.772,289.708
295200,1677.6,289.771,289.702
295800,1707.7,289.77,289.697
296400,1737.9,289.769,289.692
297000,1768,289.768,289.686
297600,1784.6,289.768,289.683
298200,1795.7,289.767,289.681
298800,1806.8,289.767,289.679
299400,1818,289.767,289.677
300000,1829.1,289.767,289.675
300600,1840.2,289.767,289.673
301200,1851.3,289.766,289.671
301800,1862.4,289.766,289.669
302400,1873.9,289.766,289.667
303000,1887.2,289.765,289.665
303600,1900.5,289.764,289.663
304200,1913.8,289.762,289.661
304800,1927.1,289.761,289.659
305400,1940.5,289.76,289.657
306000,1953.8,289.759,289.655
306600,1967.1,289.758,289.653
307200,1980.4,289.757,289.651
307800,1996.9,289.755,289.649
308400,2028.3,289.752,289.645
309000,2059.8,289.749,289.641
309600,2091.3,289.745,289.637
310200,2122.7,289.742,289.633
310800,2154.2,289.739,289.628
311400,2185.6,289.736,289.624
312000,2217.1,289.732,289.62
312600,2248.5,289.729,289.616
313200,2285,289.725,289.611
313800,2344.6,289.72,289.604
314400,2404.3,289.714,289.597
315000,2464,289.708,289.59
315600,2523.7,289.702,289.583
316200,2583.4,289.696,289.575
316800,2643.1,289.691,289.568
317400,2702.8,289.685,289.561
318000,2762.5,289.679,289.554
318600,2820.9,289.673,289.547
319200,2873.8,289.669,289.541
319800,2926.6,289.664,289.535
320400,3008.7,289.656,289.528
321000,13960,291.994,291.04
321600,12643,292.779,291.173
322200,12382,293.132,291.158
322800,12220,293.34,291.16
323400,11950,293.45,291.169
324000,11689,293.518,291.177
324600,11433,293.56,291.185
325200,11217,293.596,291.191
325800,11057,293.621,291.196
326400,10898,293.647,291.201
327000,10738,293.672,291.206
327600,10611,293.692,291.209
328200,10514,293.708,291.212
328800,10417,293.723,291.214
329400,10319,293.739,291.216
330000,10222,293.754,291.218
330600,10125,293.77,291.22
331200,10060,293.78,291.221
331800,10001,293.789,291.222
332400,9941.6,293.799,291.223
333000,9882.3,293.808,291.224
333600,9822.9,293.818,291.224
334200,9763.5,293.827,291.225
334800,9704.2,293.837,291.226
335400,9662.8,293.844,291.226
336000,9632.4,293.849,291.226
336600,9602,293.854,291.226
337200,9571.5,293.86,291.226
337800,9541.1,293.865,291.225
338400,9510.7,293.87,291.225
339000,9480.3,293.875,291.225
339600,9449.9,293.881,291.225
340200,9419.5,293.886,291.225
340800,9396.9,293.89,291.224
341400,9379,293.894,291.223
342000,9373.9,293.911,291.213
342600,8362,291.764,292.51
343200,8400.1,291.51,292.808
343800,8178.6,291.54,292.828
344400,8068,291.534,292.843
345000,7988.7,291.524,292.86
345600,7933.6,291.511,292.877
346200,7894.5,291.498,292.894
346800,7869.3,291.487,292.907
347400,7851.6,291.476,292.918
348000,7840.8,291.466,292.928
348600,7828,291.456,292.939
349200,7825,291.448,292.946
349800,7822.2,291.439,292.954
350400,7823.1,291.432,292.96
351000,7824,291.424,292.967
351600,7830.9,291.418,292.971
352200,7838,291.412,292.976
352800,7845.1,291.405,292.98
353400,7852.1,291.399,292.984
354000,7862.7,291.394,292.987
354600,7874.1,291.39,292.989
355200,7885.5,291.385,292.991
355800,7896.9,291.381,292.994
356400,7908.4,291.377,292.996
357000,7919.8,291.372,292.998
357600,7931.2,291.368,293
358200,7942.7,291.363,293.003
358800,7953.8,291.359,293.004
359400,7964.4,291.356,293.006
360000,7975,291.353,293.007
360600,7985.7,291.35,293.008
361200,7996.3,291.347,293.009
361800,8007,291.344,293.011
362400,8017.6,291.341,293.012
363000,8028.2,291.338,293.013
363600,8038.9,291.334,293.014
364200,8049.9,291.332,293.015
364800,8061.5,291.329,293.016
365400,8073.1,291.327,293.016
366000,8084.7,291.324,293.017
366600,8096.3,291.322,293.017
367200,8107.9,291.32,293.017
367800,8119.5,291.317,293.018
368400,8131.1,291.315,293.018
369000,8142.7,291.312,293.019
369600,8153.3,291.31,293.019
370200,8162.7,291.308,293.02
370800,7055.7,291.341,293.093
371400,59.938,289.848,290.709
372000,634.26,289.716,289.972
372600,1102.6,289.747,289.765
373200,1395.5,289.736,289.765
373800,1592.9,289.723,289.744
374400,1761,289.712,289.719
375000,1922.9,289.701,289.693
375600,2084.9,289.691,289.667
376200,2100.5,289.695,289.662
376800,2079.2,289.704,289.663
377400,2058,289.713,289.664
378000,2036.7,289.722,289.664
378600,2015.5,289.73,289.665
379200,1994.2,289.739,289.665
379800,1921,289.752,289.673
380400,1829.8,289.766,289.684
381000,1738.6,289.78,289.695
381600,1647.4,289.794,289.706
382200,1556.2,289.808,289.717
382800,1465,289.823,289.728
383400,1374.2,289.835,289.744
384000,1283.4,289.848,289.759
384600,1192.5,289.861,289.775
385200,1101.7,289.873,289.79
385800,1010.9,289.886,289.806
386400,920.04,289.899,289.821
387000,829.21,289.911,289.837
387600,773.12,289.92,289.847
388200,732.67,289.928,289.856
388800,692.22,289.935,289.864
389400,651.76,289.942,289.873
390000,611.31,289.949,289.882
390600,570.86,289.957,289.89
391200,530.41,289.964,289.899
391800,489.95,289.971,289.907
392400,449.5,289.979,289.916
393000,445.11,289.98,289.915
393600,456.94,289.98,289.91
394200,468.76,289.979,289.905
394800,480.59,289.978,289.9
395400,492.42,289.977,289.895
396000,504.24,289.976,289.89
396600,516.07,289.975,289.885
397200,527.9,289.974,289.88
397800,539.73,289.973,289.875
398400,611.78,289.962,289.861
399000,710.92,289.946,289.842
399600,810.06,289.931,289.823
400200,909.21,289.915,289.805
400800,1008.3,289.899,289.786
401400,1107.5,289.883,289.767
402000,1206.6,289.867,289.748
402600,1305.8,289.852,289.729
403200,1404.9,289.836,289.711
403800,1535.2,289.819,289.692
404400,1679.4,289.802,289.673
405000,1823.6,289.786,289.654
405600,1967.9,289.769,289.635
406200,2112.1,289.752,289.616
406800,2298.9,289.733,289.596
407400,13477,292.192,291.104
408000,12262,293.013,291.223
408600,11995,293.373,291.203
409200,11641,293.515,291.204
409800,11276,293.586,291.21
410400,10996,293.62,291.217
411000,10787,293.649,291.222
411600,10619,293.674,291.227
412200,10451,293.699,291.232
412800,10292,293.723,291.236
413400,10183,293.739,291.239
414000,10075,293.755,291.242
414600,9965.9,293.772,291.244
415200,9857.2,293.788,291.247
415800,9748.6,293.804,291.25
416400,9666.6,293.817,291.252
417000,9601.9,293.827,291.253
417600,9537.2,293.836,291.254
418200,9472.5,293.846,291.255
418800,9407.8,293.856,291.256
419400,9343.1,293.865,291.257
420000,9278.4,293.875,291.258
420600,9227.7,293.883,291.259
421200,9192.8,293.888,291.259
421800,9158,293.894,291.259
422400,9123.1,293.899,291.259
423000,9088.3,293.905,291.259
423600,9053.5,293.911,291.259
424200,9018.6,293.916,291.259
424800,8983.8,293.922,291.259
425400,8948.9,293.927,291.26
426000,8919.8,293.932,291.259
426600,8897.2,293.936,291.259
427200,8874.6,293.94,291.259
427800,8852,293.943,291.259
428400,8709.1,294.002,291.228
429000,8050.2,291.688,292.68
429600,7869.9,291.534,292.873
430200,7671.4,291.578,292.877
430800,7551.8,291.581,292.889
431400,7481.1,291.569,292.906
432000,7412.6,291.557,292.924
432600,7370.2,291.543,292.94
433200,7340.9,291.532,292.953
433800,7317.9,291.521,292.964
434400,7303.9,291.512,292.974
435000,7288.3,291.501,292.984
435600,7282,291.493,292.992
436200,7275.8,291.485,293
436800,7273.7,291.477,293.006
437400,7272.2,291.47,293.012
438000,7276.3,291.463,293.017
438600,7283.8,291.457,293.021
439200,7291.3,291.451,293.025
