DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K,heatsys1.schedule1.Tset1,heatsys1.schedule1.Tset2,heatsys1.schedule1.Tset3
0,0,293.15,293.15,293.15,291.15,291.15,291.15
600,0,293.13553,293.1439,293.13553,291.15,291.15,291.15
1200,0,293.10663,293.13803,293.10663,291.15,291.15,291.15
1800,0,293.0682,293.13242,293.06818,291.15,291.15,291.15
2400,0,293.02133,293.12704,293.02133,291.15,291.15,291.15
3000,0,292.96985,293.12186,292.96985,291.15,291.15,291.15
3600,0,292.9139,293.11688,292.9139,291.15,291.15,291.15
4200,0,292.85678,293.11203,292.85678,291.15,291.15,291.15
4800,0,292.79843,293.1073,292.79843,291.15,291.15,291.15
5400,0,292.74158,293.1026,292.74158,291.15,291.15,291.15
6000,0,292.68643,293.0979,292.68643,291.15,291.15,291.15
6600,0,292.63388,293.09314,292.63388,291.15,291.15,291.15
7200,0,292.5842,293.08817,292.5842,291.15,291.15,291.15
7800,0,292.53745,293.083,292.53745,291.15,291.15,291.15
8400,0,292.49356,293.07755,292.49356,291.15,291.15,291.15
9000,0,292.45248,293.07175,292.45248,291.15,291.15,291.15
9600,0,292.41394,293.06558,292.41394,291.15,291.15,291.15
10200,0,292.37772,293.05905,292.37772,291.15,291.15,291.15
10800,0,292.34348,293.05215,292.34348,291.15,291.15,291.15
11400,0,292.311,293.04486,292.311,291.15,291.15,291.15
12000,0,292.28003,293.03714,292.28003,291.15,291.15,291.15
12600,0,292.2506,293.029,292.2506,291.15,291.15,291.15
13200,0,292.22238,293.02042,292.22238,291.15,291.15,291.15
13800,0,292.1952,293.01138,292.1952,291.15,291.15,291.15
14400,0,292.16888,293.0019,292.16888,291.15,291.15,291.15
15000,0,292.14334,292.992,292.14334,291.15,291.15,291.15
15600,0,292.11838,292.98166,292.11838,291.15,291.15,291.15
16200,0,292.0938,292.9709,292.0938,291.15,291.15,291.15
16800,0,292.0698,292.95975,292.0698,291.15,291.15,291.15
17400,0,292.04602,292.94818,292.04602,291.15,291.15,291.15
18000,0,292.0224,292.93625,292.0224,291.15,291.15,291.15
18600,0,291.99896,292.92392,291.99896,291.15,291.15,291.15
19200,0,291.97565,292.91125,291.97565,291.15,291.15,291.15
19800,0,291.95236,292.89822,291.95236,291.15,291.15,291.15
20400,0,291.92902,292.8849,291.92902,291.15,291.15,291.15
21000,0,291.90567,292.8712,291.90567,291.15,291.15,291.15
21600,0,291.88226,292.85718,291.88226,291.15,291.15,291.15
22200,0,291.8588,292.84283,291.8588,291.15,291.15,291.15
22800,0,291.8353,292.8282,291.8353,291.15,291.15,291.15
23400,0,291.81177,292.8132,291.81177,291.15,291.15,291.15
24000,0,291.78824,292.79797,291.78824,291.15,291.15,291.15
24600,0,291.76465,292.7824,291.76465,291.15,291.15,291.15
25200,0,291.74115,292.7667,291.74115,291.15,291.15,291.15
25800,50000,292.31082,292.75064,292.31082,294.15,291.15,294.15
26400,50000,293.26633,292.73438,293.26633,294.15,291.15,294.15
27000,50000,294.05066,292.7179,294.05066,294.15,291.15,294.15
27600,0,294.16556,292.7012,294.16556,294.15,291.15,294.15
28200,0,294.3192,292.68433,294.3192,294.15,291.15,294.15
28800,50000,293.94534,292.66733,293.94534,294.15,291.15,294.15
29400,0,294.10522,292.6502,294.1053,294.15,291.15,294.15
30000,0,294.29562,292.63303,294.29657,294.15,291.15,294.15
30600,50000,293.94778,292.6158,293.9519,294.15,291.15,294.15
31200,0,294.13086,292.59863,294.1421,294.15,291.15,294.15
31800,0,294.33633,292.58148,294.3603,294.15,291.15,294.15
32400,50000,294.0036,292.56442,294.04623,294.15,291.15,294.15
33000,0,294.19513,292.54742,294.25583,294.15,291.15,294.15
33600,25000,294.4098,292.53055,293.9763,294.15,291.15,294.15
34200,0,294.07504,292.5138,294.2133,294.15,291.15,294.15
34800,25000,294.3246,292.49716,293.9527,294.15,291.15,294.15
35400,25000,294.0175,292.48068,294.20383,294.15,291.15,294.15
36000,25000,294.22983,292.46436,293.95242,294.15,291.15,294.15
36600,25000,293.95047,292.44824,294.20807,294.15,291.15,294.15
37200,25000,294.1849,292.4323,293.9623,294.15,291.15,294.15
37800,0,294.4312,292.41656,294.2227,294.15,291.15,294.15
38400,25000,294.12726,292.40106,293.98193,294.15,291.15,294.15
39000,0,294.39404,292.38577,294.24747,294.15,291.15,294.15
39600,25000,294.1072,292.3707,294.00912,294.15,291.15,294.15
40200,0,294.38657,292.35587,294.2765,294.15,291.15,294.15
40800,25000,294.1128,292.3413,294.0423,294.15,291.15,294.15
41400,0,294.3982,292.32693,294.31128,294.15,291.15,294.15
42000,0,294.1297,292.31284,294.0772,294.15,291.15,294.15
42600,0,294.421,292.29898,294.3971,294.15,291.15,294.15
43200,0,294.153,292.28537,294.1512,294.15,291.15,294.15
43800,0,294.44785,292.27197,294.46274,294.15,291.15,294.15
44400,0,294.17993,292.25885,294.20746,294.15,291.15,294.15
45000,50000,293.96387,292.2459,294.0006,294.15,291.15,294.15
45600,0,294.24957,292.2332,294.29318,294.15,291.15,294.15
46200,25000,294.02457,292.22067,294.07278,294.15,291.15,294.15
46800,0,294.30087,292.20834,294.39984,294.15,291.15,294.15
47400,0,294.0685,292.1962,294.16058,294.15,291.15,294.15
48000,25000,294.38672,292.18423,293.96243,294.15,291.15,294.15
48600,0,294.13495,292.1724,294.2598,294.15,291.15,294.15
49200,25000,294.44305,292.16077,294.04236,294.15,291.15,294.15
49800,0,294.17972,292.14923,294.32208,294.15,291.15,294.15
50400,25000,293.9709,292.13785,294.0932,294.15,291.15,294.15
51000,0,294.25604,292.1266,294.41183,294.15,291.15,294.15
51600,25000,294.02914,292.11545,294.16287,294.15,291.15,294.15
52200,25000,294.30032,292.10437,293.95657,294.15,291.15,294.15
52800,0,294.05963,292.0934,294.2456,294.15,291.15,294.15
53400,25000,294.37256,292.08252,294.01953,294.15,291.15,294.15
54000,0,294.11417,292.07166,294.29245,294.15,291.15,294.15
54600,0,294.4122,292.06082,294.05283,294.15,291.15,294.15
55200,0,294.14117,292.05002,294.36414,294.15,291.15,294.15
55800,0,294.42886,292.0392,294.10495,294.15,291.15,294.15
56400,0,294.14844,292.0284,294.4008,294.15,291.15,294.15
57000,0,294.43164,292.01758,294.1302,294.15,291.15,294.15
57600,0,294.14908,292.00674,294.41925,294.15,291.15,294.15
58200,0,294.42984,291.99588,294.14227,294.15,291.15,294.15
58800,0,294.14566,291.985,294.42706,294.15,291.15,294.15
59400,0,294.425,291.97403,294.14633,294.15,291.15,294.15
60000,0,294.13986,291.963,294.4284,294.15,291.15,294.15
60600,0,294.41812,291.95197,294.1454,294.15,291.15,294.15
61200,0,294.13245,291.94086,294.4256,294.15,291.15,294.15
61800,0,294.4099,291.9297,294.14114,294.15,291.15,294.15
62400,0,294.12393,291.9185,294.4201,294.15,291.15,294.15
63000,0,294.40082,291.9072,294.13467,294.15,291.15,294.15
63600,0,294.11472,291.89584,294.41278,294.15,291.15,294.15
64200,0,294.3906,291.88446,294.12613,294.15,291.15,294.15
64800,0,294.10452,291.873,294.40366,291.15,291.15,291.15
65400,0,293.7951,291.86145,294.04144,291.15,291.15,291.15
66000,0,293.54147,291.84985,293.7476,291.15,291.15,291.15
66600,0,293.3213,291.83823,293.49606,291.15,291.15,291.15
67200,0,293.13004,291.8265,293.28177,291.15,291.15,291.15
67800,0,292.96118,291.81473,293.096,291.15,291.15,291.15
68400,0,292.81174,291.80286,292.9321,291.15,291.15,291.15
69000,0,292.67953,291.79086,292.78726,291.15,291.15,291.15
69600,0,292.56262,291.77878,292.6593,291.15,291.15,291.15
70200,0,292.45908,291.76657,292.5463,291.15,291.15,291.15
70800,0,292.36707,291.7542,292.44632,291.15,291.15,291.15
71400,0,292.28476,291.7417,292.35733,291.15,291.15,291.15
72000,0,292.21036,291.72903,292.27725,291.15,291.15,291.15
72600,0,292.14252,291.7162,292.20462,291.15,291.15,291.15
73200,0,292.08057,291.70316,292.1387,291.15,291.15,291.15
73800,0,292.0229,291.6899,292.07764,291.15,291.15,291.15
74400,0,291.96906,291.67645,292.02097,291.15,291.15,291.15
75000,0,291.91852,291.6628,291.96808,291.15,291.15,291.15
75600,0,291.87015,291.64896,291.9176,291.15,291.15,291.15
76200,0,291.82428,291.6349,291.87003,291.15,291.15,291.15
76800,0,291.78027,291.62057,291.8245,291.15,291.15,291.15
77400,0,291.73752,291.60605,291.78043,291.15,291.15,291.15
78000,0,291.6964,291.5913,291.7382,291.15,291.15,291.15
78600,0,291.65637,291.57632,291.69714,291.15,291.15,291.15
79200,0,291.61722,291.56116,291.65707,291.15,291.15,291.15
79800,0,291.57904,291.54575,291.61813,291.15,291.15,291.15
80400,0,291.54153,291.53012,291.57993,291.15,291.15,291.15
81000,0,291.50464,291.5143,291.5424,291.15,291.15,291.15
81600,0,291.46826,291.4983,291.50543,291.15,291.15,291.15
82200,0,291.43234,291.48206,291.469,291.15,291.15,291.15
82800,0,291.39676,291.4656,291.43295,291.15,291.15,291.15
83400,0,291.3615,291.449,291.39725,291.15,291.15,291.15
84000,0,291.3265,291.4322,291.36188,291.15,291.15,291.15
84600,0,291.29166,291.41516,291.32663,291.15,291.15,291.15
85200,0,291.2569,291.39798,291.2915,291.15,291.15,291.15
85800,0,291.22214,291.3806,291.25644,291.15,291.15,291.15
86400,0,291.18735,291.36304,291.22134,291.15,291.15,291.15
87000,0,291.1527,291.34528,291.18643,291.15,291.15,291.15
87600,0,291.1178,291.32727,291.15128,291.15,291.15,291.15
88200,0,291.08243,291.30896,291.11566,291.15,291.15,291.15
88800,25000,291.04703,291.2906,291.08002,291.15,291.15,291.15
89400,25000,291.47757,291.2722,291.04428,291.15,291.15,291.15
90000,0,291.35983,291.25357,291.47443,291.15,291.15,291.15
90600,0,291.2602,291.2348,291.3589,291.15,291.15,291.15
91200,0,291.1718,291.2159,291.25705,291.15,291.15,291.15
91800,0,291.0922,291.19687,291.16626,291.15,291.15,291.15
92400,25000,291.0213,291.1777,291.08655,291.15,291.15,291.15
93000,25000,291.42477,291.1584,291.016,291.15,291.15,291.15
93600,0,291.28522,291.13898,291.41916,291.15,291.15,291.15
94200,0,291.16797,291.11942,291.28278,291.15,291.15,291.15
94800,0,291.06488,291.09976,291.1634,291.15,291.15,291.15
95400,0,291.48627,291.08002,291.05862,291.15,291.15,291.15
96000,0,291.31964,291.06018,291.4803,291.15,291.15,291.15
96600,16000,291.17596,291.04025,291.31448,291.15,291.15,291.15
97200,0,291.0525,291.45212,291.17026,291.15,291.15,291.15
97800,25000,291.4588,291.38687,291.04678,291.15,291.15,291.15
98400,0,291.28134,291.32568,291.4105,291.15,291.15,291.15
99000,0,291.13113,291.2692,291.2432,291.15,291.15,291.15
99600,25000,290.99994,291.21622,291.097,291.15,291.15,291.15
100200,0,291.35672,291.1666,291.48297,291.15,291.15,291.15
100800,0,291.18146,291.12073,291.2933,291.15,291.15,291.15
101400,25000,291.03156,291.07797,291.12906,291.15,291.15,291.15
102000,41000,291.3737,291.03738,290.9839,291.15,291.15,291.15
102600,0,291.18353,291.43323,291.33325,291.15,291.15,291.15
103200,25000,291.02115,291.35504,291.15018,291.15,291.15,291.15
103800,25000,291.35605,291.28162,290.99,291.15,291.15,291.15
104400,0,291.15872,291.21353,291.32782,291.15,291.15,291.15
105000,25000,290.9907,291.1505,291.13632,291.15,291.15,291.15
105600,0,291.31973,291.0912,291.4839,291.15,291.15,291.15
106200,16000,291.12,291.03644,291.2654,291.15,291.15,291.15
106800,0,291.46118,291.4201,291.07016,291.15,291.15,291.15
107400,0,291.23557,291.33008,291.41827,291.15,291.15,291.15
108000,25000,291.03955,291.24823,291.20078,291.15,291.15,291.15
108600,25000,291.34665,291.1721,291.00574,291.15,291.15,291.15
109200,0,291.1282,291.1015,291.3177,291.15,291.15,291.15
109800,16000,291.4585,291.0358,291.10394,291.15,291.15,291.15
110400,0,291.21832,291.40845,291.4324,291.15,291.15,291.15
111000,25000,291.01172,291.30957,291.19843,291.15,291.15,291.15
111600,25000,291.30817,291.21878,290.99057,291.15,291.15,291.15
112200,50000,291.6766,291.13635,291.87967,294.15,291.15,294.15
112800,50000,292.43582,291.06027,292.60062,294.15,291.15,294.15
113400,50000,293.04553,291.4455,293.17783,294.15,291.15,294.15
114000,50000,293.51956,291.3349,293.62695,294.15,291.15,294.15
114600,50000,293.9024,291.2323,293.99048,294.15,291.15,294.15
115200,25000,294.21088,291.13947,294.28436,294.15,291.15,294.15
115800,50000,293.95313,291.05554,294.07413,294.15,291.15,294.15
116400,0,294.2758,291.43448,294.3753,294.15,291.15,294.15
117000,50000,294.09106,291.3166,294.17456,294.15,291.15,294.15
117600,50000,293.903,291.20886,293.97766,294.15,291.15,294.15
118200,0,294.27356,291.11267,294.34717,294.15,291.15,294.15
118800,66000,294.13153,291.02515,294.21,294.15,291.15,294.15
119400,25000,293.9719,291.3772,294.0562,294.15,291.15,294.15
120000,25000,294.35986,291.25742,294.00848,294.15,291.15,294.15
120600,25000,294.22733,291.15085,294.42133,294.15,291.15,294.15
121200,25000,294.07306,291.05545,293.80206,294.15,291.15,294.15
121800,25000,294.01886,291.423,294.28107,294.15,291.15,294.15
122400,25000,294.432,291.2956,294.20804,294.15,291.15,294.15
123000,25000,293.80142,291.17975,294.09683,294.15,291.15,294.15
123600,25000,294.27747,291.0777,294.078,294.15,291.15,294.15
124200,50000,294.20883,291.43994,294.0114,294.15,291.15,294.15
124800,25000,294.10214,291.30698,293.96417,294.15,291.15,294.15
125400,25000,294.08243,291.18726,294.44107,294.15,291.15,294.15
126000,50000,294.01483,291.08142,293.86176,294.15,291.15,294.15
126600,25000,293.96884,291.44196,294.37314,294.15,291.15,294.15
127200,25000,294.4464,291.3064,293.82034,294.15,291.15,294.15
127800,25000,293.87173,291.18497,294.3461,294.15,291.15,294.15
128400,25000,294.3806,291.07767,293.80707,294.15,291.15,294.15
129000,25000,293.82617,291.43698,294.34454,294.15,291.15,294.15
129600,25000,294.35184,291.3005,293.81195,294.15,291.15,294.15
130200,25000,293.8106,291.17776,294.35315,294.15,291.15,294.15
130800,25000,294.34647,291.06973,293.8224,294.15,291.15,294.15
131400,25000,293.80942,291.42822,294.368,294.15,291.15,294.15
132000,25000,294.3491,291.29144,293.8395,294.15,291.15,294.15
132600,25000,293.8184,291.16846,294.3831,294.15,291.15,294.15
133200,25000,294.3614,291.06015,293.85406,294.15,291.15,294.15
133800,25000,293.8286,291.41855,294.4015,294.15,291.15,294.15
134400,25000,294.37143,291.28183,293.87393,294.15,291.15,294.15
135000,25000,293.8445,291.1589,294.41644,294.15,291.15,294.15
