Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0.0,2901.0315,293.14005,293.1387
600.0,2353.1882,293.1421,293.1407
1200.0,2278.8867,293.14232999999996,293.14096
1800.0,2214.924,293.14258,293.14117000000005
2400.0,2220.3726,293.14258,293.14117000000005
3000.0,2240.5264,293.1425,293.14108
3600.0,2233.5227,293.14252,293.1411
4200.0,2206.189,293.14258,293.14124
4800.0,2195.8242,293.14264,293.1413
5400.0,2195.1292,293.1426,293.1413
6000.0,2225.6592,293.1425,293.1412
6600.0,2220.0706,293.14252,293.14124
7200.0,2220.8982,293.1425,293.14124
7800.0,2192.0461,293.14258,293.14136
8400.0,2165.7036,293.14267,293.14148
9000.0,2163.1948,293.14267,293.14148
9600.0,2161.4385,293.14264,293.1415
10200.0,2138.3645,293.14273,293.1416
10800.0,2136.8445,293.14273,293.14162999999996
11400.0,2162.8376,293.1426,293.14153999999996
12000.0,2169.0034,293.14258,293.14153999999996
12600.0,2169.2998,293.14258,293.14153999999996
13200.0,2191.6294,293.14246,293.14148
13800.0,2221.9553,293.14236,293.14136
14400.0,2225.4802,293.14232999999996,293.14136
15000.0,2171.121,293.14252,293.14157
15600.0,2102.8262,293.14276,293.1418
16200.0,2097.661,293.1428,293.14185
16800.0,2097.0703,293.14276,293.14185
17400.0,2073.672,293.14285,293.14194
18000.0,2071.9226,293.14285,293.14197
18600.0,2095.6533,293.14276,293.14187999999996
19200.0,2094.7544,293.14276,293.14187999999996
19800.0,2094.8652,293.14276,293.14187999999996
20400.0,2095.5925,293.14276,293.1419
21000.0,2097.2397,293.14273,293.1419
21600.0,2097.1677,293.14273,293.1419
22200.0,2080.0176,293.1428,293.14197
22800.0,2102.3772,293.1427,293.14187999999996
23400.0,2103.187,293.1427,293.14187999999996
24000.0,2079.3733,293.14276,293.14197
24600.0,2069.2344,293.14282000000003,293.14203
25200.0,2067.5945,293.14282000000003,293.14203
25800.0,2088.404,293.14276,293.14194
26400.0,2088.2012,293.14273,293.14197
27000.0,2087.1042,293.14276,293.14197
27600.0,2066.5229999999997,293.14282000000003,293.14203
28200.0,2072.172,293.1428,293.14203
28800.0,2068.548,293.1428,293.14203
29400.0,2092.9297,293.1427,293.14197
30000.0,2098.5986,293.1427,293.14194
30600.0,2080.7622,293.14273,293.142
31200.0,2110.6992,293.14264,293.1419
31800.0,2104.5989,293.14264,293.14194
32400.0,2066.0198,293.14276,293.1421
33000.0,2022.2632,293.14288,293.14227
33600.0,2007.4766,293.14294,293.14232999999996
34200.0,1988.2765,293.143,293.14243
34800.0,1968.6758,293.14307,293.14252
35400.0,1963.2783,293.1431,293.14252
36000.0,1949.3182,293.14313,293.14258
36600.0,1922.3196,293.1432,293.1427
37200.0,1909.7787,293.14325,293.14276
37800.0,1892.3395,293.1433,293.14282000000003
38400.0,1872.9976,293.14337,293.1429
39000.0,1876.9873,293.14333999999997,293.1429
39600.0,1859.4528,293.1434,293.14297
40200.0,1814.2363,293.14355,293.14316
40800.0,1799.8595,293.1436,293.14322000000004
41400.0,1782.4102,293.14365,293.1433
42000.0,1780.1892,293.14362,293.1433
42600.0,1738.5156,293.14377,293.14346
43200.0,1718.9955,293.14383,293.14355
43800.0,1684.815,293.14395,293.1437
44400.0,1638.8682,293.1441,293.14386
45000.0,1621.4307,293.14417000000003,293.14395
45600.0,1191.0217,293.14575,293.14554
46200.0,1131.21,293.14594,293.14575
46800.0,1118.5354,293.14599999999996,293.1458
47400.0,1075.2788,293.14612,293.14599999999996
48000.0,1072.4325,293.14615,293.14599999999996
48600.0,1068.2103,293.14615,293.14603
49200.0,1414.3425,293.14487,293.14477999999997
49800.0,1483.5781,293.14462000000003,293.1445
50400.0,1492.4189999999999,293.1446,293.14447
51000.0,1583.5873,293.14423,293.14417000000003
51600.0,1627.1453,293.14407,293.14398
52200.0,1635.4524,293.14404,293.14395
52800.0,561.78894,293.14799999999997,293.1479
53400.0,0.0,293.1756,293.17368
54000.0,0.0,293.2665,293.26065
54600.0,788.28894,293.15512,293.15082
55200.0,1545.3097,293.1444,293.1443
55800.0,1549.8369,293.14437999999996,293.14426000000003
56400.0,0.0,292.90802,292.90375
57000.0,0.0,292.8016,292.7957
57600.0,0.0,292.68683,292.6774
58200.0,0.0,292.58606000000003,292.56717000000003
58800.0,0.0,292.56644,292.54102
59400.0,0.0,292.5694,292.5365
60000.0,0.0,292.93796000000003,292.90115
