Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,5484.057684,291.65,285.15
600,5287.148062,291.65,285.15
1200,5089.300796,291.65,285.15
1800,4856.084732,291.65,285.15
2400,4625.014313,291.65,285.15
3000,4404.475844,291.65,285.15
3600,4300.341199,291.65,285.15
4200,4258.282168,291.65,285.15
4800,4229.217162,291.65,285.15
5400,4201.795529,291.65,285.15
6000,4160.506324,291.65,285.15
6600,4130.882186,291.65,285.15
7200,4093.879495,291.65,285.15
7800,4071.363213,291.65,285.15
8400,4059.046033,291.65,285.15
9000,4062.666407,291.65,285.15
9600,4020.470762,291.65,285.15
10200,3990.081797,291.65,285.15
10800,3958.049517,291.65,285.15
11400,3954.588415,291.65,285.15
12000,3967.796936,291.65,285.15
12600,4126.119454,291.65,285.15
13200,4079.452267,291.65,285.15
13800,4040.526743,291.65,285.15
14400,3952.263452,291.65,285.15
15000,3904.426742,291.65,285.15
15600,3869.26125,291.65,285.15
16200,3845.5256,291.65,285.15
16800,3821.659085,291.65,285.15
17400,3803.798059,291.65,285.15
18000,3772.086518,291.65,285.15
18600,3765.343523,291.65,285.15
19200,3759.721568,291.65,285.15
19800,3721.036502,291.65,285.15
20400,3725.770526,291.65,285.15
21000,3734.02229,291.65,285.15
21600,3764.087713,291.65,285.15
22200,3774.030733,291.65,285.15
22800,3784.512547,291.65,285.15
23400,3795.650735,291.65,285.15
24000,3784.689116,291.65,285.15
24600,3778.240119,291.65,285.15
25200,3771.656173,291.65,285.15
25800,3716.149879,291.65,285.15
26400,3673.565,291.65,285.15
27000,3638.350982,291.65,285.15
27600,3585.647703,291.65,285.15
28200,3545.581469,291.65,285.15
28800,3513.765731,291.65,285.15
29400,3490.442429,291.65,285.15
30000,3472.312648,291.65,285.15
30600,3441.75822,291.65,285.15
31200,3435.502769,291.65,285.15
31800,3428.898903,291.65,285.15
32400,3373.232068,291.65,285.15
33000,1611.021837,291.1757525,285.15
33600,287.6188806,290.5452835,285.15
34200,275.9654323,290.1222282,285.15
34800,269.0223345,289.8304826,285.15
35400,264.5448254,289.6293695,285.15
36000,279.406921,289.474294,285.15
36600,3999.254269,290.4,285.15
37200,1799.205324,290.3752433,285.15
37800,228.1643438,289.9587793,285.15
38400,200.9316287,289.6826467,285.15
39000,178.3413888,289.4997042,285.15
39600,149.1045407,289.3718694,285.15
40200,121.7774808,289.2822433,285.15
40800,100.219185,289.2200369,285.15
41400,79.12101426,289.1700338,285.15
42000,55.57117608,289.131806,285.15
42600,35.64705735,289.103849,285.1500495
43200,0,289.0830308,285.1516446
43800,0,289.0660032,285.1600413
44400,0,289.0530719,285.1712973
45000,0,289.0411444,285.1877112
45600,0,289.026338,285.2017909
46200,0,289.0121253,285.2136044
46800,0,288.9961611,285.226348
47400,0,288.9810801,285.2397787
48000,0,288.9681252,285.2522373
48600,0,288.9547125,285.2666372
49200,0,288.9397873,285.2791082
49800,0,288.9256782,285.2892157
50400,0,288.9089188,285.29847
51000,4560.003648,290.1425143,285.3075288
51600,2523.010155,290.3704394,285.3151361
52200,0,289.8713688,285.3215484
52800,0,289.5427499,285.3278065
53400,0,289.3248181,285.3326462
54000,0,289.1703859,285.33338
54600,0,289.0594949,285.3327285
55200,0,288.9797515,285.3309711
55800,0,288.9179355,285.3300685
56400,0,288.8693412,285.3291254
57000,0,288.8311872,285.3272683
57600,0,288.7918414,285.3194077
58200,0,288.7565419,285.3109735
58800,0,288.72657,285.3027394
59400,0,288.6961969,285.2936021
60000,0,288.6676196,285.2846506
60600,0,288.642875,285.276626
61200,0,288.6197197,285.2711978
61800,4560.003648,289.8498911,285.2687093
62400,4286.763758,290.4859658,285.2674695
63000,6966.322443,291.65,285.2639827
63600,3879.67156,291.65,285.260937
64200,3816.568483,291.65,285.258146
64800,3742.841207,291.65,285.2552411
65400,3699.694613,291.65,285.2517455
66000,3672.63521,291.65,285.2476147
66600,3652.688606,291.65,285.2368035
67200,3619.908338,291.65,285.2287129
67800,3348.067475,291.5959885,285.2223701
68400,0,290.6843447,285.2162331
69000,0,290.0812448,285.213985
69600,0,289.6810148,285.2134753
70200,0,289.4030207,285.2123494
70800,0,289.2065206,285.2098928
71400,0,289.067803,285.2067128
72000,0,288.961128,285.2023359
72600,0,288.8776356,285.1959669
73200,0,288.8136854,285.1891551
73800,0,288.7616149,285.1852568
74400,0,288.7188221,285.1822494
75000,0,288.6844391,285.1794402
75600,0,288.6483478,285.1728849
76200,0,288.6173418,285.1682604
76800,560.000448,288.7130914,285.1647845
77400,8000.0064,290.7341322,285.1622
78000,6429.915259,291.65,285.1603686
78600,3963.093243,291.65,285.1589126
79200,3841.476995,291.65,285.158847
79800,3780.78905,291.65,285.1596563
80400,3742.972712,291.65,285.1597415
81000,3745.523235,291.65,285.15
81600,3728.916579,291.65,285.15
82200,3697.797006,291.65,285.15
82800,3631.816439,291.65,285.15
83400,3585.077874,291.65,285.15
84000,3552.614357,291.65,285.15
84600,3528.74722,291.65,285.15
85200,3522.183639,291.65,285.15
85800,3518.304194,291.65,285.15
86400,3485.130145,291.65,285.15
87000,3476.087825,291.65,285.15
87600,3473.201509,291.65,285.15
88200,3473.97052,291.65,285.15
88800,3461.827423,291.65,285.15
89400,3456.108601,291.65,285.15
90000,3455.701773,291.65,285.15
90600,3452.796888,291.65,285.15
91200,3453.877358,291.65,285.15
91800,3448.0471,291.65,285.15
92400,3446.441632,291.65,285.15
93000,3449.691594,291.65,285.15
93600,3460.332633,291.65,285.15
94200,3452.098634,291.65,285.15
94800,3452.835159,291.65,285.15
95400,3504.347253,291.65,285.15
96000,3480.351557,291.65,285.15
96600,3463.824847,291.65,285.15
97200,3443.194312,291.65,285.15
97800,3441.720557,291.65,285.15
98400,3442.022531,291.65,285.15
99000,3437.350345,291.65,285.15
99600,3429.129805,291.65,285.15
100200,3425.29162,291.65,285.15
100800,3433.691732,291.65,285.15
101400,3428.541289,291.65,285.15
102000,3426.319975,291.65,285.15
102600,3426.998959,291.65,285.15
103200,3419.659669,291.65,285.15
103800,3416.087972,291.65,285.15
104400,3422.702759,291.65,285.15
105000,3423.700281,291.65,285.15
105600,3428.19245,291.65,285.15
106200,3452.308107,291.65,285.15
106800,3496.306443,291.65,285.15
107400,3529.443719,291.65,285.15
108000,3508.650954,291.65,285.15
108600,3525.129597,291.65,285.15
109200,3539.695063,291.65,285.15
109800,3558.149614,291.65,285.15
110400,3566.828886,291.65,285.15
111000,3573.318675,291.65,285.15
111600,3566.882379,291.65,285.15
112200,3538.065185,291.65,285.15
112800,3515.515225,291.65,285.15
113400,3489.504474,291.65,285.15
114000,3471.704023,291.65,285.15
114600,3460.046597,291.65,285.15
115200,3464.408116,291.65,285.15
115800,3458.920174,291.65,285.15
116400,3456.775232,291.65,285.15
117000,3473.763366,291.65,285.15
117600,3468.662718,291.65,285.15
118200,3464.197486,291.65,285.15
118800,3442.487408,291.65,285.15
119400,1719.257298,291.1763578,285.15
120000,420.4239791,290.5459096,285.15
120600,399.0303881,290.1259046,285.15
121200,404.7199988,289.8332496,285.15
121800,407.828911,289.629838,285.15
122400,402.6630931,289.4791573,285.15
123000,4126.614166,290.4,285.15
123600,1960.242551,290.374818,285.15
124200,404.0364654,289.9508131,285.15
124800,393.4927661,289.6656497,285.15
125400,385.514719,289.4734194,285.15
126000,389.8953225,289.3310148,285.15
126600,381.8673572,289.2267685,285.15
127200,375.6780873,289.1511579,285.15
127800,370.8179761,289.0880923,285.15
128400,358.5454667,289.0381604,285.15
129000,349.473215,288.9996832,285.15
129600,346.5256287,288.9621047,285.15
130200,337.669719,288.929248,285.15
130800,331.0906616,288.9021709,285.15
131400,327.0390575,288.8735531,285.15
132000,328.8072788,288.8446121,285.15
132600,329.5064706,288.8189001,285.15
133200,316.1596862,288.7947359,285.15
133800,318.437523,288.7694051,285.15
134400,321.2475265,288.7460715,285.15
135000,329.3299599,288.7185142,285.15
135600,330.6708903,288.6917116,285.15
136200,332.6400824,288.6679234,285.15
136800,338.2929267,288.6413222,285.15
137400,4902.293309,289.8648823,285.15
138000,4038.23264,290.3644876,285.15
138600,351.078495,289.7651112,285.15
139200,351.239982,289.369879,285.15
139800,353.8327996,289.1074795,285.15
140400,380.7700353,288.9190222,285.15
141000,381.5518763,288.7860846,285.15
141600,381.0367768,288.692565,285.15
142200,361.7669638,288.6255936,285.15
142800,373.629098,288.5699542,285.15
143400,384.369826,288.5250217,285.15
144000,403.6223222,288.4812517,285.15
144600,421.2124549,288.4402329,285.15
145200,435.0036796,288.4046686,285.15
145800,446.302286,288.3695961,285.15
146400,479.1562273,288.3303276,285.15
147000,483.4693622,288.2974846,285.15
147600,242.352211,288.3271897,285.15
148200,144.1620428,288.3643695,285.15
148800,655.2957996,288.5169906,285.15
149400,8383.953483,290.5033606,285.15
150000,7757.289001,291.65,285.15
150600,4833.011286,291.65,285.15
151200,4742.764351,291.65,285.15
151800,4746.401626,291.65,285.15
152400,4756.60461,291.65,285.15
153000,4765.411153,291.65,285.15
153600,4740.513939,291.65,285.15
154200,4436.475367,291.5877268,285.15
154800,1017.822553,290.65,285.15
155400,1701.646738,290.2344074,285.15
156000,405.4735317,289.6836819,285.15
156600,120.0984044,289.3826293,285.15
157200,386.5719992,289.1004908,285.15
157800,591.6454126,288.8572891,285.15
158400,606.5860811,288.6788937,285.15
159000,614.2480903,288.5474229,285.15
159600,619.2464928,288.451555,285.15
160200,625.4921141,288.3734332,285.15
160800,642.6241137,288.3069346,285.15
161400,653.5632246,288.2533779,285.15
162000,637.7770962,288.2106829,285.15
162600,642.6695791,288.1720144,285.15
163200,1234.721145,288.2693228,285.15
163800,4472.5165,289.15,285.15
164400,5797.229597,290.1871838,285.15
165000,8598.868505,291.5708614,285.15
165600,5267.791817,291.65,285.15
166200,5053.167505,291.65,285.15
166800,5022.942677,291.65,285.15
167400,4976.899749,291.65,285.15
168000,4941.176794,291.65,285.15
168600,4918.794116,291.65,285.15
169200,4894.232509,291.65,285.15
169800,4882.154658,291.65,285.15
170400,4875.852272,291.65,285.15
171000,4848.181554,291.65,285.15
171600,4835.430224,291.65,285.15
172200,4828.851979,291.65,285.15
172800,4804.587589,291.65,285.15
173400,4790.840017,291.65,285.15
174000,4777.587111,291.65,285.15
174600,4736.980808,291.65,285.15
175200,4711.235573,291.65,285.15
175800,4690.209837,291.65,285.15
176400,4672.65697,291.65,285.15
177000,4642.942535,291.65,285.15
177600,4621.854462,291.65,285.15
178200,4615.807139,291.65,285.15
178800,4610.495945,291.65,285.15
179400,4605.867795,291.65,285.15
180000,4577.736459,291.65,285.15
180600,4554.766107,291.65,285.15
181200,4540.004731,291.65,285.15
181800,4553.090103,291.65,285.15
182400,4537.081598,291.65,285.15
183000,4524.593895,291.65,285.15
183600,4502.819154,291.65,285.15
184200,4497.962101,291.65,285.15
184800,4494.456912,291.65,285.15
185400,4475.328633,291.65,285.15
186000,4475.514717,291.65,285.15
186600,4475.90034,291.65,285.15
187200,4456.990452,291.65,285.15
187800,4448.761001,291.65,285.15
188400,4441.892607,291.65,285.15
189000,4425.788904,291.65,285.15
189600,4405.805481,291.65,285.15
190200,4391.289152,291.65,285.15
190800,4390.73086,291.65,285.15
191400,4383.445878,291.65,285.15
192000,4378.755489,291.65,285.15
192600,4382.734041,291.65,285.15
193200,4375.305842,291.65,285.15
193800,4375.943504,291.65,285.15
194400,4452.270226,291.65,285.15
195000,4472.159066,291.65,285.15
195600,4486.724276,291.65,285.15
196200,4474.502212,291.65,285.15
196800,4472.120792,291.65,285.15
197400,4469.713206,291.65,285.15
198000,4452.247945,291.65,285.15
198600,4425.789071,291.65,285.15
199200,4401.467404,291.65,285.15
199800,4340.289214,291.65,285.15
200400,4299.965031,291.65,285.15
201000,4267.662792,291.65,285.15
201600,4237.7759,291.65,285.15
202200,4233.21112,291.65,285.15
202800,4230.225439,291.65,285.15
203400,4226.2662,291.65,285.15
204000,4220.549785,291.65,285.15
204600,4217.403797,291.65,285.15
205200,4214.256954,291.65,285.15
205800,4171.390297,291.65,285.15
206400,3900.777787,291.5993095,285.15
207000,770.3967665,290.7453416,285.15
207600,769.2004895,290.1723634,285.15
208200,767.2002215,289.787479,285.15
208800,767.1013641,289.5136376,285.15
209400,764.7771637,289.3164521,285.15
210000,1321.224249,289.2972397,285.15
210600,6657.66522,290.65,285.15
211200,1743.299875,290.290278,285.15
211800,721.7166172,289.8125992,285.15
212400,701.001846,289.4938652,285.15
213000,684.8612823,289.274713,285.15
213600,670.7475382,289.1245399,285.15
214200,649.8392885,289.0139748,285.15
214800,630.9338405,288.9322196,285.15
215400,616.1748926,288.8727774,285.15
216000,612.1240363,288.8195144,285.15
216600,604.2720939,288.7743258,285.15
217200,598.3548119,288.7379038,285.15
217800,598.8993988,288.7000821,285.15
218400,581.8547861,288.668647,285.15
219000,568.2456502,288.6437993,285.15
219600,557.976995,288.6174248,285.15
220200,558.603888,288.5895997,285.15
220800,558.4337301,288.5643507,285.15
221400,540.7852244,288.5405341,285.15
222000,537.6291358,288.5160509,285.15
222600,535.6888394,288.4938597,285.15
223200,531.5279556,288.4691098,285.15
223800,521.8246772,288.4463063,285.15
224400,1074.508291,288.5481338,285.15
225000,8487.800612,290.5713867,285.15
225600,1914.390746,290.1972582,285.15
226200,509.6103256,289.5956917,285.15
226800,512.2597194,289.2005604,285.15
227400,509.3655497,288.9336712,285.15
228000,510.5828752,288.7520063,285.15
228600,540.0320555,288.6129443,285.15
229200,548.4968343,288.5092081,285.15
229800,557.8958396,288.4319228,285.15
230400,583.3543896,288.3633244,285.15
231000,589.5146561,288.3075658,285.15
231600,595.3303077,288.2632635,285.15
232200,607.5592482,288.2207057,285.15
232800,619.5848197,288.1811823,285.15
233400,639.8867106,288.15,285.15
234000,760.7142745,288.15,285.15
234600,806.5048495,288.15,285.15
235200,1384.075942,288.2678558,285.15
235800,8648.831139,290.2559337,285.15
236400,8639.964182,291.5887597,285.15
237000,5402.635051,291.65,285.15
237600,5144.082031,291.65,285.15
238200,5102.101206,291.65,285.15
238800,5076.418738,291.65,285.15
239400,5025.580659,291.65,285.15
240000,4335.807879,291.65,285.15
240600,3587.778485,291.5881301,285.15
241200,864.9762007,290.65,285.15
241800,1762.743165,290.1884405,285.15
242400,657.1372439,289.5716796,285.15
243000,672.2346533,289.1501909,285.15
243600,684.2352192,288.8554913,285.15
244200,692.6115922,288.6498419,285.15
244800,691.0989337,288.4981976,285.15
245400,699.325944,288.3832706,285.15
246000,705.9174565,288.2973818,285.15
246600,711.909033,288.2252425,285.15
247200,718.1827113,288.165196,285.15
247800,845.5248344,288.15,285.15
248400,934.5777327,288.15,285.15
249000,982.9944234,288.15,285.15
249600,1557.31071,288.2664797,285.15
250200,4767.004262,289.15,285.15
250800,6000.097113,290.1525558,285.15
251400,8737.466426,291.4902145,285.15
252000,5854.982205,291.65,285.15
252600,5327.227726,291.65,285.15
253200,5244.565287,291.65,285.15
253800,5171.179247,291.65,285.15
254400,5124.332738,291.65,285.15
255000,5092.076946,291.65,285.15
255600,5060.511815,291.65,285.15
256200,5025.998956,291.65,285.15
256800,5002.849547,291.65,285.15
257400,4960.270366,291.65,285.15
258000,4950.447513,291.65,285.15
258600,4946.819642,291.65,285.15
259200,4922.153589,291.65,285.15
259800,4902.045653,291.65,285.15
260400,4887.439567,291.65,285.15
261000,4861.606776,291.65,285.15
261600,4845.156946,291.65,285.15
262200,4831.950916,291.65,285.15
262800,4797.676162,291.65,285.15
263400,4786.342579,291.65,285.15
264000,4783.056883,291.65,285.15
264600,4801.487013,291.65,285.15
265200,4774.217133,291.65,285.15
265800,4757.033537,291.65,285.15
266400,4754.421063,291.65,285.15
267000,4754.892904,291.65,285.15
267600,4758.317433,291.65,285.15
268200,4754.78216,291.65,285.15
268800,4750.34943,291.65,285.15
269400,4748.900384,291.65,285.15
270000,4730.527078,291.65,285.15
270600,4728.175898,291.65,285.15
