Datetime,Qheat_injection_W,Qheat_losses_W,Critical_temp_K,Critical_press_drop_Pa
0,80634.18,0,308.15,-92228.5
900,120589.8,3362.72,322.21,120000.1563
1800.00,88903.83,3737.02,322.21,120000.125
2700.00,86701.68,3740.86,322.19,120000.0313
3600.00,85722.95,3740.41,322.17,120000.2188
4500.00,85175.21,3741.18,322.17,120000.0625
5400.00,84829.98,3740.36,322.16,120000.125
6300.00,84678.77,3740.81,322.16,120000
7200.00,84600.16,3741.08,322.16,120000.0313
8100.00,84636.86,3742.11,322.16,120000
9000.00,84705.77,3742.12,322.16,120000.0625
9900.00,84813.66,3742.34,322.16,120000
10800.00,84864.41,3742.68,322.16,119999.9375
11700.00,84854.96,3742.21,322.16,120000.0313
12600.00,84816.27,3741.99,322.16,120000.0313
13500.00,84760.34,3741.43,322.16,120000
14400.00,84684.13,3741.71,322.16,120000
15300.00,84611.95,3741.02,322.16,120000
16200.00,84540.37,3741.62,322.16,119999.9063
17100.00,84441.45,3740.5,322.16,120000
18000.00,84345.98,3741.19,322.15,119999.9375
18900.00,84208.44,3739.72,322.15,120000
19800.00,84038.45,3740.23,322.15,119999.9375
20700.00,83836.23,3739.58,322.15,120000.0313
21600.00,83633.38,3739.1,322.15,119999.9688
22500.00,83435.89,3739.71,322.14,120000.0313
23400.00,83237.8,3738.41,322.14,120000
24300.00,83031.38,3739.58,322.14,120000.0313
25200.00,41540.08,3187.28,321.88,120001
26100.00,939.12,307.41,320.75,120000
27000.00,956.05,635.15,318.81,120000
27900.00,972.58,943.4,316.75,120000
28800.00,988.73,1234.34,314.8,120000
29700.00,1004.52,1508.54,312.97,120000
30600.00,1019.95,1766.15,311.25,120000
31500.00,1035.03,2000.77,309.65,120000
32400.00,1049.74,2159.95,308.15,120000
33300.00,1064.13,2311.25,306.76,120000
34200.00,1078.2,2454.46,305.48,120000
35100.00,1091.91,2583.65,304.55,120000
36000.00,1105.33,2698.7,304.42,120000
36900.00,1118.39,2804.18,304.37,120000
37800.00,1131.12,2876.78,304.29,120000
38700.00,1143.41,2908.76,304.16,120000
39600.00,1150.41,2910.24,303.97,120000
40500.00,1157.61,2885.42,303.72,120000
41400.00,1168.41,2843.44,303.41,120000
42300.00,1181.35,2796.13,303.04,120000
43200.00,1195.49,2746.35,302.63,120000
44100.00,1210.13,2698.09,302.19,120000
45000.00,1224.74,2651.83,301.71,120000
45900.00,1237.74,2607.68,301.21,120000
46800.00,1248.39,2565.51,300.7,120000
47700.00,1257.04,2524.8,300.19,120000
48600.00,1264.11,2485.13,299.66,120000
49500.00,1270.02,2446.63,299.15,120000
50400.00,1275.22,2411.18,298.63,120000
51300.00,1279.87,2378.49,298.13,120000
52200.00,1283.46,2349.18,297.65,120000
53100.00,1287.14,2322.96,297.19,120000
54000.00,1291.81,2297.54,296.75,120000
54900.00,1297.75,2271.88,296.34,120000
55800.00,1304.87,2245.75,295.94,120000
56700.00,1312.95,2219.35,295.56,120000
57600.00,1321.62,2193.03,295.21,120000
58500.00,1330.2,2167.23,294.86,120000
59400.00,1338.19,2142.22,294.54,120000
60300.00,1345.33,2118.08,294.22,120000
61200.00,232391.8,2938.47,307.51,119981.125
62100.00,173810.09,3785.24,322.67,120000.0625
63000.00,173379.27,3785.75,322.67,120000.25
63900.00,173500.92,3786.24,322.67,120000
64800.00,173705.34,3786.17,322.67,119999.875
65700.00,173927.66,3787.1,322.67,119999.9688
66600.00,174202.16,3786.72,322.68,119999.9688
67500.00,174606.73,3784.26,322.68,120000
68400.00,174968.81,3786.93,322.68,120000.1563
69300.00,175378.27,3787,322.68,120000
70200.00,167265.44,3763.87,322.66,120001.2813
71100.00,163522.75,3777.7,322.65,120000.4375
72000.00,157422.95,3775.13,322.63,120001
72900.00,152100.13,3772.48,322.61,120000.2813
73800.00,147256.38,3772.34,322.59,120000.75
74700.00,142893.5,3765.11,322.57,120000.25
75600.00,138863.75,3769.97,322.56,120000.3125
76500.00,135211.08,3766.18,322.54,120000.1563
77400.00,131815.28,3764.21,322.52,120000.2188
78300.00,128706.37,3767.08,322.51,120000.1563
79200.00,144636.64,3804.91,322.55,119999.5
80100.00,162926.98,3782.89,322.64,120000
81000.00,105072.17,3606.22,322.49,120022.3125
81900.00,98896.4,3744.53,322.32,120000.25
82800.00,93815.05,3740.45,322.27,120000.625
83700.00,90004.93,3737.42,322.23,120000.125
84600.00,86919.9,3734.25,322.2,120000.625
85500.00,84459.92,3733.17,322.17,120000
86400.00,82371.88,3729.95,322.14,120000.125
87300.00,80662.48,3728.18,322.12,120000.0313
88200.00,79169.98,3723.64,322.1,120000.125
89100.00,77854.13,3725.1,322.08,119999.9688
90000.00,76677.09,3727.09,322.06,120000.125
90900.00,75579.84,3725.99,322.04,120000
91800.00,74577.24,3721.05,322.03,120000.0313
92700.00,73640.23,3722.54,322.01,120000.0313
93600.00,72682.95,3723.25,322,120000.2188
94500.00,74641.7,3733.55,322.01,120000
95400.00,75034.35,3731.64,322.02,119999.9688
96300.00,75235.23,3731.69,322.03,120000
97200.00,75464.16,3732.01,322.03,120000
98100.00,75725.02,3732.74,322.03,120000
99000.00,76015.78,3732.95,322.04,120000.0313
99900.00,76327.75,3734.26,322.04,120000
100800.00,76623.6,3733.86,322.05,120000
101700.00,76920.53,3734.86,322.05,119999.9688
102600.00,77250.47,3734.3,322.06,120000.0313
103500.00,77633.18,3735.15,322.06,120000
104400.00,77988.04,3736.56,322.07,119999.9063
105300.00,78325.91,3737.5,322.07,120000
106200.00,78646.28,3738.46,322.08,120000
107100.00,78973.34,3736.96,322.08,119999.9688
108000.00,79284.07,3737.17,322.08,119999.9688
108900.00,79580.53,3738.1,322.09,120000.0625
109800.00,79842.62,3737.57,322.09,119999.9375
110700.00,80073.82,3737.91,322.1,120000
111600.00,40296.72,3184.49,321.84,120000.875
112500.00,940.57,310.1,320.72,120000
113400.00,957.45,637.34,318.78,120000
114300.00,973.94,944.76,316.71,120000
115200.00,990.06,1235.3,314.77,120000
116100.00,1005.8,1508.59,312.94,120000
117000.00,1021.19,1766.13,311.23,120000
117900.00,1036.22,2000.39,309.63,120000
118800.00,1050.91,2159.31,308.14,120000
119700.00,1065.26,2310.17,306.75,120000
120600.00,1079.29,2453.22,305.47,120000
121500.00,1092.97,2582.18,304.54,120000
122400.00,1106.35,2696.81,304.41,120000
123300.00,1119.39,2802.26,304.36,120000
124200.00,1132.11,2874.6,304.28,120000
125100.00,1144.34,2906.52,304.15,120000
126000.00,1151.35,2908.16,303.96,120000
126900.00,1158.52,2883.41,303.71,120000
127800.00,1169.32,2841.46,303.39,120000
128700.00,1182.23,2794.24,303.03,120000
129600.00,1196.33,2744.52,302.62,120000
130500.00,1210.94,2696.35,302.17,120000
131400.00,1225.54,2650.15,301.7,120000
