Datetime,Qheat_injection_W,Qheat_losses_W,Critical_temp_K,Critical_press_drop_Pa
0,17437.178,3759.629,318.15,-80498.8
900,18137.195,3627.4434,322.5083333,6855.985433
1800.00,18858.922,3623.6572,322.4566667,9138.808333
2700.00,19452.969,3609.6602,322.439,10303.34377
3600.00,19968.125,3599.3594,322.426,11020.57293
4500.00,20418.625,3590.8555,322.4216667,11412.85417
5400.00,20821.447,3584.0254,322.0126667,11651.64167
6300.00,21189.732,3578.3105,322.011,11766.56667
7200.00,21533.727,3573.4375,322.008,11816.8771
8100.00,21825.484,3567.8652,322.0083333,11803.3
9000.00,22107.389,3564.5469,322.0093333,11751.5875
9900.00,22381.338,3561.2988,322.0113333,11688.96667
10800.00,22650.283,3558.2598,322.0123333,11649.67917
11700.00,22913.385,3555.3027,322.0133333,11653.11043
12600.00,23174.521,3552.5156,322.0106667,11677.51043
13500.00,23434.705,3549.83,322.0096667,11720.26667
14400.00,23694.146,3547.1074,322.009,11770.73333
15300.00,23956.775,3544.584,322.008,11821.56667
16200.00,24219.572,3541.8965,322.0076667,11871.6021
17100.00,24482.941,3539.2695,322.0073333,11929.2
18000.00,24746.969,3536.6309,322.0033333,12000.27917
18900.00,24974.393,3532.877,322.002,12095.86667
19800.00,25202.434,3530.664,322,12212.04583
20700.00,25428.709,3528.3496,321.9983333,12347.1771
21600.00,25654.645,3526.1016,321.9966667,12487.5896
22500.00,25872.996,3523.6914,321.9913333,12623.84377
23400.00,26089.346,3521.5156,321.9893333,12757.43333
24300.00,26303.97,3519.3418,321.9876667,12896.3771
25200.00,2677.158,2676.8896,321.7846667,33206.31333
26100.00,3622.7622,3622.5994,320.9903333,39970.50027
27000.00,3692.873,3692.713,319.9166667,39970.50027
27900.00,3696.1692,3696.01,318.7833333,39970.50027
28800.00,3696.3008,3696.139,317.671,39970.50027
29700.00,3696.3037,3696.1418,316.5863333,39970.50027
30600.00,3696.3037,3696.1418,315.5293333,39970.50027
31500.00,3696.3037,3696.1418,314.5053333,39970.50027
32400.00,3696.3037,3696.1418,313.5103333,39970.50027
33300.00,3696.3037,3696.1418,312.5503333,39970.50027
34200.00,3696.3037,3696.1418,311.6263333,39970.50027
35100.00,3696.3037,3696.1418,310.82,39970.50027
36000.00,3696.3037,3696.1418,310.2833333,39970.50027
36900.00,3696.3037,3696.1418,309.777,39970.50027
37800.00,3696.3037,3696.1418,309.2653333,39970.50027
38700.00,3696.3037,3696.1418,308.7426667,39970.50027
39600.00,3696.3037,3696.1418,308.2066667,39970.50027
40500.00,3696.3037,3696.1418,307.6576667,39970.50027
41400.00,3696.3037,3696.1418,307.096,39970.50027
