Datetime,Qheat_injection_W,Qheat_losses_W,Critical_temp_K,Critical_press_drop_Pa
0,107472,0,323.15,-49731.4
900,89556,3683.43,322.165,-33107.6
1800.00,87456,3735.52,322.01,-30823.1
2700.00,86383.3,3731.91,321.977,-29657.7
3600.00,85556.8,3731.08,321.958,-28940
4500.00,85054.7,3732.73,321.945,-28547.4
5400.00,84735.9,3733.37,321.939,-28308.5
6300.00,84584.4,3734.29,321.938,-28193.4
7200.00,84520.2,3734.7,321.93,-28143.1
8100.00,84545.8,3735.38,321.932,-28156.7
9000.00,84624.3,3735.75,321.934,-28208.4
9900.00,84716.3,3735.83,321.939,-28271.1
10800.00,84772.1,3735.6,321.941,-28310.4
11700.00,84764.8,3735.14,321.943,-28307
12600.00,84727.8,3734.93,321.936,-28282.6
13500.00,84664.7,3734.69,321.934,-28239.8
14400.00,84591,3734.56,321.933,-28189.3
15300.00,84517.5,3734.5,321.931,-28138.4
16200.00,84445.4,3734.42,321.931,-28088.3
17100.00,84362.1,3734.2,321.931,-28030.7
18000.00,84258.8,3733.94,321.93,-27959.5
18900.00,84119.2,3733.49,321.929,-27863.9
19800.00,83949.4,3733.1,321.925,-27747.6
20700.00,83751.9,3732.68,321.922,-27612.4
21600.00,83546.8,3732.41,321.92,-27471.9
22500.00,83348.2,3732.24,321.917,-27335.6
23400.00,83153.1,3732.02,321.914,-27201.9
24300.00,82949.4,3731.67,321.912,-27062.9
25200.00,41532,2935.08,321.778,-6741.66
26100.00,942.573,343.968,321.515,-25.5541
27000.00,962.798,733.484,321.381,-25.5541
27900.00,982.449,979.297,321.152,-25.5541
28800.00,1001.54,1190.8,320.84,-25.5541
29700.00,1019.86,1348.31,320.457,-25.5541
30600.00,1034.58,1413.46,320.012,-25.5541
31500.00,1053.14,1474.69,319.515,-25.5541
32400.00,1072.66,1536.11,318.973,-25.5541
33300.00,1091.66,1596.29,318.395,-25.5541
34200.00,1109.88,1653.86,317.786,-25.5541
35100.00,1126.55,1688.32,317.152,-25.5541
36000.00,1145.59,1698.42,316.499,-25.5541
36900.00,1162.18,1707.58,315.83,-25.5541
37800.00,1176.59,1716.82,315.15,-25.5541
38700.00,1189.7,1726.34,314.462,-25.5541
39600.00,1201.77,1737.08,313.77,-25.5541
40500.00,1212.58,1748.33,313.076,-25.5541
41400.00,1222.01,1760.41,312.382,-25.5541
42300.00,1230.17,1773.24,311.69,-25.5541
43200.00,1237.29,1786.61,311.003,-25.5541
44100.00,1243.63,1799.94,310.322,-25.5541
45000.00,1249.42,1812.96,309.648,-25.5541
45900.00,1254.82,1825.79,308.982,-25.5541
46800.00,1259.86,1838.48,308.326,-25.5541
47700.00,1264.53,1850.98,307.681,-25.5541
48600.00,1268.85,1863.18,307.046,-25.5541
49500.00,1272.85,1874.97,306.424,-25.5541
50400.00,1276.6,1886.24,305.813,-25.5541
51300.00,1280.17,1896.89,305.215,-25.5541
52200.00,1283.61,1906.58,304.629,-25.5541
53100.00,1286.98,1905.93,304.057,-25.5541
54000.00,1290.29,1897.92,303.497,-25.5541
54900.00,1293.57,1895.68,302.951,-25.5541
55800.00,1296.84,1886.95,302.418,-25.5541
56700.00,1300.09,1875.75,301.899,-25.5541
57600.00,1303.33,1865.24,301.392,-25.5541
58500.00,1306.57,1855.25,300.899,-25.5541
59400.00,1309.79,1847.03,300.419,-25.5541
60300.00,1313.01,1839.68,299.951,-25.5541
61200.00,193933,28946.9,299.132,-103145
62100.00,194422,3551.95,322.562,-124249
63000.00,173715,3778.76,322.564,-123723
63900.00,172986,3786.02,322.565,-123860
64800.00,173208,3786.49,322.565,-124212
65700.00,173436,3786.57,322.569,-124549
66600.00,173754,3786.72,322.572,-125016
67500.00,174106,3786.89,322.585,-125537
68400.00,174476,3787.02,322.589,-126085
69300.00,174864,3787.17,322.58,-126661
70200.00,166772,3760.94,322.553,-115119
71100.00,163062,3770.8,322.531,-109849
72000.00,157001,3768.27,322.503,-101642
72900.00,151719,3767.27,322.487,-94730
73800.00,146898,3765.5,322.466,-88636.9
