Time,Massflowrate,Pressuredropsupplyi-e,Pressuredropreturna-i,Pressuredropreturni-h,Fluidtemperaturesupplyi,Fluidtemperaturesupplyh,Fluidtemperaturesupplyg,Fluidtemperaturesupplyf,Fluidtemperatuesupplye,FluidtemperaturesupplySimpleDistrict1,Fluidtemperaturereturni,Fluidtemperaturereturnh,Fluidtemperaturereturng,Fluidtemperaturereturnf,Fluidtemperaturereturne,FluidtemperaturereturnSimpleDistrict1,Heatlossessupplyi-h,Totalheatsupplied
0,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
1,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
2,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
3,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
4,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
5,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
6,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
7,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
8,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
9,8865.07,23443.1,23443.1,5912,70,69.94,69.87,69.76,69.58,69.44,39.46,39.42,39.36,39.28,39.36,39.44,316.06,314334
