Time|s,Simple_District_1.supTemp.T|degC,Simple_District_1.retTemp.T|degC,senTem_ret_i.T|degC,Simple_District_1.plugFlowPipe1.port_a.m_flow|kg/s,Simple_District_1.Q_flow_positive.y,Network_CE1_heatLoss[end].plugFlowPipe_ret24.heatPort.Q_flow*(-1),fixedTemperature1.port.Q_flow|W,Simple_District_1.hea.dp|Pa,Network_CE1_heatLoss[end].plugFlowPipe_ret24.cor.res.dp*(-1)
0,19.999994,19.999994,19.999994,0,6717.0093,0,0,0,0
900,68.069115,35.72683,34.053154,0.04371944,5480.2637,126.721275,5211.436,0,477.04636
1800,67.9912,37.39547,36.893272,0.04217804,5287.725,141.76161,5352.7505,0,444.00125
2700,67.94186,37.80184,37.741844,0.04136704,5186.7505,146.36156,5396.776,0,427.09082
3600,67.91183,37.88964,37.955315,0.040861703,5123.5825,147.52037,5407.206,0,416.72
4500,67.89364,37.898308,38.001,0.040581524,5088.6904,147.81209,5410.59,0,411.0249
5400,67.8829,37.890892,38.004692,0.04041065,5067.337,147.84518,5410.699,0,407.57077
6300,67.876854,37.882866,38.000145,0.04032764,5057.0254,147.84647,5411.2046,0,405.89807
7200,67.87408,37.877525,37.99581,0.040291335,5052.5054,147.82513,5410.9272,0,405.1676
8100,67.87362,37.87481,37.9934,0.040300597,5053.723,147.8152,5410.932,0,405.35388
9000,67.87499,37.87432,37.992943,0.040337533,5058.372,147.83276,5411.631,0,406.09726
9900,67.87725,37.87554,37.99392,0.040382344,5063.9897,147.83565,5411.6914,0,407.00006
10800,67.879265,37.877495,37.995598,0.04041056,5067.508,147.82878,5411.224,0,407.56897
11700,67.87966,37.87896,37.99688,0.040408395,5067.201,147.84119,5411.5376,0,407.52533
12600,67.87902,37.879295,37.997215,0.04039106,5065.0166,147.84392,5411.5737,0,407.17575
13500,67.87771,37.878716,37.996696,0.04036059,5061.181,147.84074,5411.4775,0,406.56165
14400,67.876,37.877464,37.995598,0.04032448,5056.65,147.82654,5411.0645,0,405.83447
15300,67.87408,37.875786,37.994072,0.04028804,5052.0815,147.81963,5410.9634,0,405.1013
16200,67.872246,37.873985,37.992393,0.04025216,5047.582,147.8104,5410.778,0,404.3801
17100,67.8702,37.872124,37.990623,0.040210903,5042.3984,147.81122,5411.022,0,403.55157
18000,67.8677,37.869957,37.98861,0.040159903,5035.9937,147.79257,5410.529,0,402.52853
18900,67.864494,37.867363,37.986168,0.040091325,5027.3696,147.7787,5410.2173,0,401.155
19800,67.86053,37.86416,37.983147,0.040007625,5016.8623,147.74855,5409.47,0,399.48178
20700,67.855705,37.86007,37.979362,0.039910115,5004.6196,147.72891,5409.0967,0,397.5368
21600,67.850365,37.855278,37.974968,0.039808374,4991.8604,147.6991,5408.44,0,395.51257
22500,67.845055,37.85012,37.970177,0.039709385,4979.452,147.697,5408.856,0,393.548
23400,67.83993,37.84487,37.965355,0.03961208,4967.2505,147.64929,5407.6245,0,391.6217
24300,67.83456,37.839714,37.96044,0.03951075,4954.535,147.65022,5408.131,0,389.62064
25200,67.47076,37.896202,37.81246,0.01995494,2470.4307,127.252655,4665.0815,0,99.383026
26100,66.763756,37.87841,37.22332,0.000421875,0,11.254814,417.65598,0,0.34323883
27000,66.64388,37.97915,36.37719,0.000421875,0,23.231985,855.5866,0,0.34324145
27900,66.40331,38.159203,35.536552,0.000421875,0,34.80456,1266.1133,0,0.34324145
28800,65.94442,38.389244,34.722557,0.000421875,0,45.97967,1650.9767,0,0.34324145
29700,65.197075,38.647575,33.93447,0.000421875,0,56.767708,2011.7627,0,0.34324145
30600,64.12914,38.917747,33.171593,0.000421875,0,67.17582,2349.8296,0,0.34324145
31500,62.743217,39.187157,32.433067,0.000421875,0,77.20602,2666.4229,0,0.34324145
