Time,Massflowrate,Pressuredropsupplyi-e,Pressuredropreturna-i,Pressuredropreturni-h,Fluidtemperaturesupplyi,Fluidtemperaturesupplyh,Fluidtemperaturesupplyg,Fluidtemperaturesupplyf,Fluidtemperatuesupplye,FluidtemperaturesupplySimpleDistrict1,Fluidtemperaturereturni,Fluidtemperaturereturnh,Fluidtemperaturereturng,Fluidtemperaturereturnf,Fluidtemperaturereturne,FluidtemperaturereturnSimpleDistrict1,Heatlossessupplyi-h,Totalheatsupplied
0,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
1,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
2,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
3,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
4,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
5,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
6,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
7,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
8,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
9,8847.94,23352.6,23352.6,5889,70,69.94,69.86,69.75,69.58,69.44,39.47,39.43,39.64,39.58,39.37,39.44,326,308203
