Time,Mass_flow_rate_supply_i[kg/h],Pressure_drop_supply_i-e[Pa],Pressure_drop_return_a-i[Pa],Pressure_drop_return_i-h[Pa],Fluid_temp_supply_i[C],Fluid_temp_supply_h[C],Fluid_temp_supply_g[C],Fluid_temp_supply_f[C],Fluid_temp_supply_e[C],Fluid_temp_supply_SimpleDistrict1[C],Fluid_temp_return_i[C],Fluid_temp_return_h[C],Fluid_temp_return_g[C],Fluid_temp_return_f[C],Fluid_temp_return_e[C],Fluid_temp_return_SimpleDistrict1[C],Heat_loss_supply_i-e[W],Total_heat_loss_heat_source[W]
0,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
1,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
2,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
3,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
4,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
5,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
6,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
7,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
8,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
9,8870.4,22967.56,22967,5835.56,69.99999,69.9367,69.86355,69.753685,69.579735,69.4403,39.95278,39.98443,39.70382,39.758446,39.533806,39.60311,325.9152,309471.943
