Time,Mass flow rate supply i [kg/h],Pressure drop supply between i and e [Pa],Pressure drop return between a and i [Pa],Pressure drop return between i and h [Pa],Fluid temperature supply i [C],Fluid temperature supply h [C],Fluid temperature supply g [C],Fluid temperature supply f [C],Fluid temperature supply e [C],Fluid temperature supply SimpleDistrict_1 [C],Fluid temperature return i [C],Fluid temperature return h [C],Fluid temperature return g [C],Fluid temperature return f [C],Fluid temperature return e [C],Fluid temperature return SimpleDistrict_1 [C],Heat loss supply between i and h [W],Total heat load supplied by heat source [W]
0,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
1,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
2,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
3,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
4,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
5,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
6,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
7,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
8,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
9,8848,22385.4,24224.4,5657.8,69.999,69.938,69.867,69.763,69.595,69.461,39.486,39.516,39.478,39.436,39.394,39.461,314.38,313496
