Time,HeatInjection,HeatLosses
0,107472,3827.13
900,89702.6,3770.64
1800,87600.1,3748.2
2700,86409.7,3739.68
3600,85525.8,3736.69
4500,85012.6,3735.31
5400,84691.7,3734.56
6300,84539.1,3734.14
7200,84474.3,3733.92
8100,84499.7,3733.83
9000,84577.9,3733.84
9900,84669.8,3733.9
10800,84725.4,3733.98
11700,84717.8,3734.04
12600,84682.6,3734
13500,84619.8,3733.96
14400,84545.4,3733.91
15300,84471.7,3733.84
16200,84399.7,3733.76
17100,84316.2,3733.67
18000,84213.7,3733.55
18900,84075.9,3733.39
19800,83906.5,3733.22
20700,83708.3,3733.05
21600,83502.6,3732.84
22500,83303.5,3732.62
23400,83108.5,3732.38
24300,82905.2,3732.13
25200,41557.7,3713.88
26100,945.003,3594.79
27000,965.445,3441.73
27900,985.429,3307.33
28800,1005.3,3188.64
29700,1025.89,3083.56
30600,1048.2,2990.2
31500,1072.69,2906.97
32400,1098.94,2832.48
33300,1126.04,2765.52
34200,1152.95,2705.06
35100,1178.71,2650.24
36000,1202.51,2600.34
36900,1223.8,2554.72
37800,1242.34,2512.84
38700,1258.13,2474.17
39600,1271.4,2438.26
40500,1282.51,2404.72
41400,1291.84,2373.21
42300,1299.77,2343.48
43200,1306.6,2315.32
44100,1312.62,2288.56
45000,1318.02,2263.06
45900,1322.98,2238.72
46800,1327.62,2215.46
47700,1332.05,2193.2
48600,1336.34,2171.9
49500,1340.53,2151.49
50400,1344.66,2131.95
51300,1348.76,2113.22
52200,1352.85,2095.28
53100,1356.92,2078.1
54000,1360.98,2061.65
54900,1365.03,2045.9
55800,1369.04,2030.82
56700,1373.01,2016.39
57600,1376.93,2002.59
58500,1380.79,1989.37
59400,1384.57,1976.72
60300,1388.26,1964.62
61200,194502,3156.04
62100,187261,3676.45
63000,173042,3784.76
63900,172552,3788.31
64800,172777,3788.45
65700,173003,3788.53
66600,173319,3788.64
67500,173667,3788.76
68400,174035,3788.88
69300,174435,3788.83
70200,166407,3787.42
71100,162709,3785.61
72000,156686,3783.47
