Time,HeatInjection,HeatLosses
0,107472,0
900,89556,3683.43
1800,87456,3735.52
2700,86383.3,3731.91
3600,85556.8,3731.08
4500,85054.7,3732.73
5400,84735.9,3733.37
6300,84584.4,3734.29
7200,84520.2,3734.7
8100,84545.8,3735.38
9000,84624.3,3735.75
9900,84716.3,3735.83
10800,84772.1,3735.6
11700,84764.8,3735.14
12600,84727.8,3734.93
13500,84664.7,3734.69
14400,84591,3734.56
15300,84517.5,3734.5
16200,84445.4,3734.42
17100,84362.1,3734.2
18000,84258.8,3733.94
18900,84119.2,3733.49
19800,83949.4,3733.1
20700,83751.9,3732.68
21600,83546.8,3732.41
22500,83348.2,3732.24
23400,83153.1,3732.02
24300,82949.4,3731.67
25200,41532,2935.08
26100,942.573,343.968
27000,962.798,733.484
27900,982.449,979.297
28800,1001.54,1190.8
29700,1019.86,1348.31
30600,1034.58,1413.46
31500,1053.14,1474.69
32400,1072.66,1536.11
33300,1091.66,1596.29
34200,1109.88,1653.86
35100,1126.55,1688.32
36000,1145.59,1698.42
36900,1162.18,1707.58
37800,1176.59,1716.82
38700,1189.7,1726.34
39600,1201.77,1737.08
40500,1212.58,1748.33
41400,1222.01,1760.41
42300,1230.17,1773.24
43200,1237.29,1786.61
44100,1243.63,1799.94
45000,1249.42,1812.96
45900,1254.82,1825.79
46800,1259.86,1838.48
47700,1264.53,1850.98
48600,1268.85,1863.18
49500,1272.85,1874.97
50400,1276.6,1886.24
51300,1280.17,1896.89
52200,1283.61,1906.58
53100,1286.98,1905.93
54000,1290.29,1897.92
54900,1293.57,1895.68
55800,1296.84,1886.95
56700,1300.09,1875.75
57600,1303.33,1865.24
58500,1306.57,1855.25
59400,1309.79,1847.03
60300,1313.01,1839.68
61200,193933,28946.9
62100,194422,3551.95
63000,173715,3778.76
63900,172986,3786.02
64800,173208,3786.49
65700,173436,3786.57
66600,173754,3786.72
67500,174106,3786.89
68400,174476,3787.02
69300,174864,3787.17
70200,166772,3760.94
71100,163062,3770.8
72000,157001,3768.27
72900,151719,3767.27
73800,146898,3765.5
74700,142560,3764.35
75600,138553,3762.73
76500,134921,3761.66
77400,131544,3760.16
78300,128450,3759.1
79200,144386,3845.95
80100,162718,3786.02
81000,104833,3462.28
81900,98431.7,3723.57
82800,93516.5,3719.42
83700,89809.5,3719.92
84600,86752.4,3718.67
85500,84319,3719.12
86400,82251.2,3718.08
87300,80542.4,3718.08
88200,79051.3,3717.13
89100,77759.1,3716.59
90000,76574.2,3715.39
90900,75495.4,3714.53
91800,74489.8,3713.37
92700,73547.5,3712.28
93600,72628.7,3710.82
94500,74551.2,3733.34
95400,74969.3,3725.28
96300,75190,3724.54
97200,75401.6,3725.01
98100,75660.3,3725.94
99000,75956.9,3726.62
99900,76267.9,3727.09
100800,76560.3,3727.28
101700,76853.4,3727.82
102600,77187.9,3728.6
103500,77562.6,3729.33
104400,77924.7,3729.67
105300,78261.4,3729.88
106200,78584.1,3730.19
107100,78896.9,3730.53
108000,79211.6,3730.96
108900,79511.5,3731.11
109800,79772.5,3731.16
110700,80002.3,3731.26
111600,40288.4,2924.71
112500,944.236,346.655
113400,964.408,735.172
114300,984.009,980.481
115200,1003.05,1191.55
116100,1020.17,1348.83
117000,1036,1413.5
117900,1054.52,1474.83
118800,1073.99,1536.34
119700,1092.95,1596.57
120600,1111.12,1654.13
121500,1127.76,1688.53
122400,1146.75,1698.68
123300,1163.29,1707.89
124200,1177.66,1717.15
125100,1190.75,1726.69
126000,1202.78,1737.01
126900,1213.56,1747.67
127800,1222.96,1759.63
128700,1231.09,1772.46
129600,1238.18,1785.82
130500,1244.5,1799.14
131400,1250.27,1812.14
132300,1255.64,1824.96
133200,1260.66,1837.64
134100,1265.31,1850.13
135000,1269.61,1862.31
135900,1273.6,1874.08
136800,1277.33,1885.34
137700,1280.88,1895.96
138600,1284.31,1905.62
139500,1287.66,1904.92
140400,1290.96,1896.94
141300,1294.23,1894.69
142200,1297.47,1885.96
143100,1300.71,1874.78
144000,1303.94,1864.29
144900,1307.16,1854.32
145800,1310.38,1846.12
146700,1313.58,1838.78
147600,193976,28926.6
148500,239466,3635.57
149400,204146,3790.05
150300,202301,3791.96
151200,201131,3792.16
152100,200423,3792.59
153000,199945,3792.68
153900,199660,3792.87
154800,199480,3792.93
155700,199376,3792.99
156600,199299,3793
157500,195511,3777.35
158400,187537,3780.56
159300,181867,3779.93
160200,176761,3778.67
161100,172228,3777.97
162000,168068,3776.82
162900,164302,3776.08
163800,160799,3775.01
164700,157582,3774.26
165600,158528,3787.65
166500,162449,3783.38
167400,137457,3678.88
168300,123933,3739.13
169200,117715,3741.58
170100,112968,3742.03
171000,108911,3740.28
171900,105509,3739.83
172800,102562,3738.62
173700,100087,3738.29
174600,97855.1,3736.91
175500,97798.9,3762.34
176400,98914.5,3748.87
177300,98649.9,3747.44
178200,98429,3747.61
179100,98237.3,3747.58
180000,98031.5,3747.29
180900,97800.9,3746.98
181800,97561.3,3746.71
182700,97292.8,3746.28
183600,96996,3745.88
184500,96714.3,3745.84
185400,96484,3745.88
186300,96309.2,3746.05
187200,96156.7,3745.94
188100,95954.6,3745.38
189000,95710,3744.97
189900,95451.6,3744.74
190800,95228.7,3744.77
191700,95109.3,3745.35
192600,95066.7,3745.65
193500,95062.4,3745.77
194400,95036.8,3745.57
195300,94950,3745.11
196200,94828.4,3744.84
197100,94679.4,3744.56
198000,47452.6,2995.09
198900,937.344,332.801
199800,957.732,726.227
200700,977.542,973.977
201600,996.79,1187.18
202500,1014.3,1347.87
203400,1030.08,1413.27
204300,1048.79,1475.08
205200,1068.45,1537.12
206100,1087.6,1597.88
207000,1105.95,1656.11
207900,1122.74,1691.26
208800,1141.93,1701.51
209700,1158.67,1710.77
210600,1173.2,1720.1
211500,1186.43,1729.69
212400,1198.6,1740.14
213300,1209.52,1750.85
214200,1219.06,1762.81
215100,1227.3,1775.71
216000,1234.5,1789.16
216900,1240.92,1802.56
217800,1246.79,1815.65
218700,1252.25,1828.56
219600,1257.36,1841.33
220500,1262.1,1853.9
221400,1266.47,1866.18
222300,1270.53,1878.05
223200,1274.33,1889.41
224100,1277.95,1900.16
225000,1281.44,1909.99
225900,1284.85,1909.49
226800,1288.22,1901.4
227700,1291.54,1899.2
228600,1294.85,1890.48
229500,1298.15,1879.19
230400,1301.43,1868.61
231300,1304.71,1858.54
232200,1307.98,1850.26
233100,1311.23,1842.85
234000,193649,29004.9
234900,269773,3655.4
235800,209756,3792.27
236700,207529,3792.63
237600,205867,3792.76
238500,204752,3793.18
239400,203914,3793.21
240300,203316,3793.39
241200,202859,3793.41
242100,202542,3793.52
243000,202303,3793.53
243900,202135,3793.59
244800,202009,3793.6
245700,191624,3782.1
246600,185962,3781.27
247500,181010,3780.64
248400,176455,3779.4
249300,172184,3778.21
250200,168062,3776.79
251100,164191,3775.81
252000,161485,3777.83
252900,162400,3782.8
253800,162399,3782.51
254700,126013,3726.94
255600,119784,3743.84
256500,114996,3743.79
257400,110933,3742.25
258300,107582,3742.13
259200,104703,3741.09
260100,104265,3764.94
261000,105444,3754.85
261900,105245,3753.12
262800,105062,3753.18
263700,104946,3753.53
264600,104896,3753.75
265500,104876,3753.78
266400,104819,3753.52
267300,104707,3753.23
268200,104598,3753.18
269100,104500,3753.17
270000,104413,3753.15
270900,104388,3753.55
271800,104429,3753.82
272700,104490,3753.9
273600,104521,3753.72
274500,104503,3753.53
275400,104492,3753.56
276300,104478,3753.49
277200,104439,3753.34
278100,104361,3753.08
279000,104255,3752.88
279900,104119,3752.65
280800,103966,3752.46
281700,103813,3752.39
282600,103681,3752.39
283500,103678,3753.14
284400,52085.8,3036.81
285300,934.085,325.443
286200,954.576,721.417
287100,974.486,970.425
288000,993.829,1184.73
288900,1011.53,1347.15
289800,1027.28,1412.98
290700,1046.07,1475.03
291600,1065.82,1537.33
292500,1085.07,1598.37
293400,1103.5,1656.93
294300,1120.36,1692.46
295200,1139.65,1702.76
296100,1156.49,1712.06
297000,1171.1,1721.41
297900,1184.39,1731.03
298800,1196.64,1741.5
299700,1207.62,1752.23
300600,1217.22,1764.23
301500,1225.52,1777.16
302400,1232.78,1790.66
303300,1239.24,1804.11
304200,1245.15,1817.25
305100,1250.66,1830.2
306000,1255.81,1843.01
306900,1260.59,1855.63
307800,1265,1867.96
308700,1269.09,1879.88
309600,1272.93,1891.3
310500,1276.57,1902.12
311400,1280.09,1912.03
312300,1283.54,1911.63
313200,1286.93,1903.49
314100,1290.28,1901.32
315000,1293.62,1892.62
315900,1296.94,1881.28
316800,1300.25,1870.66
317700,1303.55,1860.54
318600,1306.85,1852.22
319500,1310.13,1844.77
320400,193494,29039.2
321300,275413,3670.98
322200,220292,3793.64
323100,217554,3794.7
324000,215621,3794.88
324900,214412,3795.46
325800,213581,3795.56
326700,213065,3795.82
327600,212707,3795.86
328500,212461,3795.93
329400,212266,3795.92
330300,212126,3795.97
331200,212043,3796.01
332100,212026,3796.08
333000,212034,3796.11
333900,206617,3781.25
334800,199478,3786.38
335700,194858,3785.82
336600,190649,3784.91
337500,186882,3784.41
338400,172702,3752.41
339300,162250,3780.42
340200,162383,3782.67
341100,140687,3743.28
342000,133008,3752.28
342900,127960,3753.92
343800,132075,3796.46
344700,131519,3767.92
345600,130963,3768.1
346500,130489,3768.13
347400,130069,3768.04
348300,129692,3767.97
349200,129330,3767.81
350100,129013,3767.86
351000,128753,3767.86
351900,128524,3767.79
352800,128270,3767.55
353700,127954,3767.17
354600,127631,3767.05
355500,127335,3767.02
356400,127107,3767.13
357300,127077,3767.95
358200,127226,3768.48
359100,127450,3768.68
360000,127613,3768.5
360900,127643,3768.05
361800,127600,3767.85
362700,127491,3767.58
363600,127441,3767.92
364500,127544,3768.46
365400,127709,3768.69
366300,127912,3768.87
367200,128110,3768.92
368100,128262,3768.81
369000,128374,3768.76
369900,128472,3768.82
370800,64572.2,3126.2
371700,927.38,309.732
372600,948.083,711.106
373500,968.196,962.773
374400,987.737,1179.41
375300,1005.86,1345.63
376200,1021.52,1412.22
377100,1040.48,1474.78
378000,1060.42,1537.62
378900,1079.86,1599.23
379800,1098.46,1658.51
380700,1115.47,1694.87
381600,1134.96,1705.27
382500,1152,1714.62
383400,1166.77,1724.03
384300,1180.21,1733.71
385200,1192.59,1744.28
386100,1203.71,1755.06
387000,1213.44,1767.08
387900,1221.87,1780.1
388800,1229.23,1793.68
389700,1235.79,1807.23
390600,1241.8,1820.46
391500,1247.4,1833.51
392400,1252.63,1846.42
393300,1257.48,1859.13
394200,1261.97,1871.56
395100,1266.13,1883.59
396000,1270.03,1895.14
396900,1273.74,1906.1
397800,1277.33,1916.2
398700,1280.83,1916.03
399600,1284.28,1907.78
400500,1287.69,1905.66
401400,1291.08,1896.99
402300,1294.46,1885.54
403200,1297.82,1874.83
404100,1301.18,1864.59
405000,1304.53,1856.19
405900,1307.87,1848.68
406800,193176,29106.4
407700,229522,3628.55
408600,203726,3789.65
409500,202193,3792.42
410400,201371,3792.66
411300,200940,3793.05
412200,200685,3793.15
413100,200590,3793.35
414000,200611,3793.48
414900,200780,3793.75
415800,201037,3793.88
416700,193043,3782.72
417600,187552,3782.28
418500,182871,3781.75
419400,178632,3780.76
420300,174855,3780.22
