Time,hea.Q_flow,fixedTemperature1.port.Q_flow
0,0,0
0,1.45E-06,6.97E-21
0,1.45E-06,7.90E-21
900,186573.02,2303.362
1800,111526.234,3362.2805
2700,89776.5,3589.1665
3600,85807.07,3622.7783
4500,84811.76,3628.441
5400,84417.305,3628.926
6300,84251.69,3629.2063
7200,84186.61,3629.3638
8100,84209.82,3629.5906
9000,84287.66,3629.7375
9900,84378.7,3629.882
10800,84432.03,3629.7073
11700,84426.266,3629.685
12600,84388.97,3629.6628
13500,84326.875,3629.2566
14400,84253.805,3629.2937
15300,84180.67,3629.062
16200,84108.766,3629.1199
17100,84026.91,3628.9668
18000,83923.625,3628.5054
18900,83786.73,3628.6848
19800,83616.32,3627.8809
20700,83421.52,3626.944
21600,83218.08,3627.7544
22500,83020.51,3627.0913
23400,82827.53,3626.2266
24300,82625.875,3627.1646
25200,41836.695,3119.8083
26100,594.5001,175.86488
27000,600.64026,365.0124
27900,611.3783,544.0633
28800,622.0055,713.7696
29700,632.39264,874.6987
30600,642.5427,1027.3896
31500,652.45264,1172.3762
32400,662.1392,1310.057
33300,671.60187,1440.7765
34200,680.84265,1564.5725
35100,689.87494,1667.0427
36000,698.69666,1749.4071
36900,707.3117,1827.3586
37800,715.7295,1901.4281
38700,723.95215,1971.9501
39600,731.98425,2039.0239
40500,739.83,2097.712
41400,747.4895,2153.0105
42300,754.9698,2205.5095
43200,762.2716,2255.092
44100,769.39716,2293.8882
45000,776.3432,2311.5664
45900,783.0982,2320.499
46800,789.61505,2320.5847
47700,793.8695,2301.7478
48600,795.424,2279.3877
49500,798.02716,2249.833
50400,801.7193,2217.7805
51300,806.2948,2183.8704
52200,811.60913,2148.6577
53100,817.49695,2112.7334
54000,823.8024,2076.9734
54900,830.3931,2041.7935
55800,837.1562,2007.2662
56700,843.9909,1973.7668
57600,850.7458,1941.4015
58500,857.2669,1910.1489
59400,863.4546,1879.9763
60300,869.2745,1850.8379
61200,208843.58,3101.0942
62100,180860.64,3629.1445
63000,170858.89,3684.9727
63900,170740.38,3686.3862
64800,170967.78,3686.5828
65700,171188.67,3686.6428
66600,171496.67,3686.8418
67500,171834.89,3687.083
68400,172192.05,3687.3416
69300,172563.86,3687.4604
70200,164651.08,3677.0354
71100,161151.55,3677.8713
72000,155253.88,3674.776
72900,150137.64,3673.0837
73800,145462.86,3670.6907
74700,141241.05,3668.2212
75600,137343.55,3665.5457
76500,133795.98,3664.0942
77400,130499.766,3661.6086
78300,127471.78,3660.9097
79200,143207.83,3691.2346
80100,161138.77,3677.4976
81000,104144.29,3534.1484
81900,97768.36,3640.422
82800,93120.93,3631.812
83700,89431.52,3630.2434
84600,86403.805,3625.1633
85500,83988.69,3625.205
86400,81941.19,3622.8188
87300,80244.32,3621.9028
88200,78767.1,3620.1045
89100,77482.53,3619.0083
90000,76306.79,3617.2415
90900,75234.27,3616.178
91800,74236.64,3613.9329
92700,73299.055,3613.2402
93600,72388.09,3612.1636
94500,74304.836,3618.0962
95400,74713.375,3618.1177
96300,74921.3,3618.6848
97200,75133.72,3619.1926
98100,75390.445,3620.4202
99000,75686.58,3620.5674
99900,75995.42,3620.8245
100800,76285.82,3621.2473
101700,76575.9,3621.3352
102600,76910.086,3622.4548
103500,77281.11,3622.5847
104400,77639.99,3622.964
105300,77974.78,3623.4934
106200,78294.516,3623.762
107100,78605.75,3624.1626
108000,78918.07,3624.602
108900,79216.83,3625.4072
109800,79474.016,3624.7415
110700,79702.78,3625.4602
111600,40587.414,3109.649
112500,595.7405,177.51494
113400,601.86163,366.33316
114300,612.5625,545.1393
115200,623.1625,714.58484
116100,633.5178,875.2559
117000,643.63586,1027.7264
117900,653.5211,1172.4414
118800,663.18085,1309.9036
119700,672.61145,1440.4266
120600,681.8295,1563.9978
121500,690.83484,1666.275
122400,699.6301,1748.4995
123300,708.22235,1826.3376
124200,716.6146,1900.2764
125100,724.81305,1970.6758
126000,732.82,2037.6389
126900,740.6443,2096.2043
127800,748.2839,2151.4148
128700,755.7425,2203.8223
129600,763.02313,2253.2375
130500,770.12726,2291.9507
131400,777.0536,2309.549
132300,783.78955,2318.4607
133200,790.2835,2318.499
134100,794.5187,2299.6763
135000,796.0774,2277.2925
135900,798.6791,2247.7983
136800,802.3522,2215.7932
137700,806.9356,2181.917
138600,812.2382,2146.7441
139500,818.1139,2110.8901
140400,824.4039,2075.1733
141300,830.978,2040.0476
142200,837.72375,2005.5809
143100,844.5405,1972.1268
144000,851.2822,1939.8213
144900,857.77936,1908.6111
145800,863.95575,1878.4874
146700,869.7512,1849.3961
147600,208956.69,3102.9622
148500,224397.53,3667.75
149400,200253,3700.2197
150300,198720.34,3699.972
151200,197629.45,3698.622
152100,196959.39,3699.1575
153000,196510.03,3697.9673
153900,196241.34,3698.3591
154800,196074.3,3698.5842
155700,195975.73,3698.3918
156600,195903.2,3698.287
157500,192257.17,3692.2253
158400,184608.23,3690.2039
159300,179200.52,3688.2432
160200,174317.36,3684.8013
161100,169965.94,3683.5286
162000,165966.95,3681.836
162900,162335.45,3680.0557
163800,158953.22,3678.3496
164700,155844.8,3676.8984
165600,156819.7,3681.6177
166500,160651.05,3680.581
167400,136103.14,3640.7388
168300,122899.41,3656.9905
169200,116933.984,3650.357
170100,112267.11,3653.3313
171000,108280.21,3645.727
171900,104928.57,3647.3188
172800,102028.89,3641.6611
173700,99582.945,3640.2854
174600,97383.28,3638.2559
175500,97292.516,3650.2053
176400,98454.01,3642.0833
177300,98166.28,3642.2534
178200,97950.79,3642.817
179100,97761.91,3642.8325
180000,97558.14,3642.3
180900,97330.13,3641.5488
181800,97092.625,3640.6057
182700,96827.43,3640.5952
183600,96533.945,3640.622
184500,96254.24,3640.5593
185400,96029.03,3640.3396
186300,95853.664,3640.1675
187200,95704.35,3640.606
188100,95505.35,3640.8645
189000,95262.81,3639.603
189900,95006.44,3638.95
190800,94788.99,3639.4019
191700,94668.44,3639.9526
192600,94628.44,3639.8687
193500,94622.61,3639.7375
194400,94595.14,3639.653
195300,94511.79,3639.3843
196200,94390,3638.9636
197100,94243.82,3639.5999
198000,47754.992,3183.027
198900,590.5758,169.08754
199800,596.7047,359.2884
200700,607.5337,539.3821
201600,618.25867,710.03796
202500,628.74475,871.87036
203400,638.98895,1025.4421
204300,648.9926,1171.2411
205200,658.7693,1309.7183
206100,668.3195,1441.2073
207000,677.64655,1565.8102
207900,686.7623,1669.0784
208800,695.6652,1751.9078
209700,704.3604,1830.3304
210600,712.8543,1904.8323
211500,721.15125,1975.794
212400,729.25525,2043.3185
213300,737.1718,2102.4063
214200,744.90125,2158.058
215100,752.4481,2210.9363
216000,759.8147,2260.899
216900,767.0044,2300.157
217800,774.0139,2318.119
218700,780.83356,2327.2493
219600,787.4137,2327.5542
220500,791.7246,2308.717
221400,793.279,2286.3423
222300,795.88916,2256.6917
223200,799.5811,2224.5232
224100,804.19086,2190.474
