Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,0,293.15,293.15
600,369.096,292.748,293.15
1200,273.3324,292.686,293.15
1800,234.6852,292.697,293.15
2400,234.9756,292.705,293.15
3000,238.2732,292.707,293.15
3600,244.062,292.707,293.15
4200,251.9088,292.706,293.15
4800,261.4992,292.705,293.15
5400,272.6088,292.703,293.15
6000,284.5728,292.7,293.15
6600,296.7384,292.697,293.15
7200,308.9844,292.694,293.15
7800,321.2268,292.691,293.15
8400,333.402,292.688,293.15
9000,345.4692,292.685,293.15
9600,357.6612,292.681,293.15
10200,370.0224,292.677,293.15
10800,382.2432,292.672,293.15
11400,394.0068,292.668,293.15
12000,404.994,292.664,293.15
12600,414.8796,292.66,293.15
13200,424.29,292.656,293.15
13800,433.974,292.652,293.15
14400,443.7792,292.648,293.15
15000,453.5592,292.644,293.15
15600,463.1724,292.639,293.15
16200,472.4808,292.635,293.15
16800,482.1408,292.63,293.15
17400,492.5496,292.624,293.15
18000,503.1924,292.618,293.15
18600,513.6,292.612,293.15
19200,523.3368,292.606,293.15
19800,532.002,292.6,293.15
20400,540.114,292.595,293.15
21000,548.3424,292.59,293.15
21600,556.5216,292.584,293.15
22200,564.4956,292.579,293.15
22800,572.1168,292.574,293.15
23400,579.24,292.569,293.15
24000,586.0668,292.564,293.15
24600,592.8948,292.559,293.15
25200,0,292.703,292.638
25800,0,292.842,292.308
26400,0,292.883,292.146
27000,0,292.894,292.057
27600,0,292.896,291.999
28200,0,292.895,291.956
28800,0,292.891,291.92
29400,0,292.887,291.889
30000,0,292.883,291.861
30600,0,292.878,291.835
31200,0,292.873,291.812
31800,0,292.87,291.791
32400,0,292.867,291.772
33000,0,292.865,291.757
33600,0,292.864,291.743
34200,0,292.863,291.731
34800,0,292.862,291.72
35400,0,292.863,291.711
36000,0,292.864,291.705
36600,0,292.865,291.699
37200,0,292.867,291.694
37800,0,292.867,291.689
38400,0,292.866,291.682
39000,0,292.865,291.676
39600,0,292.863,291.669
40200,0,292.862,291.663
40800,0,292.86,291.658
41400,0,292.859,291.652
42000,0,292.857,291.647
42600,0,292.856,291.643
43200,0,292.855,291.639
43800,0,292.854,291.635
44400,0,292.852,291.632
45000,0,292.851,291.629
45600,0,292.85,291.625
46200,0,292.848,291.622
46800,0,292.846,291.619
47400,0,292.844,291.615
48000,0,292.841,291.61
48600,0,292.838,291.605
49200,0,292.834,291.599
49800,0,292.829,291.592
50400,0,292.825,291.584
51000,0,292.819,291.575
51600,0,292.813,291.566
52200,0,292.807,291.556
52800,0,292.8,291.545
53400,0,292.794,291.534
54000,0,292.787,291.523
54600,0,292.78,291.511
55200,0,292.773,291.498
55800,0,292.765,291.485
56400,0,292.757,291.471
57000,0,292.748,291.455
