Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,0,293.14999389648438,293.14999389648438
600,181.39207458496094,293.14932250976563,293.14932250976563
1200,233.50762939453125,293.14913940429688,293.14913940429688
1800,362.75946044921875,293.148681640625,293.14865112304688
2400,430.97494506835938,293.14840698242188,293.14840698242188
3000,464.7476806640625,293.14828491210938,293.14828491210938
3600,464.85232543945313,293.14828491210938,293.14828491210938
4200,460.4666748046875,293.1483154296875,293.1483154296875
4800,462.55206298828125,293.1483154296875,293.14828491210938
5400,467.45404052734375,293.14828491210938,293.14828491210938
6000,0,293.080322265625,293.08026123046875
6600,0,293.02157592773438,293.02145385742188
7200,0,292.97348022460938,292.9732666015625
7800,0,292.93527221679688,292.93499755859375
8400,0,292.90518188476563,292.90484619140625
9000,0,292.88040161132813,292.88003540039063
9600,0,292.85971069335938,292.85934448242188
10200,0,292.8433837890625,292.84304809570313
10800,0,292.8304443359375,292.83016967773438
11400,0,292.81927490234375,292.81906127929688
12000,0,292.80941772460938,292.80926513671875
12600,0,292.80062866210938,292.80056762695313
13200,0,292.79281616210938,292.79281616210938
13800,2186.78173828125,292.80862426757813,292.80862426757813
14400,2487.42529296875,293.140869140625,293.14083862304688
15000,543.84173583984375,293.14801025390625,293.14797973632813
15600,547.3077392578125,293.14801025390625,293.14797973632813
16200,547.25152587890625,293.14801025390625,293.14797973632813
16800,542.22674560546875,293.14804077148438,293.14797973632813
17400,546.803955078125,293.14801025390625,293.14797973632813
18000,554.570068359375,293.14797973632813,293.14794921875
18600,557.49468994140625,293.14797973632813,293.14791870117188
19200,560.45745849609375,293.14794921875,293.14791870117188
19800,563.11810302734375,293.14794921875,293.14791870117188
20400,560.67706298828125,293.14797973632813,293.14791870117188
21000,563.71038818359375,293.14794921875,293.14788818359375
21600,573.16888427734375,293.14791870117188,293.14785766601563
22200,576.20379638671875,293.14791870117188,293.14785766601563
22800,575.85296630859375,293.14791870117188,293.14785766601563
23400,572.2156982421875,293.14791870117188,293.14785766601563
24000,580.478759765625,293.14788818359375,293.1478271484375
24600,586.331298828125,293.14788818359375,293.14779663085938
25200,588.97119140625,293.14788818359375,293.14779663085938
25800,594.3072509765625,293.14785766601563,293.14776611328125
26400,604.27911376953125,293.1478271484375,293.14773559570313
27000,616.4317626953125,293.14776611328125,293.14767456054688
27600,628.31011962890625,293.14773559570313,293.14764404296875
28200,640.57989501953125,293.147705078125,293.1475830078125
28800,651.68145751953125,293.14764404296875,293.14755249023438
29400,688.57568359375,293.14752197265625,293.14743041992188
30000,688.59521484375,293.14752197265625,293.14739990234375
30600,661.0999755859375,293.14761352539063,293.14752197265625
31200,615.449951171875,293.14779663085938,293.14767456054688
31800,560.20941162109375,293.14801025390625,293.14788818359375
32400,516.85101318359375,293.14816284179688,293.14804077148438
33000,473.31558227539063,293.1483154296875,293.148193359375
33600,443.9049072265625,293.14840698242188,293.1483154296875
34200,427.48233032226563,293.14846801757813,293.14837646484375
34800,417.81466674804688,293.14852905273438,293.14840698242188
35400,409.04800415039063,293.1485595703125,293.1484375
36000,396.75405883789063,293.14859008789063,293.14849853515625
36600,397.14639282226563,293.14859008789063,293.14849853515625
37200,399.70675659179688,293.14859008789063,293.14846801757813
37800,406.468017578125,293.1485595703125,293.14846801757813
38400,428.67755126953125,293.14846801757813,293.14837646484375
39000,456.87347412109375,293.14837646484375,293.14828491210938
39600,485.423095703125,293.14825439453125,293.14816284179688
40200,486.53314208984375,293.14825439453125,293.14816284179688
40800,482.679443359375,293.14828491210938,293.14816284179688
41400,456.16159057617188,293.14837646484375,293.14828491210938
42000,0,293.08621215820313,293.08270263671875
42600,0,293.03854370117188,293.03329467773438
43200,0,292.99966430664063,292.993896484375
43800,0,292.96908569335938,292.96365356445313
44400,0,292.94705200195313,292.9423828125
45000,0,292.93203735351563,292.92831420898438
45600,0,292.921630859375,292.9188232421875
46200,0,292.9136962890625,292.91171264648438
46800,0,292.90643310546875,292.9051513671875
47400,0,292.8992919921875,292.89862060546875
48000,0,292.89163208007813,292.89154052734375
48600,0,292.88168334960938,292.88211059570313
49200,0,292.86907958984375,292.87008666992188
49800,0,292.8553466796875,292.85696411132813
50400,0,292.84210205078125,292.8443603515625
51000,0,292.83700561523438,292.83963012695313
51600,0,292.81643676757813,292.8197021484375
52200,0,292.79150390625,292.7955322265625
52800,0,292.77334594726563,292.77804565429688
53400,0,292.77313232421875,292.77813720703125
54000,0,292.79415893554688,292.79931640625
54600,0,292.82806396484375,292.83251953125
55200,0,292.85379028320313,292.85696411132813
55800,0,292.87286376953125,292.87435913085938
56400,0,292.88674926757813,292.88629150390625
57000,0,292.89480590820313,292.89239501953125
57600,0,292.90200805664063,292.89776611328125
58200,0,292.87789916992188,292.87210083007813
58800,0,292.84634399414063,292.840576171875
59400,0,292.8089599609375,292.80429077148438
60000,0,292.76727294921875,292.76437377929688
60600,0,292.73141479492188,292.73068237304688
61200,0,292.70785522460938,292.70928955078125
61800,0,292.67166137695313,292.67489624023438
62400,0,292.68368530273438,292.68878173828125
63000,0,292.77304077148438,292.778076171875
63600,0,292.98007202148438,292.98062133789063
64200,0,293.16534423828125,293.15951538085938
