,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,3874.547,291.45068,293.15393
600,3878.3052,291.2668,293.1501
1200,4247.862,291.15067,293.15002
1800,5114.919,291.1504,293.15002
2400,5165.215,291.14996,293.15
3000,5161.8286,291.14993,293.15
3600,5147.8184,291.14993,293.15
4200,5138.2095,291.14987,293.14993
4800,5129.461,291.14987,293.14993
5400,5121.491,291.14987,293.14993
6000,5114.793,291.14987,293.14993
6600,5109.1084,291.1499,293.14993
7200,5104.165,291.1499,293.14993
7800,5099.5186,291.1499,293.1499
8400,5095.383,291.1499,293.1499
9000,5091.5146,291.1499,293.1499
9600,5087.8164,291.1499,293.1499
10200,5084.214,291.1499,293.1499
10800,5080.706,291.1499,293.1499
11400,5072.5,291.14993,293.14996
12000,5065.0845,291.14993,293.14996
12600,5058.384,291.14993,293.14996
13200,5051.6704,291.14993,293.14996
13800,5044.9287,291.14993,293.14996
14400,5038.0625,291.14993,293.14996
15000,5030.638,291.14993,293.14996
15600,5023.447,291.14993,293.14996
16200,5016.2896,291.14993,293.14996
16800,5009.077,291.14993,293.14996
17400,5001.912,291.14993,293.14996
18000,4994.7427,291.14993,293.14996
18600,4988.233,291.14993,293.14996
19200,4981.4404,291.14993,293.14996
19800,4974.6533,291.14993,293.14996
20400,4967.948,291.14993,293.14996
21000,4961.3193,291.14993,293.14996
21600,4954.7725,291.14993,293.14996
22200,4943.4434,291.15,293.15
22800,4933.0938,291.15,293.15
23400,4923.5684,291.15,293.15
24000,4914.1055,291.15,293.15
24600,4904.6924,291.15,293.15
25200,4895.299,291.15,293.15
25800,4885.367,291.15,293.15
26400,4875.8,291.15,293.15
27000,4866.314,291.15,293.15
27600,4856.8857,291.15,293.15
28200,4847.5176,291.15,293.15
28800,0.0,290.99542,292.74258
29400,0.0,290.87216,292.4253
30000,0.0,290.7679,292.1499
30600,0.0,290.67926,291.90723
31200,0.0,290.60385,291.69254
31800,0.0,290.53976,291.50232
32400,0.0,290.48544,291.33365
33000,0.0,290.44208,291.18677
33600,0.0,290.40704,291.0581
34200,0.0,290.37915,290.9456
34800,0.0,290.35742,290.84753
35400,0.0,290.34103,290.76242
36000,0.0,290.32935,290.68896
36600,0.0,290.32098,290.62512
37200,0.0,290.31583,290.57037
37800,0.0,290.3136,290.52383
38400,0.0,290.31393,290.48474
39000,0.0,290.31656,290.45236
39600,0.0,290.32123,290.42612
40200,0.0,290.32587,290.40344
40800,0.0,290.33133,290.3849
41400,0.0,290.33765,290.37012
42000,0.0,290.34476,290.35886
42600,0.0,290.35266,290.35077
43200,0.0,290.36124,290.34558
43800,0.0,290.36584,290.3382
44400,0.0,290.36905,290.33093
45000,0.0,290.37125,290.324
45600,0.0,290.37265,290.31735
46200,0.0,290.37335,290.31097
46800,0.0,290.3735,290.30484
47400,0.0,290.3697,290.29523
48000,0.0,290.36392,290.28412
48600,0.0,290.35666,290.2717
49200,0.0,290.34802,290.25812
49800,0.0,290.33826,290.2434
50400,0.0,290.32742,290.22766
51000,0.0,290.31354,290.20874
51600,0.0,290.29794,290.18787
52200,0.0,290.28088,290.16525
52800,0.0,290.26248,290.14102
53400,0.0,290.24292,290.1153
54000,0.0,290.22226,290.08813
54600,0.0,290.19955,290.0586
55200,0.0,290.1755,290.02734
55800,0.0,290.1503,289.9945
56400,0.0,290.12396,289.96017
57000,0.0,290.09665,289.9244
57600,0.0,290.0684,289.8873
58200,0.0,290.04507,289.85504
58800,0.0,290.0235,289.82452
59400,0.0,290.00317,289.7953
60000,0.0,289.9839,289.76712
60600,0.0,289.96542,289.73993
61200,0.0,289.9477,289.71362
61800,0.0,289.93088,289.68832
62400,0.0,289.91467,289.66385
63000,0.0,289.89896,289.64008
63600,0.0,289.88373,289.6169
64200,0.0,289.86884,289.59433
64800,18000.0,290.99164,290.64557
65400,15134.079,291.85928,291.14603
66000,11232.731,292.60138,291.14774
66600,10872.777,293.24594,291.14972
67200,10775.357,293.80872,291.14987
67800,9417.97,294.14764,291.1499
68400,6724.0527,294.1485,291.1499
69000,6436.9385,294.1498,291.14987
69600,6324.0244,294.1499,291.14987
70200,6256.691,294.14993,291.14987
70800,6201.6963,294.1499,291.14987
71400,6152.1533,294.1499,291.14984
72000,6106.0547,294.1499,291.14984
72600,6062.6343,294.1499,291.14984
73200,6021.5967,294.1499,291.14984
73800,5982.6445,294.1499,291.14984
74400,5945.6,294.1499,291.14984
75000,5910.343,294.1499,291.14984
75600,5876.627,294.1499,291.14984
76200,5844.488,294.1499,291.14984
76800,5813.7754,294.14987,291.14984
77400,5784.442,294.14987,291.14984
78000,5756.411,294.14987,291.14984
78600,5729.6167,294.14987,291.14984
79200,5704.0195,294.14987,291.14984
79800,5679.62,294.14987,291.14984
80400,5656.279,294.14987,291.14984
81000,5634.0176,294.14987,291.14984
81600,5612.795,294.14987,291.14984
82200,5592.5825,294.14987,291.14984
82800,9000.0,293.57568,292.03683
83400,9000.0,293.14478,292.74487
84000,7144.6284,292.77924,293.147
84600,3969.677,292.4634,293.14816
85200,3656.2932,292.189,293.14972
85800,3559.709,291.9497,293.14987
86400,3519.9348,291.74042,293.14987
87000,3498.2217,291.5564,293.1498
87600,3483.1355,291.3941,293.1498
88200,3471.9253,291.2504,293.14978
88800,3701.7363,291.1503,293.14978
89400,4488.978,291.15015,293.14978
90000,4579.0586,291.14975,293.14978
90600,4617.5537,291.14978,293.1498
91200,4645.623,291.14978,293.1498
91800,4672.25,291.14978,293.1498
92400,4698.337,291.14978,293.1498
93000,4724.312,291.14978,293.1498
93600,4750.027,291.14978,293.1498
94200,4765.216,291.14987,293.1499
94800,4782.314,291.14987,293.1499
95400,4800.68,291.14987,293.1499
96000,4818.8604,291.14987,293.1499
96600,4836.686,291.14987,293.1499
97200,4854.1846,291.14987,293.1499
97800,4872.136,291.14987,293.1499
98400,4889.3564,291.14987,293.1499
99000,4906.256,291.14987,293.1499
99600,4922.875,291.14987,293.1499
100200,4939.2197,291.14987,293.1499
100800,4955.3115,291.14987,293.1499
101400,4975.866,291.14984,293.14984
102000,4995.4316,291.14984,293.14984
102600,5014.05,291.14984,293.14984
103200,5032.5,291.14984,293.14984
103800,5050.8325,291.14984,293.14984
104400,5069.055,291.14984,293.14984
105000,5077.6387,291.14993,293.14993
105600,5087.771,291.14993,293.14996
106200,5099.214,291.14993,293.14996
106800,5110.5547,291.14993,293.14996
107400,5121.665,291.14993,293.14996
108000,5132.5166,291.14993,293.14996
108600,5147.7925,291.1499,293.1499
109200,5162.0986,291.1499,293.1499
109800,5175.479,291.1499,293.1499
110400,5188.707,291.1499,293.1499
111000,5201.8115,291.1499,293.1499
111600,5214.8213,291.1499,293.1499
112200,5223.0005,291.14993,293.14993
112800,5231.879,291.14993,293.14996
113400,5241.41,291.14993,293.14996
114000,5250.8394,291.14993,293.14996
114600,5260.169,291.14993,293.14996
115200,0.0,290.97742,292.70966
115800,0.0,290.8381,292.3639
116400,0.0,290.71857,292.06183
117000,0.0,290.61517,291.79385
117600,0.0,290.52548,291.555
118200,0.0,290.44748,291.34152
118800,0.0,290.37952,291.15036
119400,0.0,290.32233,290.9812
120000,0.0,290.2735,290.83057
120600,0.0,290.23178,290.6964
121200,0.0,290.1962,290.57693
121800,0.0,290.16595,290.47064
122400,0.0,290.14032,290.37616
123000,0.0,290.11786,290.29135
123600,0.0,290.09857,290.2157
124200,0.0,290.08206,290.1483
124800,0.0,290.06802,290.08838
125400,0.0,290.05615,290.0352
126000,0.0,290.04623,289.98813
126600,0.0,290.03488,289.94327
127200,0.0,290.02365,289.90182
127800,0.0,290.01273,289.86362
128400,0.0,290.0021,289.82837
129000,0.0,289.9918,289.7958
129600,0.0,289.98178,289.76566
130200,0.0,289.96915,289.73474
130800,0.0,289.95554,289.7044
131400,0.0,289.94122,289.6747
132000,0.0,289.9263,289.6456
132600,0.0,289.91086,289.617
133200,0.0,289.89496,289.58887
133800,0.0,289.87796,289.56027
134400,0.0,289.8603,289.53165
135000,0.0,289.84207,289.503
135600,0.0,289.82336,289.47427
136200,0.0,289.8042,289.44553
136800,0.0,289.7847,289.4167
137400,0.0,289.7634,289.38638
138000,0.0,289.7412,289.35535
138600,0.0,289.7183,289.32367
139200,0.0,289.69467,289.29138
139800,0.0,289.67044,289.25854
140400,0.0,289.6457,289.22516
141000,0.0,289.61963,289.1905
141600,0.0,289.59283,289.15497
142200,263.39062,289.56534,289.15
142800,362.1996,289.53723,289.14987
143400,413.28546,289.50854,289.14987
144000,458.36642,289.47934,289.14984
144600,470.10538,289.45325,289.14984
145200,491.79474,289.42825,289.14987
145800,514.5592,289.4041,289.14987
146400,537.2604,289.3806,289.14987
147000,559.6479,289.3577,289.14987
147600,581.70667,289.33527,289.14987
148200,600.2077,289.31354,289.14987
148800,619.44,289.2923,289.14987
149400,638.59094,289.2715,289.14987
150000,657.5651,289.25107,289.14987
150600,676.3392,289.23096,289.14987
151200,18000.0,290.3485,290.1407
151800,18000.0,291.2111,290.93472
152400,13910.461,291.94815,291.14676
153000,11981.584,292.58777,291.14893
153600,11748.491,293.14566,291.14987
154200,11677.859,293.63403,291.14996
154800,11648.534,294.063,291.14996
155400,9108.281,294.1483,291.15
156000,8205.818,294.14957,291.15
156600,8038.5664,294.15,291.14996
157200,7950.0986,294.15002,291.14996
157800,7882.3413,294.15002,291.14996
158400,7821.696,294.15002,291.14996
159000,7770.8203,294.14996,291.1499
159600,7721.4473,294.14996,291.1499
160200,7673.774,294.14996,291.1499
160800,7628.2236,294.14993,291.1499
161400,7584.634,294.14993,291.1499
162000,7542.9775,294.14993,291.1499
162600,7507.968,294.1499,291.14984
163200,7473.6143,294.1499,291.14984
163800,7440.053,294.1499,291.14984
164400,7407.9375,294.1499,291.14984
165000,7377.201,294.14987,291.14984
165600,7347.8516,294.14987,291.14984
166200,7324.3174,294.14984,291.1498
166800,7301.34,294.14984,291.1498
167400,7278.869,294.14984,291.1498
168000,7257.6084,294.14984,291.1498
168600,7237.4585,294.14984,291.1498
169200,9000.0,293.48444,291.9345
169800,9000.0,292.98505,292.5631
170400,9000.0,292.56232,293.117
171000,5089.286,292.19824,293.14804
171600,4497.31,291.88318,293.14996
172200,4357.5728,291.60974,293.15024
172800,4295.79,291.3718,293.15027
173400,4263.694,291.16284,293.15005
174000,5711.6006,291.15082,293.15005
174600,5913.6494,291.1501,293.15002
175200,5949.757,291.14996,293.15002
