,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,2994.736328125,293.14471435546875,293.144287109375
600,3043.12744140625,293.1427917480469,293.1423645019531
1200,3047.43994140625,293.14239501953125,293.1419372558594
1800,3036.7802734375,293.14239501953125,293.1419372558594
2400,3102.2373046875,293.1461181640625,293.1458740234375
3000,3119.737548828125,293.1490478515625,293.14898681640625
3600,3066.204833984375,293.1490478515625,293.14898681640625
4200,3019.602783203125,293.1482849121094,293.148193359375
4800,2992.833251953125,293.1478271484375,293.147705078125
5400,2980.611328125,293.1478271484375,293.147705078125
6000,3005.28857421875,293.1490173339844,293.14898681640625
6600,2966.88427734375,293.1486511230469,293.1485900878906
7200,2953.514892578125,293.1486511230469,293.1485900878906
7800,2910.844970703125,293.1478271484375,293.147705078125
8400,2806.71435546875,293.1431579589844,293.14276123046875
9000,2844.460693359375,293.1431579589844,293.14276123046875
9600,2841.24658203125,293.14312744140625,293.1427001953125
10200,2790.804443359375,293.14190673828125,293.14141845703125
10800,2789.369140625,293.14190673828125,293.14141845703125
11400,2807.44677734375,293.1428527832031,293.1424255371094
12000,2796.4130859375,293.14312744140625,293.1427307128906
12600,2780.59521484375,293.14312744140625,293.1427307128906
13200,2803.465087890625,293.1448669433594,293.1445617675781
13800,2844.52392578125,293.14776611328125,293.14764404296875
14400,2801.192138671875,293.14776611328125,293.14764404296875
15000,2727.885498046875,293.1455993652344,293.14532470703125
15600,2600.369140625,293.14068603515625,293.14013671875
16200,2638.88232421875,293.14068603515625,293.14013671875
16800,2644.922607421875,293.1409912109375,293.14044189453125
17400,2593.7021484375,293.1397705078125,293.13916015625
18000,2594.6416015625,293.1397705078125,293.13916015625
18600,2617.85546875,293.14068603515625,293.14013671875
19200,2598.908447265625,293.1405944824219,293.1400451660156
19800,2590.36962890625,293.1405944824219,293.1400451660156
20400,2582.0849609375,293.1405944824219,293.1400451660156
21000,2576.90625,293.14068603515625,293.14013671875
21600,2568.4345703125,293.14068603515625,293.14013671875
22200,2527.74853515625,293.1398010253906,293.1391906738281
22800,2566.60595703125,293.1409912109375,293.1404724121094
23400,2548.60302734375,293.1409912109375,293.1404724121094
24000,2514.05615234375,293.1402587890625,293.1396789550781
24600,2496.61865234375,293.1398010253906,293.1391906738281
25200,2493.16357421875,293.1398010253906,293.1391906738281
25800,2513.51708984375,293.140625,293.14007568359375
26400,2498.788818359375,293.140625,293.14007568359375
27000,2490.28076171875,293.140625,293.14007568359375
27600,2454.69873046875,293.1398010253906,293.1391906738281
28200,2469.710205078125,293.1402587890625,293.1396789550781
28800,2459.45751953125,293.1402587890625,293.1396789550781
29400,2431.189208984375,293.14166259765625,293.1411437988281
30000,2417.657958984375,293.1436767578125,293.143310546875
30600,2353.17578125,293.1436767578125,293.143310546875
31200,2403.16064453125,293.14715576171875,293.14697265625
31800,2373.91943359375,293.1487731933594,293.1487121582031
32400,2312.6767578125,293.1487731933594,293.1487121582031
33000,2213.03564453125,293.1483459472656,293.14825439453125
33600,2152.66455078125,293.1484375,293.1483459472656
34200,2088.255859375,293.1484375,293.1483459472656
34800,2024.459716796875,293.1484375,293.1483459472656
35400,1970.1785888671875,293.14874267578125,293.1486511230469
36000,1903.4892578125,293.14874267578125,293.1486511230469
36600,1842.322998046875,293.1484375,293.1483459472656
37200,1788.11328125,293.1484375,293.1483459472656
37800,1730.8331298828125,293.1484375,293.1483459472656
38400,1670.1873779296875,293.1483459472656,293.14825439453125
