Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0.0,6001.158,291.13177,293.12424
600.0,5111.3477,291.13507000000004,293.12747
1200.0,4914.7197,291.13577000000004,293.12823
1800.0,4800.184,291.13614,293.1287
2400.0,4737.119000000001,291.1363,293.12897000000004
3000.0,4700.7466,291.13638,293.12917999999996
3600.0,4678.4463,291.13638,293.12933
4200.0,4663.7686,291.13638,293.12942999999996
4800.0,4653.48,291.13635,293.12955
5400.0,4646.144,291.13632,293.1296
6000.0,4640.935,291.1363,293.1297
6600.0,4637.376,291.13626,293.12976000000003
7200.0,4635.1523,291.13622999999995,293.1298
7800.0,4634.285,291.1362,293.12982
8400.0,4634.842000000001,291.13617,293.12985
9000.0,4636.5303,291.13614,293.12987999999996
9600.0,4638.9272,291.1361,293.1299
10200.0,4641.528,291.13608,293.1299
10800.0,4643.549,291.13605,293.12994
11400.0,4644.584,291.13602000000003,293.12994
12000.0,4644.923,291.13599999999997,293.12997
12600.0,4644.6865,291.13599999999997,293.12997
13200.0,4644.045999999999,291.13596,293.13
13800.0,4643.19,291.13596,293.13
14400.0,4642.3013,291.13596,293.13004
15000.0,4641.5635,291.13596,293.13004
15600.0,4641.0757,291.13593,293.13007000000005
16200.0,4640.7246,291.13593,293.13007000000005
16800.0,4640.4233,291.13593,293.13007000000005
17400.0,4640.1353,291.13593,293.1301
18000.0,4639.679,291.13593,293.1301
18600.0,4638.919,291.1359,293.1301
19200.0,4637.6245,291.1359,293.13013
19800.0,4635.7573,291.1359,293.13013
20400.0,4633.3279999999995,291.1359,293.13016
21000.0,4630.1387,291.13593,293.13016
21600.0,4626.358,291.13593,293.1302
22200.0,4622.3906,291.13593,293.1302
22800.0,4618.634,291.13593,293.13022
23400.0,4615.0337,291.13596,293.13022
24000.0,4611.331,291.13596,293.13025
24600.0,4607.582,291.13596,293.13027999999997
25200.0,2301.8682,291.13599999999997,293.13027999999997
25800.0,0.0,290.7293,292.42194
26400.0,0.0,290.46313,291.95435
27000.0,0.0,290.27496,291.61368
27600.0,0.0,290.14092999999997,291.3666
28200.0,0.0,290.04733,291.18625
28800.0,0.0,289.98154,291.052
29400.0,0.0,289.9345,290.94952
30000.0,0.0,289.90072999999995,290.86972000000003
30600.0,0.0,289.87698,290.80697999999995
31200.0,0.0,289.8615,290.75793
31800.0,0.0,289.85355,290.72095
32400.0,0.0,289.85202000000004,290.69437
33000.0,0.0,289.8527,290.66888
33600.0,0.0,289.85312000000005,290.65375
34200.0,0.0,289.85327,290.62592
34800.0,0.0,289.85315,290.61636
35400.0,0.0,289.85266,290.60413
36000.0,0.0,289.85165,290.5891
36600.0,0.0,289.8506,290.5749
37200.0,0.0,289.8497,290.5616
37800.0,0.0,289.84918,290.5494
38400.0,0.0,289.84933,290.5326
39000.0,0.0,289.84955,290.52768
39600.0,0.0,289.8504,290.51685
40200.0,0.0,289.85114,290.51038
40800.0,0.0,289.8523,290.50244
41400.0,0.0,289.8536,290.495
42000.0,0.0,289.85605,290.48346000000004
42600.0,0.0,289.8565,290.4813
43200.0,0.0,289.85782,290.47458
43800.0,0.0,289.8588,290.46762
44400.0,0.0,289.85913,290.46005
45000.0,0.0,289.85882999999995,290.45175
45600.0,0.0,289.8578,290.44266
46200.0,0.0,289.856,290.43265
46800.0,0.0,289.8534,290.42163
47400.0,0.0,289.85016,290.4097
48000.0,0.0,289.84625,290.39682
48600.0,0.0,289.84174,290.38306
49200.0,0.0,289.83664,290.3684
49800.0,0.0,289.83099999999996,290.3529
50400.0,0.0,289.82486,290.33655
51000.0,0.0,289.81467000000004,290.31023999999996
51600.0,0.0,289.81113,290.3013
52200.0,0.0,289.8035,290.28238
52800.0,0.0,289.79532,290.26248
53400.0,0.0,289.78643999999997,290.2415
54000.0,0.0,289.7766,290.21912000000003
54600.0,0.0,289.76578,290.1953
55200.0,0.0,289.75424,290.1704
55800.0,0.0,289.74242999999996,290.14493
56400.0,0.0,289.73068,290.11922999999996
57000.0,0.0,289.71932999999996,290.09366
57600.0,0.0,289.7085,290.0685
58200.0,0.0,289.69812,290.04376
58800.0,0.0,289.6881,290.01935
59400.0,0.0,289.67838,289.9952
60000.0,0.0,289.66876,289.97128
60600.0,0.0,289.65927,289.94757000000004
61200.0,8233.853000000001,289.6499,289.9241
61800.0,9460.479,291.7828,291.1391
62400.0,9441.504,293.0402,291.13922
63000.0,9424.766,293.75076,291.13934
63600.0,8223.591,294.1003,291.13943
64200.0,8014.816,294.1018,291.13947
64800.0,7832.8009999999995,294.10312000000005,291.1395
65400.0,7673.3047,294.10427999999996,291.1395
66000.0,7531.105,294.10532,291.1395
66600.0,7402.925,294.1063,291.13947
67200.0,7286.7534,294.10717999999997,291.13943
67800.0,7180.5215,294.108,291.13937000000004
68400.0,7081.7705,294.10876,291.13934
69000.0,6988.7466,294.1095,291.13928
69600.0,6901.6377,294.1102,291.13922
70200.0,6820.142,294.11084,291.1392
70800.0,6743.4575,294.11148,291.13912999999997
71400.0,6670.8516,294.11206,291.13907
72000.0,6601.7065,294.11264,291.139
72600.0,6494.12,294.11352999999997,291.13892000000004
73200.0,6451.4775,294.11386,291.13885
73800.0,6410.029,294.11422999999996,291.1388
74400.0,6334.74,294.11484,291.13873
75000.0,6293.4214,294.1152,291.13867
75600.0,6236.8257,294.11566,291.1386
76200.0,6182.2983,294.11612,291.13855
76800.0,6130.2812,294.11658,291.1385
77400.0,6080.56,294.117,291.13842999999997
78000.0,6033.1333,294.11742999999996,291.13837
78600.0,5987.6646,294.11782999999997,291.1383
79200.0,7219.7773,294.11823,291.13824
79800.0,8495.874,292.90988,292.84732
80400.0,4709.2227,292.19357,293.11548
81000.0,4560.0283,291.72986000000003,293.11658
81600.0,4444.5576,291.40085,293.11742999999996
82200.0,4649.2866,291.14783,293.1181
82800.0,5023.7314,291.1445,293.11868
83400.0,4993.2153,291.14426000000003,293.11917
84000.0,4967.2954,291.144,293.11957
84600.0,4945.2856,291.1438,293.11992999999995
85200.0,4926.8804,291.14362,293.12027
85800.0,4911.762,291.14346,293.12054
86400.0,4899.635,291.14328,293.12082000000004
87000.0,4890.521,291.14313,293.12102999999996
87600.0,4884.3820000000005,291.14297,293.12125
88200.0,4880.733,291.1428,293.12143
88800.0,4878.9395,291.14267,293.12158
89400.0,4878.2153,291.14252,293.12172999999996
90000.0,4877.6772,291.14236,293.1219
90600.0,4876.985,291.14224,293.122
91200.0,4875.8286,291.14212000000003,293.12216
91800.0,4873.987,291.142,293.12228
92400.0,4873.03,291.1419,293.1224
93000.0,4873.505,291.14178,293.1225
93600.0,4871.936,291.14166,293.12262000000004
94200.0,4868.149,291.14157,293.12277
94800.0,4863.9927,291.14148,293.1229
95400.0,4856.9473,291.1414,293.12302
96000.0,4848.627,291.1413,293.12317
96600.0,4841.017,291.14124,293.1233
97200.0,4834.48,291.14114,293.1234
97800.0,4829.5547,291.14108,293.12354
98400.0,4826.5703,291.14099999999996,293.12366000000003
99000.0,4825.3594,291.1409,293.12375
99600.0,4825.4634,291.1408,293.12384
100200.0,4826.2905,291.14072000000004,293.12393
100800.0,4827.210999999999,291.14062,293.12402000000003
101400.0,4828.332,291.1405,293.1241
102000.0,4830.0586,291.1404,293.12417999999997
102600.0,4833.8086,291.14032000000003,293.12427
103200.0,4835.684,291.14023,293.12433
103800.0,4837.6904,291.14014,293.12442000000004
104400.0,4841.0474,291.14005,293.12448
105000.0,4842.8423,291.13995,293.12453999999997
105600.0,4843.5103,291.1399,293.12462999999997
106200.0,4842.8145,291.1398,293.1247
106800.0,4844.1177,291.13974,293.12476000000004
107400.0,4845.933,291.13965,293.12482
108000.0,4847.619000000001,291.1396,293.1249
108600.0,4850.0415,291.1395,293.12497
109200.0,4852.255999999999,291.13943,293.12503
109800.0,4853.7207,291.13934,293.1251
